Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/12/2022,4735899,349669,ANTALIS LTD,Printing,163.77,Stationery  Consumables,Third Party Supplier,STANDARD,2590,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4735899,349669,ANTALIS LTD,Printing,473.25,Stationery  Consumables,Third Party Supplier,STANDARD,2590,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4735899,349669,ANTALIS LTD,Printing,222.4,Stationery  Consumables,Third Party Supplier,STANDARD,2590,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734610,349670,HARRISON & HARRISON LTD,Town Hall - Concert Hall Events,490,Equipment Purchase & Repair,SUPPLIER,STANDARD,1213,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4737367,349671,KEYLINE CIVILS SPECIALIST LTD,Highways and Drainage,1250.7,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4742302,349672,SOLACE IN BUSINESS LTD,Policy & Performance,4825.45,Recruitment & Interview Costs,SUPPLIER,STANDARD,2025,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4742163,349673,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,132,Stock Purchase,Third Party Supplier,STANDARD,4002,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4742163,349673,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,77.87,Stock Purchase,Third Party Supplier,STANDARD,4002,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4742163,349673,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,27177.87,Stock Purchase,Third Party Supplier,STANDARD,4002,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4742163,349673,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,50,Stock Purchase,Third Party Supplier,STANDARD,4002,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4742163,349673,TRAVIS PERKINS TRADING COMPANY LTD,DLO Stock,6.9,Stock Purchase,Third Party Supplier,STANDARD,4002,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4736796,349675,STAGE MIRACLES,Hexagon Operations,3289.5,Equipment Hire,SUPPLIER,STANDARD,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745892,349676,CHILMINGTON HOMES LTD,LD Community Services,1448.87,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745893,349676,CHILMINGTON HOMES LTD,LD Community Services,1267.04,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745904,349676,CHILMINGTON HOMES LTD,LD Community Services,6513.64,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745905,349676,CHILMINGTON HOMES LTD,LD Community Services,1218.25,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,179.04,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,24.52,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,58.24,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,86.55,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,194.88,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4738208,349677,BOWAK LTD,LD Respite,132,Cleaning Materials,Third Party Supplier,STANDARD,5064,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745622,349679,THE KINGWOOD TRUST,LD Community Services,1623.96,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745623,349679,THE KINGWOOD TRUST,LD Community Services,811.96,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745624,349679,THE KINGWOOD TRUST,LD Community Services,871.36,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
