Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Waste Services,10988,Waste and Recycling Staff,Revenue,40767769,1495,2024-10-03 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,294,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,294,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,176.4,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,98,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,117.6,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,117.6,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,95.83,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,54.76,2024-10-10 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry",Adults & Communities,Operation Partnerships & Provider Services,10597,Community Reablement Team,Revenue,40769155,136.9,2024-10-10 00:00:00
