Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Streetscene,10104,Clean & Green - Greater Eston,Revenue,40788149,950.67,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,1st Coverall Co Ltd,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Streetscene,10102,Clean & Green - Coastal,Revenue,40790322,915.66,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40789646,10509.28,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793041,10387.9,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793886,10549.74,2025-01-20 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793901,10549.74,2025-01-27 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40789156,6372.24,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793040,6372.24,2025-01-13 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793787,6372.24,2025-01-20 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40793791,6028.33,2025-01-27 00:00:00
Redcar & Cleveland Borough Council,24x7 Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793779,2383.8,2025-01-28 00:00:00
Redcar & Cleveland Borough Council,4Imprint Direct Ltd,Fixtures and Fittings - Purchases,"Growth, Enterprise and Environment",Culture & Tourism,10107,Cliff Tramway,Revenue,40793611,999.99,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,A Hill & Sons Ltd,Tools and Equipment - Purchase,"Growth, Enterprise and Environment",Streetscene,10103,Clean & Green - G'Bro & East Cleveland,Revenue,40790231,100,2025-01-09 00:00:00
Redcar & Cleveland Borough Council,A Hill & Sons Ltd,Tools and Equipment - Purchase,"Growth, Enterprise and Environment",Streetscene,10103,Clean & Green - G'Bro & East Cleveland,Revenue,40790231,500,2025-01-09 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40790049,556.2,2025-01-09 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40793209,70777.34,2025-01-29 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794690,4010,2025-01-14 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794692,1080,2025-01-14 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40798012,4010,2025-01-23 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40798024,1080,2025-01-23 00:00:00
