Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40803094,10549.74,2025-03-10 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40803101,10549.74,2025-03-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40805389,10448.59,2025-03-17 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40812369,15081.26,2025-03-24 00:00:00
Redcar & Cleveland Borough Council,1st Enable - Rosewood,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40812373,11965.84,2025-03-31 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40801982,6372.24,2025-03-03 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40803025,6372.24,2025-03-10 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40805347,6372.24,2025-03-17 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40807609,6372.24,2025-03-31 00:00:00
Redcar & Cleveland Borough Council,1st Enable - The Bridgings,Private Contractors,Adults & Communities,Home Care,10540,Persnl Care Lrning Dis,Revenue,40807616,6372.24,2025-03-24 00:00:00
Redcar & Cleveland Borough Council,24x7 Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40807515,2383.8,2025-03-27 00:00:00
Redcar & Cleveland Borough Council,360 Growth Partners T/A Let's Talk,Private Contractors,Adults & Communities,Public Health,11274,Sport England Local Delivery Pilot,Revenue,40807233,1209.9,2025-03-27 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40806052,530.8,2025-03-19 00:00:00
Redcar & Cleveland Borough Council,A B Electrical Wholesalers Ltd,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40806062,9908.94,2025-03-11 00:00:00
Redcar & Cleveland Borough Council,A Hill & Sons Ltd,Construction,"Growth, Enterprise and Environment",Streetscene,C20401,Tree Purchase,Capital,40800839,6472.05,2025-03-03 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,10686,Special Guardianship Allowances,Revenue,40807036,1020,2025-03-13 00:00:00
Redcar & Cleveland Borough Council,A Time 4 You Child and Family Psychological Services CIC,Services - Professional Fees,Children & Families,Safeguarding And CF,10686,Special Guardianship Allowances,Revenue,40807045,1020,2025-03-13 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40807603,20548.26,2025-03-20 00:00:00
Redcar & Cleveland Borough Council,A Wilderness Way Group Ltd,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40810333,70777.34,2025-03-27 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40808266,3685,2025-03-07 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40808271,1080,2025-03-07 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40809793,1080,2025-03-14 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40809805,3528,2025-03-14 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40812798,3685,2025-03-26 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40812802,783,2025-03-27 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40814160,783,2025-03-28 00:00:00
Redcar & Cleveland Borough Council,A1 Buses Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40814161,3685,2025-03-28 00:00:00
Redcar & Cleveland Borough Council,A2B Taxis,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40808594,630,2025-03-10 00:00:00
Redcar & Cleveland Borough Council,A2B Taxis,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40812444,700,2025-03-24 00:00:00
Redcar & Cleveland Borough Council,Aapna Services Ltd,Private Contractors,Adults & Communities,Day Services,11184,SS 18-64 Community: Day Centre,Revenue,40810469,2553,2025-03-19 00:00:00
Redcar & Cleveland Borough Council,Aaron Boyd Joinery,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40808379,285,2025-03-12 00:00:00
Redcar & Cleveland Borough Council,Aaron Boyd Joinery,R & M of Build,"Growth, Enterprise and Environment",Property Services,10073,Capital Works,Revenue,40808379,250,2025-03-12 00:00:00
Redcar & Cleveland Borough Council,Abridge Construction Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40807290,6000,2025-03-04 00:00:00
Redcar & Cleveland Borough Council,Abridge Construction Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40807292,9990,2025-03-04 00:00:00
Redcar & Cleveland Borough Council,Abridge Construction Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40808696,9990,2025-03-10 00:00:00
Redcar & Cleveland Borough Council,Abridge Construction Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40811350,5280,2025-03-20 00:00:00
Redcar & Cleveland Borough Council,Abridge Construction Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40812575,9990,2025-03-25 00:00:00
Redcar & Cleveland Borough Council,Academy Bathrooms Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40809092,3555.66,2025-03-13 00:00:00
Redcar & Cleveland Borough Council,Academy Bathrooms Ltd,Capital Grant Expenditure,Adults & Communities,Operation Partnerships & Provider Services,C20089,Disabled Facilities Grant,Capital,40814081,4935.24,2025-03-28 00:00:00
Redcar & Cleveland Borough Council,ACCESS UK LTD,Private Contractors,Adults & Communities,Partnership Lead,11209,BCF - Social Prescribing,Revenue,40806812,48203.71,2025-03-26 00:00:00
Redcar & Cleveland Borough Council,ACCESS UK LTD,Private Contractors,Adults & Communities,Partnership Lead,11209,BCF - Social Prescribing,Revenue,40808255,4016.98,2025-03-26 00:00:00
Redcar & Cleveland Borough Council,ACCESS UK LTD,Private Contractors,Adults & Communities,Partnership Lead,11209,BCF - Social Prescribing,Revenue,40808257,4016.98,2025-03-26 00:00:00
