DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Environment & Community Services Directorate,45110,513.24,Colsen Industries Ltd,Invoice,Materials
Capital Expenditure,45110,6238,Ascendit Lifts Ltd,Invoice,CAPEXP Housing Grants Analysis
Children's Services Directorate,45110,13747.57,RuT Schools Services Ltd,Invoice,PFI Contract Costs
Adult Social Services Directorate,45110,4790.85,Richmond Housing Partnership,Invoice,Supported Living
Adult Social Services Directorate,45110,1339.57,WP Care Ltd T/A Blue Ribbon (S,Invoice,External Homecare
Adult Social Services Directorate,45110,17103.17,Absolute Care Services (Richmo,Invoice,External Homecare
Environment & Community Services Directorate,45110,1617.4,Newsquest Media Group Ltd,Invoice,Section 14 RTA Costs
Adult Social Services Directorate,45110,750.9,NUR Professionals Ltd,Invoice,Consultants Fees
Housing & Regeneration Directorate,45110,9949.18,Dawsongroup Vans Ltd,Invoice,Transport Hire & Leasing Costs
Adult Social Services Directorate,45110,6716.8,Support For Living Ltd,Invoice,Supported Living
Environment & Community Services Directorate,45110,80548.88,F M Conway Limited,Invoice,CPZ Zone Extensions
Capital Expenditure,45110,1554.9,ASTON CORD LIMITED,Invoice,CAPEXP Housing Grants Analysis
Capital Expenditure,45110,7601,F G Mileham Ltd 1966,Invoice,CAPEXP Housing Grants Analysis
Children's Services Directorate,45110,309093.38,Hampton Junior School,Invoice,School Budget Share
Children's Services Directorate,45110,70294.4,Hampton Wick Infants School,Invoice,School Budget Share
Children's Services Directorate,45110,88262.6,St John The Baptist School,Invoice,School Budget Share
Children's Services Directorate,45110,225033.01,St Marys & St Peters Primary S,Invoice,School Budget Share
Children's Services Directorate,45110,229051.46,St James'  RC Primary School,Invoice,School Budget Share
Children's Services Directorate,45110,150668.15,Orleans Primary school,Invoice,School Budget Share
Children's Services Directorate,45110,190456.42,Stanley Primary School,Invoice,School Budget Share
Children's Services Directorate,45110,238753.81,Collis School,Invoice,School Budget Share
Children's Services Directorate,45110,453677.95,Christ's School,Invoice,School Budget Share
Children's Services Directorate,45110,229443.27,The Vineyard Primary School,Invoice,School Budget Share
Children's Services Directorate,45110,141996.09,The Queens School,Invoice,School Budget Share
Children's Services Directorate,45110,159495.62,St Edmund's R.C.School,Invoice,School Budget Share
Children's Services Directorate,45110,155659.63,Barnes Primary School,Invoice,School Budget Share
Children's Services Directorate,45110,58841.9,Kew Riverside Primary School,Invoice,School Budget Share
Adult Social Services Directorate,45110,7463.04,Together for Mental Wellbeing ,Invoice,External Residential Care
Environment & Community Services Directorate,45110,22897.28,Serco Limited,Invoice,Waste Contract
Adult Social Services Directorate,45110,113083.18,ALPENBEST CARE LIMITED,Invoice,External Homecare
Adult Social Services Directorate,45110,1303.25,PREPAID FINANCIAL SERVICES,Invoice,Other Minor Contract Payments
Resources Directorate,45110,901.08,REDACTED PERSONAL DATA,Invoice,Printing 
Environment & Community Services Directorate,45110,907.2,Pool Tech Services Ltd,Invoice,Equipment
Environment & Community Services Directorate,45110,946.74,Gaffey Technical Services Ltd,Invoice,Materials
Capital Expenditure,45110,1500,Frankham Risk Management Servi,Invoice,CAPEXP Other Building Reltd Wk
Chief Executives Directorate,45110,780,Slamm Productions,Invoice,General Contract Work
Adult Social Services Directorate,45110,5054.66,Caremark Richmond or Hounslow,Invoice,External Homecare
Adult Social Services Directorate,45110,500,Ahmed Arch Limited,Invoice,Consultants Fees
Adult Social Services Directorate,45110,13964.65,Haven Care Ltd,Invoice,External Homecare
Adult Social Services Directorate,45110,792,Action First Assessments Ltd,Invoice,Advocacy contract
Chief Executives Directorate,45110,850,Home Community Cafe Ltd,Invoice,General Contract Work
Adult Social Services Directorate,45110,831.86,United Response Services LTD,Invoice,Day Care
Adult Social Services Directorate,45110,1475.71,NonStop Consulting Ltd,Invoice,Agency Staff
Resources Directorate,45110,291200,Marsh Ltd,Invoice,Premises Insurance
Environment & Community Services Directorate,45110,1600,Greenway MD Limited,Invoice,Materials
Adult Social Services Directorate,45110,1077.44,Together at Home t/a Visiting ,Invoice,External Homecare
Capital Expenditure,45110,3120,Designed by Good People Ltd,Invoice,CAPEXP Other Building Reltd Wk
Adult Social Services Directorate,45110,4785.5,Vital Care and Support Ltd,Invoice,External Homecare
Housing & Regeneration Directorate,45110,6394.58,Commercial Limited,Invoice,Stationery
Adult Social Services Directorate,45110,3200,Lassod Consulting Limited,Invoice,External Homecare
Adult Social Services Directorate,45110,854.73,UK Star Care Ltd,Invoice,Re-ablement
Resources Directorate,45111,50915.49,RICHMOND HOUSING PARTNERSHIP,Invoice,Rent Allowances
Resources Directorate,45111,653.8,PA HOUSING,Invoice,Rent Allowances
Housing & Regeneration Directorate,45111,9502.3,Royal Mail Group Ltd,Invoice,Postage
Environment & Community Services Directorate,45111,1242,Streetmaster (South Wales) Ltd,Invoice,Materials
Adult Social Services Directorate,45111,12150.74,Look Ahead Care and Support Lt,Invoice,Supported Living
Housing & Regeneration Directorate,45111,635.64,Antalis Ltd,Invoice,Printing 
Environment & Community Services Directorate,45111,3230.28,Medisort Ltd,Invoice,Clinical Waste Contract
Environment & Community Services Directorate,45111,18790.92,F M Conway Limited,Invoice,CPZ Zone Extensions
Capital Expenditure,45111,68615.26,Continental Landscapes Ltd,Invoice,CAPEXP Purchase of Asset
Environment & Community Services Directorate,45111,677.87,GREATBATCH LTD,Invoice,Traffic and Pedestrian Meas
Environment & Community Services Directorate,45111,10924.03,Serco Limited,Invoice,Waste Contract
Adult Social Services Directorate,45111,47478.77,NATIONAL SCHIZOPHRENIA FELLOWS,Invoice,Advocacy contract
Environment & Community Services Directorate,45111,14630.42,Operational Services,Invoice,Highways Maintenance Con
Resources Directorate,45111,724.01,ALLIED PUBLICITY SERV (MANCHES,Invoice,Disabled Persons Car Badge
Capital Expenditure,45111,24939,Playle & Partners LLP,Invoice,CAPEXP Professional Fees
Capital Expenditure,45111,600,REDACTED PERSONAL DATA,Invoice,CAPEXP Professional Fees
Environment & Community Services Directorate,45111,557.57,Sue Hill Recruitment & Service,Invoice,Agency Staff
Chief Executives Directorate,45111,2817.84,Talentino Limited,Invoice,Project Work
Housing & Regeneration Directorate,45112,850,REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,45112,1000,REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,45112,1000,REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Environment & Community Services Directorate,45112,2232,SE1 Picture Frames Ltd,Invoice,Materials
Environment & Community Services Directorate,45112,1286.4,Just Projectors,Invoice,Equipment
Housing & Regeneration Directorate,45112,2100,REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,45112,4320,REDACTED PERSONAL DATA,Invoice,Homeless Red Act Initiatives
Housing & Regeneration Directorate,45112,1120.38,PA Housing,Invoice,Homeless Red Act Initiatives
Chief Executives Directorate,45112,500,Mind and Planet Ltd,Invoice,Project Work
