Body,Expense Area,Supplier,Expense Type,Reference,Date,Amount
Rotherham Metropolitan Borough Council,Regeneration & Environment,Carlton Forest Rescue Centre,Boarding Kennels,10684740,45344,1740
Rotherham Metropolitan Borough Council,Regeneration & Environment,Carlton Forest Rescue Centre,Boarding Kennels,10684741,45344,1798
Rotherham Metropolitan Borough Council,Regeneration & Environment,Carlton Forest Rescue Centre,Boarding Kennels,10684743,45344,1740
Rotherham Metropolitan Borough Council,Regeneration & Environment,Carlton Forest Rescue Centre,Boarding Kennels,10684746,45344,1798
Rotherham Metropolitan Borough Council,Regeneration & Environment,Carlton Forest Rescue Centre,Boarding Kennels,10684747,45344,1798
Rotherham Metropolitan Borough Council,Public Health,Chelsea And Westminster Hospital,Public Health & Care Services,10742147,45344,178.93
Rotherham Metropolitan Borough Council,Public Health,Chelsea And Westminster Hospital,Public Health & Care Services,10757868,45344,154.36
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Barnsley Mbc,Local Authority Spend,11418839,45342,750
Rotherham Metropolitan Borough Council,Public Health,Chelsea And Westminster Hospital,Public Health & Care Services,11465484,45344,169.51
Rotherham Metropolitan Borough Council,Public Health,Chelsea And Westminster Hospital,Public Health & Care Services,11465487,45344,215.89
Rotherham Metropolitan Borough Council,Regeneration & Environment,R Burkinshaw & Sons Ltd,Plant Hire,11505783,45334,3010
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45341,865344.53
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45337,5203
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Telecommunications Plc,Telecomms,11541757,45350,760.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Telecommunications Plc,Telecomms,11548415,45350,1080
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Telecommunications Plc,Telecomms,11548416,45350,1080
Rotherham Metropolitan Borough Council,Regeneration & Environment,Whale Tankers Ltd,Domestic And Commerical Appliances,11579328,45336,2310
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Supporting People - Generic Services,11606099,45337,1268.4
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Iansyst Ltd,Training Services,11606469,45341,3388.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11608396,45328,7938.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,Wright Bros Partnership Ltd,Repair And Maintenance,11621998,45348,205.58
Rotherham Metropolitan Borough Council,Adult Care & Housing,Rhodes Asbestos Services,Surveyors Architects & Auctions,11623764,45329,1285
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Supporting People - Generic Services,11651523,45337,61.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11668921,45329,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11693232,45345,214.77
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11694987,45329,108.73
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11703964,45329,424.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11705056,45329,525.1
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Caremark (Rotherham),Supporting People - Independent Sector Homecare,11705612,45341,287.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,Envirotec,Boarding Kennels,11708190,45349,150
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Surveillance Or Alarm Maintenance,11712036,45352,200
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11718132,45329,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11718133,45329,466.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11720630,45329,474.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11720632,45328,265.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Security Hardware And Accessories,11728473,45355,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11732960,45328,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11732978,45344,92
Rotherham Metropolitan Borough Council,Central Services,Insight Direct (Uk) Ltd,Technology,11741461,45334,381.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11743475,45328,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11749937,45341,14.62
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11749940,45341,30.95
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11749995,45341,9.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11750623,45328,265.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11751890,45330,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11755450,45328,265.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11758722,45328,95
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11758725,45330,1737.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11758727,45328,79
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11758732,45328,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Brytone Ltd,Catering Equipment,11758796,45330,89
Rotherham Metropolitan Borough Council,Adult Care & Housing,Jedson Composite Doors Ltd,New Build & Major Refurb Trades,11759713,45352,4752.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,Grant Stewart Construction Ltd,Repair And Maintenance,11761658,45355,1350
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11762180,45345,1196.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11763218,45337,-2472.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nisbets,Catering Equipment,11763318,45337,15.16
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nisbets,Catering Equipment,11763318,45337,433.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aecom Infrastructure & Environment Uk,Consultancy,11765434,45329,12860
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ajp Logistics Ltd,Traffic Management Services,11765454,45329,1296.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Surveillance Or Alarm Maintenance,11765463,45344,106.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ninehundred Communications,Technology,11765622,45345,-1.29
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Emergency Lighting And Accessories,11769158,45337,374.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11770438,45328,320
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11770868,45345,737.54
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Sheffield Fruit Trees Ltd,Landscaping,11771116,45334,2570
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11771914,45341,207
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11771916,45356,104
Rotherham Metropolitan Borough Council,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11771956,45330,505
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11772022,45328,585
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11772135,45328,2452.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11776042,45328,125
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11776044,45352,690
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J North Ltd,Road Markings And Traffic Management,11776268,45351,354.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J North Ltd,Road Markings And Traffic Management,11776269,45328,152.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,W J North Ltd,Road Markings And Traffic Management,11776348,45328,1390.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham United Community Trust,Sporting Entertainment & Culture,11776371,45335,4000
Rotherham Metropolitan Borough Council,Adult Care & Housing,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11776419,45343,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Hsl Compliance Ltd,Repair And Maintenance,11780099,45338,189
