BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45309,865344.53
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45308,5203
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11581588,45313,-150
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Network Rail Infrastructure Ltd,Transport Operations And Logistics,11621485,45309,1898.07
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Providence Maintenance & Electrical,Repair And Maintenance,11622119,45327,32
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Network Rail Infrastructure Ltd,Transport Operations And Logistics,11622894,45309,1360.81
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Access Uk Ltd,Consultancy,11651061,45327,950
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Network Rail Infrastructure Ltd,Transport Operations And Logistics,11654270,45309,7523.63
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Central Services,Insight Direct (Uk) Ltd,Technology,11659664,45323,662.66
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11668452,45313,949.71
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11668452,45313,-213.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Bevan Brittan,Legal Services,11676912,45307,325
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Bevan Brittan,Legal Services,11676913,45307,325
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Insight Direct (Uk) Ltd,Technology,11678335,45307,218.57
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11684281,45307,191.86
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Jones Lighting Ltd,Street Lighting Materials,11684847,45306,8882.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11692389,45313,949.71
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11692389,45313,-213.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11720235,45307,315.97
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11721839,45295,305.9
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Q-Free (Bristol) Uk Ltd,Street Lighting Materials,11722367,45303,2568
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",British Gas,Energy,11727900,45313,1.52
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Insight Direct (Uk) Ltd,Technology,11728143,45307,9.29
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11728416,45295,140
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Dna Legal,Consultancy,11728506,45302,838
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11730753,45316,393.27
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11733067,45314,1469.25
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",British Gas,Energy,11733141,45322,86.33
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",British Gas,Energy,11733141,45322,338.8
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,James Burrell Ltd,Building Materials,11733159,45306,3001.92
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Grant Stewart Construction Ltd,Repair And Maintenance,11734267,45303,420
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Connect Healthcare Rotherham Cic,Comprehensive Health Services,11734273,45295,62750
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11734655,45302,39.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11734888,45302,39.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11735654,45313,239.73
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Chem Jet Ltd,Cleaning And Janitorial Services,11735664,45317,325
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Providence Maintenance & Electrical,Repair And Maintenance,11735848,45299,170
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Caremark (Rotherham),Supporting People - Independent Sector Homecare,11735851,45315,287.76
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Dfp Services Ltd,Surveillance Or Alarm Maintenance,11737243,45313,280.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Caremark (Rotherham),Supporting People - Independent Sector Homecare,11740683,45315,287.76
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Central Services,Insight Direct (Uk) Ltd,Technology,11741460,45309,284.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Central Services,Insight Direct (Uk) Ltd,Technology,11741464,45309,284.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Iansyst Ltd,Training Services,11741533,45317,898.66
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Northern Powergrid (Yorkshire) Plc,Street Lighting Materials,11741598,45314,1220
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,The Apple Tree Centre (South Yorkshire),Supporting People - Mental Health,11741756,45309,625
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11741788,45308,15836.82
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11741789,45314,1371.03
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11741792,45314,246.52
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11741812,45306,242.4
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11742769,45302,2268.22
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11742888,45302,22.18
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11742889,45302,1295.48
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Jobling Purser Ltd,Re-Instatement Materials,11742892,45321,155
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11742893,45307,2783.9
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11743474,45313,583.44
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,British Gas,Energy,11743663,45303,800.51
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Dulux Decorator Centres,Repair And Maintenance,11743665,45314,1085.49
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743815,45310,407.29
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743815,45310,-91.56
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743817,45310,265.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743817,45310,-53.41
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743818,45310,248.62
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743818,45310,-49.59
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743819,45310,248.62
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11743819,45310,-49.59
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Finance & Customer Services,Signs Express Ltd,General Signage,11743844,45327,28.96
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Enterprise Flex-E-Rent,Fleet Hire And Purchase Financing,11747818,45313,-9.03
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Iansyst Ltd,Training Services,11747882,45317,360
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Bg Energy Solutions Ltd,Repair And Maintenance,11749908,45307,632.5
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11749972,45315,4725.64
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11750624,45316,132.6
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Children & Young Peoples Serv,Rotherham Parents Forum Ltd,Supporting People - Foster Care,11750626,45295,6250
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Npower,Energy,11750647,45306,215
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Npower,Energy,11750648,45306,215
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,"Adult Care, Housing & Public Health",Npower,Energy,11750649,45306,215
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Npower,Energy,11750650,45306,215
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Npower,Energy,11750651,45306,215
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11750678,45302,1943.22
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11751337,45300,180
ROTHERHAM METROPOLITAN BOROUGH COUNCIL,Regeneration & Environment,Osi Ltd,Stationery Furniture & It Consumables,11751399,45296,-30
