BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,STAG SECURITY,Security,11388976,45128,1440
Rotherham Metropolitan Borough Council,Regeneration & Environment,FIRE SAFETY SERVICES (FSS) LTD,Vehicle Recovery Maintenance Repair,11497260,45124,3.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11505816,45117,2276.41
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11511224,45135,525.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,RAPID RACKING LTD,Removal Services,11511331,45114,735
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11511923,45124,252.67
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512686,45134,505.61
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512687,45134,383.23
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512688,45134,351.09
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512695,45134,522.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512696,45134,390.03
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512698,45134,310.29
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512699,45134,447.51
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512700,45135,574.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512701,45135,353.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512702,45134,328.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,MORRISON FS LTD (FACILITIES MANAGEMENT),Repair And Maintenance,11512703,45134,616.29
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Repair And Maintenance,11524549,45113,2887.08
Rotherham Metropolitan Borough Council,Assistant Chief Executive,TUSKER DIRECT,Fleet Hire And Purchase Financing,11525878,45124,-495.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,HALL PLANT HIRE LTD,Plant Hire,11529066,45117,1395.1
Rotherham Metropolitan Borough Council,Adult Care & Housing,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11529852,45117,192.49
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11530531,45119,469.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,DENNIS EAGLE LTD,Transport Operations And Logistics,11530681,45117,872.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11533257,45117,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11533264,45124,203.42
Rotherham Metropolitan Borough Council,Adult Care & Housing,PRISM MEDICAL UK LTD,Lifts And Adaptation,11534169,45132,-78.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11534290,45117,3188.08
Rotherham Metropolitan Borough Council,Central Services,SOUTH YORKSHIRE MAYORAL,Levy Charges Or Fees,11534849,45125,865344.53
Rotherham Metropolitan Borough Council,Central Services,SOUTH YORKSHIRE PENSIONS,Levy Charges Or Fees,11535633,45124,5203
Rotherham Metropolitan Borough Council,Assistant Chief Executive,TUSKER DIRECT,Fleet Hire And Purchase Financing,11540211,45124,-308.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CAREMARK (ROTHERHAM),Supporting People - Independent Sector Homecare,11540243,45124,308
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11542103,45119,203.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11550838,45141,64
Rotherham Metropolitan Borough Council,Regeneration & Environment,RODGERS PLANT HIRE LTD,Plant Hire,11555010,45135,260
Rotherham Metropolitan Borough Council,Regeneration & Environment,JAMES BURRELL LTD,Building Materials,11555164,45118,7718
Rotherham Metropolitan Borough Council,Regeneration & Environment,RODGERS PLANT HIRE LTD,Plant Hire,11555210,45135,104
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,THE APPLE TREE CENTRE (SOUTH YORKSHIRE),Supporting People - Mental Health,11555262,45125,880
Rotherham Metropolitan Borough Council,Regeneration & Environment,SIRSI LTD,Software Maintenance And Support,11555289,45117,-220
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11555409,45117,2887.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11555755,45113,5745.74
Rotherham Metropolitan Borough Council,Finance & Customer Services,RICHARD VENI,Road Markings And Traffic Management,11555762,45119,500
Rotherham Metropolitan Borough Council,Regeneration & Environment,Q-FREE (BRISTOL) UK LTD,Street Lighting Materials,11558788,45118,5225
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11560962,45139,866
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,TEACHING PERSONNEL LTD,Agency Staff Services,11562258,45119,450
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11563371,45117,3188.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11564476,45119,1041.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,KILLGERM CHEMICALS LTD,Animal & Pet Supplies,11566564,45134,2115.78
Rotherham Metropolitan Borough Council,Regeneration & Environment,KILLGERM CHEMICALS LTD,Animal & Pet Supplies,11566564,45134,637.89
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,CAREMARK (ROTHERHAM),Supporting People - Independent Sector Homecare,11566836,45124,623.48
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,NAS SERVICES LIMITED,Supporting People - Learning Disabilities,11567053,45121,20214.14
Rotherham Metropolitan Borough Council,Central Services,CORE TECHNOLOGY SYSTEMS (UK) LTD,Technology,11570146,45121,4562.07
Rotherham Metropolitan Borough Council,Central Services,CORE TECHNOLOGY SYSTEMS (UK) LTD,Technology,11571258,45121,3897.26
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11571414,45118,409
Rotherham Metropolitan Borough Council,Adult Care & Housing,ANDREW LORD,Respite Care Services,11571495,45133,500
Rotherham Metropolitan Borough Council,Regeneration & Environment,LYNDHURST COOLING & HEATING SERVICES LTD,Repair And Maintenance,11572357,45124,1161.25
Rotherham Metropolitan Borough Council,Central Services,IANSYST LTD,Training Services,11572447,45128,566.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,TERBERG MATEC U.K. LTD,Vehicle Recovery Maintenance Repair,11577283,45119,190.62
Rotherham Metropolitan Borough Council,Adult Care & Housing,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11580405,45117,128.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,INDUSTRIAL DOOR SOLUTIONS LIMITED,Repair And Maintenance,11581586,45114,497.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,CONSTRUCTION TESTING SOLUTIONS LTD,Ppe Tools And Janitorial Supplies,11581683,45113,186.18
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11584323,45121,394.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,S & L ELECTRICAL LTD,Repair And Maintenance,11584478,45114,5236.6
Rotherham Metropolitan Borough Council,Central Services,INSIGHT DIRECT (UK) LTD,Technology,11585397,45128,66684.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11585421,45117,2887.08
Rotherham Metropolitan Borough Council,Assistant Chief Executive,WEL MEDICAL LTD,Health And Hygiene Equipment,11585510,45121,821
Rotherham Metropolitan Borough Council,Assistant Chief Executive,WEL MEDICAL LTD,Health And Hygiene Equipment,11585510,45121,418.95
Rotherham Metropolitan Borough Council,Regeneration & Environment,AHR ARCHITECTS LTD,Surveyors Architects & Auctions,11585659,45131,3058.03
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11586095,45113,320
Rotherham Metropolitan Borough Council,Regeneration & Environment,ENVIROTEC,Animal & Pet Supplies,11586164,45118,690.8
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586263,45114,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586266,45114,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586270,45114,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586271,45114,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11586272,45113,320
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586273,45114,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586274,45114,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11586275,45114,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11586280,45113,72
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11586288,45118,1000.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,PARKWAY SHEET METAL WORKS LTD,Re-Instatement Materials,11586375,45118,683
Rotherham Metropolitan Borough Council,Regeneration & Environment,CONSTRUCTION TESTING SOLUTIONS LTD,Ppe Tools And Janitorial Supplies,11587255,45113,48.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587348,45124,1690.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,NG BAILEY FACILITIES SERVICES LIMITED,Repair And Maintenance,11587349,45124,1690.88
