BODY,NAME,EXPENSE AREA,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Adult Care & Housing,WATER PLUS LTD,Water Services,10807789,45091,-44.69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,LEXTOX,Public Health & Care Services,11358477,45110,656
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367356,45089,1247.22
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367356,45089,1428.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367358,45092,421.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367359,45092,421.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367360,45089,842.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367362,45092,6316.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367369,45092,287.82
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11367374,45092,287.82
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,ACOUSTIC METROLOGY LTD,Instrument Testing And Calibration,11369471,45084,1864.89
Rotherham Metropolitan Borough Council,Finance & Customer Services,HM REVENUE & CUSTOMS (NCIS) ONLY,Banking Leasing And Insurance,11389105,45093,-167.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,Road Markings And Traffic Management,11402203,45092,895.44
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,IANSYST LTD,Training Services,11404530,45083,681.66
