BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,Findlays Electrical Ltd,Repair And Maintenance,11398685,45216,486
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bibliotheca Ltd,Technology,11426343,45204,1035
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bibliotheca Ltd,Technology,11426343,45204,10675
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Repair And Maintenance,11504744,45212,74
Rotherham Metropolitan Borough Council,Central Services,Danvm Drainage Commissioners,Supporting Minorities & Communities,11534801,45230,2102
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45217,865344.53
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45216,5203
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Sutcliffe Play Limited,Landscaping,11553578,45208,2208.96
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11562402,45222,840.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Brantwood Specialist School,Specialized Educational Servic,11572807,45224,33507.48
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Brantwood Specialist School,Specialized Educational Servic,11572813,45224,34045.43
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11579284,45210,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11581587,45232,-171.36
Rotherham Metropolitan Borough Council,Regeneration & Environment,Arrow Commercial Centre Huddersfield Ltd,Fleet Hire And Purchase Financing,11581587,45232,38.52
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Rotherham Nhs Foundation Trust,Public Health & Care Services,11593444,45205,241.72
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bevan Brittan,Legal Services,11598446,45210,3849.23
Rotherham Metropolitan Borough Council,Finance & Customer Services,Pitney Bowes Ltd,Technology,11599810,45233,-20
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601587,45212,1106.67
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601591,45212,1054
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601593,45212,720.67
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601595,45212,891
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601599,45212,546.66
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601601,45212,646.33
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601603,45212,646.33
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601605,45212,1084.66
