BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,10741951,45180,120
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Dulux Decorator Centres,Repair And Maintenance,10742407,45175,954.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11352034,45180,120
Rotherham Metropolitan Borough Council,Regeneration & Environment,Orbis Protect Ltd,Security,11373153,45184,290.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,Orbis Protect Ltd,Security,11373154,45184,375.74
Rotherham Metropolitan Borough Council,Regeneration & Environment,Industrial Door Solutions Limited,Repair And Maintenance,11449683,45180,135
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fire Safety Services (Fss) Ltd,Fire Extinguishers,11502320,45180,594
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11504511,45201,-248.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11504521,45201,-679.36
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11516876,45176,45
Rotherham Metropolitan Borough Council,Regeneration & Environment,Xylem Water Solutions Uk Ltd,Repair And Maintenance,11521558,45184,6320
Rotherham Metropolitan Borough Council,Regeneration & Environment,Rotherham Nhs Foundation Trust,Public Health & Care Services,11523265,45203,1222.99
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11528829,45176,431.2
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11529204,45184,799.8
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11529308,45176,470.52
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11529310,45176,60
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11529311,45176,673.63
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Environment Agency,Licence & Professional Fees,11534832,45197,30286.81
Rotherham Metropolitan Borough Council,Assistant Chief Executive,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45187,865344.53
Rotherham Metropolitan Borough Council,Assistant Chief Executive,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45184,5203
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11541282,45201,151.18
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11549997,45182,215
Rotherham Metropolitan Borough Council,Regeneration & Environment,Culligan (Uk) Ltd,Food And Drink,11577110,45198,15.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11581764,45201,107.42
Rotherham Metropolitan Borough Council,Regeneration & Environment,Analan Supplies Ltd,Ppe Tools And Janitorial Supplies,11590725,45184,502.9
Rotherham Metropolitan Borough Council,Finance & Customer Services,Softcat Ltd,Technology,11591667,45180,39.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,Chartered Trading Standards Institute,Licence & Professional Fees,11591764,45197,1710
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11592746,45182,215
Rotherham Metropolitan Borough Council,Regeneration & Environment,Npower,Energy,11592748,45182,215
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bibliotheca Ltd,Technology,11593327,45203,4350
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Bevan Brittan,Legal Services,11598374,45194,325
