Invoice Date,Transaction Number,Invoice Number,Amount,Supplier Number(T),Supplier Number,VAT Registration Number,Text,Expense Area(T),Expense Code,Expense Code(T),Expense Type(T)
12/04/2022,5393040,,6,,,,Land Registry,Revenues,R4401,Fees and Charges,
12/04/2022,5393040,,3,,,,Land Registry,Development Control,R4401,Fees and Charges,
12/04/2022,5393040,,12,,,,Land Registry,Property Services,R4401,Fees and Charges,
14/04/2022,5393040,,32.58,,,,Allpay,AllPay,R4401,Fees and Charges,
26/04/2022,5393040,,9,,,,Land Registry,Highways Management,R4401,Fees and Charges,
26/04/2022,5393040,,9,,,,Land Registry,Revenues,R4401,Fees and Charges,
26/04/2022,5393040,,24,,,,Land Registry,Property Services,R4401,Fees and Charges,
04/04/2022,5393040,,12,,,,Land Registry,Property Services,R4401,Fees and Charges,
04/04/2022,5393040,,6,,,,Land Registry,Forestry Maintenance,R4401,Fees and Charges,
04/04/2022,5393040,,6,,,,Land Registry,Public Rights of Way,R4401,Fees and Charges,
05/04/2022,5393040,,3,,,,Land Registry,Revenues,R4401,Fees and Charges,
20/04/2022,5393040,,6,,,,Land Registry,Highways Management,R4401,Fees and Charges,
20/04/2022,5393040,,3,,,,Land Registry,Public Rights of Way,R4401,Fees and Charges,
20/04/2022,5393040,,3,,,,Land Registry,Development Control,R4401,Fees and Charges,
14/04/2022,5393040,,12.5,,,,Allpay,Corporate Financial Expenses,R4401,Fees and Charges,
14/04/2022,5393040,,253.18,,,,Allpay,AllPay,R4401,Fees and Charges,
14/04/2022,5393040,,450.7,,,,Allpay,Corporate Financial Expenses,R4401,Fees and Charges,
01/04/2022,5393040,,9.93,,,,Merchant Rentals - Adult Learning,Corporate Financial Expenses,R4403,Bank Charges,
19/04/2022,5393040,,273.2,,,,Lloyds Service Charges - Payments Account,Corporate Financial Expenses,R4403,Bank Charges,
13/04/2022,5393040,,93.94,,,,Lloyds Cardnet Charges,Corporate Financial Expenses,R4403,Bank Charges,
19/04/2022,5393040,,637.4,,,,AIB Merchant Services,Parking,R4403,Bank Charges,
19/04/2022,5393040,,47.92,,,,Merchant Rentals - CST,Corporate Financial Expenses,R4403,Bank Charges,
21/04/2022,5393040,,96.54,,,,Lloyds Cardnet Charges,Corporate Financial Expenses,R4403,Bank Charges,
14/04/2022,5393040,,30,,,,Lloyds Cardnet Service Charge Car Parking 506176213,Parking,R4403,Bank Charges,
14/04/2022,5393040,,15,,,,Lloyds Cardnet Service Charge Car Parking 506244920,Parking,R4403,Bank Charges,
14/04/2022,5393040,,30,,,,Lloyds Cardnet Service Charge Car Parking 506173061,Parking,R4403,Bank Charges,
11/04/2022,5393040,,-3268.48,,,,Lloyds Interest - Payments Account,Interest Receivable,R9500,Interest,
30/04/2022,5393402,,2656.86,,,,Braintree Fees April 2022,Corporate Financial Expenses,R4403,Bank Charges,
30/04/2022,5393405,,1313.48,,,,Gov Pay Web Fees April 2022,Corporate Financial Expenses,R4403,Bank Charges,
07/04/2022,3757422,Redacted Personal Data,600,Redacted Personal Data,RC301728,,,Placements,R4400,Professional Fees,
07/04/2022,3757423,Redacted Personal Data,150,Redacted Personal Data,RC301976,,,Placements,R4400,Professional Fees,
07/04/2022,3757424,Redacted Personal Data,331.65,Redacted Personal Data,RC301349,,,Placements,R5017,TPP - Other,
07/04/2022,3757425,Redacted Personal Data,347.85,Redacted Personal Data,RC301349,,,Placements,R5017,TPP - Other,
07/04/2022,3757426,Redacted Personal Data,500,Redacted Personal Data,RC302024,,,Adoption,R4980,Miscellaneous Expenses,
07/04/2022,3757427,Redacted Personal Data,106.85,Redacted Personal Data,RC502418,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757428,Redacted Personal Data,396,Redacted Personal Data,RC502418,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757429,Redacted Personal Data,100,Redacted Personal Data,RC500229,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757430,Redacted Personal Data,103.65,Redacted Personal Data,RC500229,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757431,Redacted Personal Data,100,Redacted Personal Data,RC507010,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757432,Redacted Personal Data,103.65,Redacted Personal Data,RC507010,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757433,Redacted Personal Data,100,Redacted Personal Data,RC301144,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757434,Redacted Personal Data,103.65,Redacted Personal Data,RC301144,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757435,Redacted Personal Data,203.56,Redacted Personal Data,RC301349,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757436,Redacted Personal Data,203.56,Redacted Personal Data,RC301349,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757437,Redacted Personal Data,850,Redacted Personal Data,RC300942,,,Care Leavers,R4900,Accomodation Costs,
07/04/2022,3757438,Redacted Personal Data,59.6,Redacted Personal Data,RC301656,,,Care Leavers,R6292,Section 24 Payments,
07/04/2022,3757439,Redacted Personal Data,59.6,Redacted Personal Data,RC301917,,,Care Leavers,R6292,Section 24 Payments,
07/04/2022,3757440,Redacted Personal Data,59.6,Redacted Personal Data,RC301765,,,Care Leavers,R6292,Section 24 Payments,
07/04/2022,3757441,Redacted Personal Data,64,Redacted Personal Data,RC508568,,,Care Leavers,R6292,Section 24 Payments,
07/04/2022,3757442,Redacted Personal Data,10,Redacted Personal Data,RC301475,,,Care Leavers,R6292,Section 24 Payments,
07/04/2022,3757443,Redacted Personal Data,37.15,Redacted Personal Data,RC300036,,,Family Support Services,R4400,Professional Fees,
07/04/2022,3757444,Redacted Personal Data,15,Redacted Personal Data,RC508869,,,Placements,R6291,Section 23 Payments,
07/04/2022,3757445,Redacted Personal Data,15,Redacted Personal Data,RC506075,,,Placements,R6291,Section 23 Payments,
07/04/2022,3757446,Redacted Personal Data,15,Redacted Personal Data,RC506286,,,Placements,R6291,Section 23 Payments,
07/04/2022,3757447,Redacted Personal Data,206,Redacted Personal Data,RC508778,,,Placements,R5017,TPP - Other,
07/04/2022,3757448,Redacted Personal Data,165,Redacted Personal Data,RC506075,,,Placements,R5017,TPP - Other,
07/04/2022,3757449,Redacted Personal Data,206,Redacted Personal Data,RC506286,,,Placements,R5017,TPP - Other,
07/04/2022,3757450,Redacted Personal Data,165,Redacted Personal Data,RC300814,,,Placements,R5017,TPP - Other,
07/04/2022,3757451,Redacted Personal Data,206,Redacted Personal Data,RC301960,,,Placements,R5017,TPP - Other,
07/04/2022,3757452,Redacted Personal Data,165,Redacted Personal Data,RC507222,,,Placements,R5017,TPP - Other,
07/04/2022,3757453,Redacted Personal Data,165,Redacted Personal Data,RC301040,,,Placements,R5017,TPP - Other,
07/04/2022,3757454,Redacted Personal Data,165,Redacted Personal Data,RC301040,,,Placements,R5017,TPP - Other,
07/04/2022,3757455,Redacted Personal Data,249,Redacted Personal Data,RC301893,,,Placements,R5017,TPP - Other,
07/04/2022,3757456,Redacted Personal Data,143.95,Redacted Personal Data,RC301658,,,Placements,R5017,TPP - Other,
07/04/2022,3757457,Redacted Personal Data,145,Redacted Personal Data,RC302008,,,Placements,R5017,TPP - Other,
07/04/2022,3757458,Redacted Personal Data,165,Redacted Personal Data,RC302008,,,Placements,R5017,TPP - Other,
07/04/2022,3757459,Redacted Personal Data,218.81,Redacted Personal Data,RC508778,,,Placements,R5017,TPP - Other,
07/04/2022,3757460,Redacted Personal Data,218.81,Redacted Personal Data,RC506075,,,Placements,R5017,TPP - Other,
07/04/2022,3757461,Redacted Personal Data,218.81,Redacted Personal Data,RC506286,,,Placements,R5017,TPP - Other,
07/04/2022,3757462,Redacted Personal Data,218.81,Redacted Personal Data,RC300814,,,Placements,R5017,TPP - Other,
07/04/2022,3757463,Redacted Personal Data,124.74,Redacted Personal Data,RC301960,,,Placements,R5017,TPP - Other,
07/04/2022,3757464,Redacted Personal Data,218.81,Redacted Personal Data,RC507222,,,Placements,R5017,TPP - Other,
07/04/2022,3757465,Redacted Personal Data,124.74,Redacted Personal Data,RC301040,,,Placements,R5017,TPP - Other,
07/04/2022,3757466,Redacted Personal Data,93.56,Redacted Personal Data,RC301040,,,Placements,R5017,TPP - Other,
07/04/2022,3757467,Redacted Personal Data,172.8,Redacted Personal Data,RC507547,,,Placements,R5017,TPP - Other,
07/04/2022,3757468,Redacted Personal Data,163,Redacted Personal Data,RC508167,,,Placements,R5017,TPP - Other,
07/04/2022,3757469,Redacted Personal Data,167.4,Redacted Personal Data,RC507009,,,Placements,R5017,TPP - Other,
07/04/2022,3757470,Redacted Personal Data,168.13,Redacted Personal Data,RC507009,,,Placements,R5017,TPP - Other,
07/04/2022,3757471,Redacted Personal Data,222.96,Redacted Personal Data,RC507547,,,Placements,R5017,TPP - Other,
07/04/2022,3757472,Redacted Personal Data,139.85,Redacted Personal Data,RC503878,,,Placements,R5017,TPP - Other,
07/04/2022,3757473,Redacted Personal Data,404.59,Redacted Personal Data,RC508604,,,Placements,R5017,TPP - Other,
07/04/2022,3757474,Redacted Personal Data,120,Redacted Personal Data,RC507391,,,Placements,R5017,TPP - Other,
07/04/2022,3757475,Redacted Personal Data,124,Redacted Personal Data,RC300006,,,Placements,R5017,TPP - Other,
07/04/2022,3757476,Redacted Personal Data,206,Redacted Personal Data,RC502500,,,Placements,R5017,TPP - Other,
07/04/2022,3757477,Redacted Personal Data,249,Redacted Personal Data,RC502500,,,Placements,R5017,TPP - Other,
07/04/2022,3757478,Redacted Personal Data,206,Redacted Personal Data,RC502377,,,Placements,R5017,TPP - Other,
07/04/2022,3757479,Redacted Personal Data,130.77,Redacted Personal Data,RC507903,,,Placements,R5017,TPP - Other,
07/04/2022,3757480,Redacted Personal Data,121.08,Redacted Personal Data,RC508044,,,Placements,R5017,TPP - Other,
07/04/2022,3757481,Redacted Personal Data,295.62,Redacted Personal Data,RC300308,,,Placements,R5017,TPP - Other,
07/04/2022,3757482,Redacted Personal Data,163,Redacted Personal Data,RC506313,,,Placements,R5017,TPP - Other,
07/04/2022,3757483,Redacted Personal Data,289.74,Redacted Personal Data,RC301477,,,Placements,R5017,TPP - Other,
07/04/2022,3757484,Redacted Personal Data,330.74,Redacted Personal Data,RC301545,,,Placements,R5017,TPP - Other,
07/04/2022,3757485,Redacted Personal Data,249,Redacted Personal Data,RC505729,,,Placements,R5017,TPP - Other,
07/04/2022,3757486,Redacted Personal Data,249,Redacted Personal Data,RC505729,,,Placements,R5017,TPP - Other,
07/04/2022,3757487,Redacted Personal Data,289.7,Redacted Personal Data,RC301689,,,Placements,R5017,TPP - Other,
07/04/2022,3757488,Redacted Personal Data,145,Redacted Personal Data,RC301485,,,Placements,R5017,TPP - Other,
07/04/2022,3757489,Redacted Personal Data,100,Redacted Personal Data,RC302009,,,Education Otherwise,R4400,Professional Fees,
04/04/2022,3757490,43294/1,1020,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757491,43294/2,1094.85,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757492,43294/3,1026,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757493,43294/4,1094.85,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757494,43294/5,139.43,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757495,43294/6,1026,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757496,43294/7,1720,Aberdeen House Care Limited,RC506722,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757497,43295/8,1318.14,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5025,Short Term Care,
04/04/2022,3757499,43295/10,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Mental Health,R5025,Short Term Care,
04/04/2022,3757500,43295/11,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757501,43295/12,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,ASC P&S Respite OP,R5018,Respite,
04/04/2022,3757502,43295/13,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757503,43295/14,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757504,43295/15,1026,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757505,43295/16,1094.85,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757506,43295/17,521,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,ASC P&S Respite OP,R5018,Respite,
04/04/2022,3757507,43295/18,-1711.86,Kross Investments Ltd T/A Belton House Retirement Home,RC502319,,,Older People,R5025,Short Term Care,
04/04/2022,3757508,43270/19,1229.72,Braceborough Hall,RC502352,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757510,43271/21,1230,Broadoak Group Of Care Homes (Grange),RC502363,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757511,43259/22,2138.64,Rutland House Community Trust Ltd,RC502287,,,ASC S&R Homecare LD,R5029,TPP - Home Care,
04/04/2022,3757512,43259/23,1783.5,Rutland House Community Trust Ltd,RC502287,,,ASC S&R Homecare LD,R5029,TPP - Home Care,
04/04/2022,3757513,43259/24,754,Rutland House Community Trust Ltd,RC502287,,,ASC S&R Homecare PD,R5029,TPP - Home Care,
04/04/2022,3757514,43296/25,1094.85,Chater Lodge Care Home,RC502286,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757515,43296/26,1094.85,Chater Lodge Care Home,RC502286,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757516,43296/27,1094.85,Chater Lodge Care Home,RC502286,,,Older People,R5028,TPP - Residental Care,
04/04/2022,3757517,43272/28,1919.5,Chestnuts (Arnesby) Limited,RC506807,,,Learning Disability,R5028,TPP - Residental Care,
04/04/2022,3757518,43272/29,2387.5,Chestnuts (Arnesby) Limited,RC506807,,,Learning Disability,R5028,TPP - Residental Care,
