Body Name,Body,Date,Department,Beneficiary,Summary of Purpose (SeRCOP),Amount SUM,Merchant Code,Transaction Number,Supplier ID
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,5934.70,Deferred Charges/Grant Payments,2324P12_CR00001,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,2347.69,Deferred Charges/Grant Payments,2324P12_CR00002,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,2392.46,Deferred Charges/Grant Payments,2324P12_CR00003,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,1952.69,Deferred Charges/Grant Payments,2324P12_CR00004,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,4705.79,Deferred Charges/Grant Payments,2324P12_CR00005,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PREMIER MOBILITY UK LTD,Adults Social Care Capital,4627.03,Deferred Charges/Grant Payments,2324P12_CR00006,167259
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,WESSEX LIFT CO LTD,Adults Social Care Capital,12114.25,Deferred Charges/Grant Payments,2324P12_CR00007,01095737
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,WESSEX LIFT CO LTD,Adults Social Care Capital,13231.03,Deferred Charges/Grant Payments,2324P12_CR00008,01095737
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,WESSEX LIFT CO LTD,Adults Social Care Capital,11442.58,Deferred Charges/Grant Payments,2324P12_CR00009,01095737
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,DESIGN SYNTAX LIMITED,Adults Social Care Capital,24640.00,Deferred Charges/Grant Payments,2324P12_CR00010,106226
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,05-Mar-2024,Adults Social Care Capital,DESIGN SYNTAX LIMITED,Adults Social Care Capital,6627.50,Deferred Charges/Grant Payments,2324P12_CR00011,106226
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,HOME DESIGN,Adults Social Care Capital,9660.00,Deferred Charges/Grant Payments,2324P12_CR00012,141847
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,08-Mar-2024,Adults Social Care Capital,HOME DESIGN,Adults Social Care Capital,8000.00,Deferred Charges/Grant Payments,2324P12_CR00013,141847
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,NATIONAL GRID,Adults Social Care Capital,3970.06,Deferred Charges/Grant Payments,2324P12_CR00014,86451
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,05-Mar-2024,Adults Social Care Capital,PR BUILDING SERVICES,Adults Social Care Capital,7950.01,Deferred Charges/Grant Payments,2324P12_CR00015,167483
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,05-Mar-2024,Adults Social Care Capital,PR PROPERTY MAINTENANCE,Adults Social Care Capital,7950.01,Deferred Charges/Grant Payments,2324P12_CR00016,33836
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PR PROPERTY MAINTENANCE,Adults Social Care Capital,670.45,Deferred Charges/Grant Payments,2324P12_CR00017,33836
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PR PROPERTY MAINTENANCE,Adults Social Care Capital,670.45,Deferred Charges/Grant Payments,2324P12_CR00018,33836
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Adults Social Care Capital,PR PROPERTY MAINTENANCE,Adults Social Care Capital,4521.74,Deferred Charges/Grant Payments,2324P12_CR00019,33836
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,11-Mar-2024,Adults Social Care Capital,SPECTOR DESIGN LTD,Adults Social Care Capital,15270.84,Deferred Charges/Grant Payments,2324P12_CR00020,134898
