Detail Spend Analysis by Account ,,,
,,,
,,,
09/01/2023,PASSENGER RAILWAYS,trainline,70.59
08/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,59.99
30/03/2023,MOTION PICTURE THEATERS,WWW.PLAZACINEMA.ORG.UK,450
30/03/2023,MOTION PICTURE THEATERS,WWW.PLAZACINEMA.ORG.UK,450
30/03/2023,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS",BOUNCE HOUSE LIVERPOOL,252.95
08/03/2023,PASSENGER RAILWAYS,Trainline.COM,164.35
28/03/2023,PASSENGER RAILWAYS,WWW.AVANTIWESTCOAST.CO,137.1
20/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,99.98
24/01/2023,ELECTRICAL PARTS AND EQUIPMENT,Van Eck Video Service,42.72
25/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,26.87
26/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,18.89
08/02/2023,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",PARCELFORCE WL,14.95
15/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,-99.98
19/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,61.16
20/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,62.97
20/02/2023,CAMERA AND PHOTOGRAPHIC SUPPLY STORES,Jessops,20.48
06/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,136.93
10/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,16.98
07/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1H10M8ZZ4,61.92
10/01/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 1H7XP25D4,50.3
22/02/2023,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Amazon.co.uk 135DQ4IQ4,32.99
06/01/2023,PASSENGER RAILWAYS,Trainline.COM,58.17
06/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",PointAHotel Glasgow,50
30/01/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ROYAL CLIFFTON HOTEL,82
01/03/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",LUKE STAYS,504
02/03/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",ISTAY LIVERPOOL,300
09/03/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",LUKE STAYS,569
31/03/2023,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",LUKE STAYS,504
10/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,49
11/01/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",www.anyvan.com,75
11/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,38
11/01/2023,DISCOUNT STORES,ARGOS LTD,235
12/01/2023,DISCOUNT STORES,ARGOS LTD,93.95
13/01/2023,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",www.anyvan.com,37
13/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,55
17/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,94.99
19/01/2023,DISCOUNT STORES,ARGOS LTD,92.95
19/01/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,190.99
20/01/2023,DISCOUNT STORES,ARGOS LTD,-240
20/01/2023,DISCOUNT STORES,ARGOS LTD,128.95
20/01/2023,DISCOUNT STORES,ARGOS LTD,38.95
20/01/2023,DISCOUNT STORES,ARGOS LTD,240
23/01/2023,DEPARTMENT STORES,eBay O 21-09612-02203,179.99
24/01/2023,DISCOUNT STORES,ARGOS LTD,90
25/01/2023,DISCOUNT STORES,ARGOS LTD,25.95
25/01/2023,DISCOUNT STORES,ARGOS LTD,300
25/01/2023,REAL ESTATE AGENTS AND MANAGERS-RENTALS,COUNTRYNORTH,616
30/01/2023,DISCOUNT STORES,ARGOS LTD,73.95
31/01/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,NSPCC,35
31/01/2023,DISCOUNT STORES,ARGOS LTD,94.95
