,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","194,654.58","194,654.58"
01/02/2024,"GROCERY STORES, SUPERMARKETS",ASDA SUPERSTORE,207.25,,
02/02/2024,"GROCERY STORES, SUPERMARKETS",ASDA STORES 5849,28.10,,
04/02/2024,MISCELLANEOUS GENERAL MERCHANDISE,HOME BARGAINS AXIS,15.28,,
05/02/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,97.00,,
13/02/2024,TRAVELODGE,TRAVELODGE,70.01,,
14/02/2024,FAST FOOD RESTAURANTS,Just Eat,14.08,,
09/01/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,455.00,,
05/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,80.00,,
12/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,70.00,,
26/02/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205.00,,
08/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,80.00,,
21/03/2024,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,"1,502.99",,
23/01/2024,PASSENGER RAILWAYS,Northern Rail,10.80,,
28/03/2024,PASSENGER RAILWAYS,EAST MIDLANDS RAILWAY,49.95,,
11/01/2024,PHOTOGRAPHIC STUDIOS,CANVA I04027-22774256,10.99,,
18/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,54.99,,
19/01/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,64.14,,
19/01/2024,"GAME, TOY, AND HOBBY SHOPS",PS HOBBIES AND MODELS,800.00,,
19/01/2024,"GAME, TOY, AND HOBBY SHOPS",PS HOBBIES AND MODELS,630.70,,
22/01/2024,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,WP modeltown.co.uk,31.00,,
23/01/2024,"GAME, TOY, AND HOBBY SHOPS",PAYPAL CHALKGARDEN,657.30,,
24/01/2024,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,EB IM A TEENAGER.GET,175.00,,
31/01/2024,ADVERTISING SERVICES,FACEBK MEGN9WKV42,142.01,,
04/02/2024,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,11.99,,
08/02/2024,ADVERTISING SERVICES,FACEBK XNEM3YXJW2,2.00,,
08/02/2024,ADVERTISING SERVICES,FACEBK ZUW7HY7KW2,2.00,,
09/02/2024,ADVERTISING SERVICES,FACEBK 42DG52QKW2,2.00,,
09/02/2024,ADVERTISING SERVICES,FACEBK QD7Q52QKW2,2.00,,
09/02/2024,ADVERTISING SERVICES,FACEBK HWG6JY7KW2,2.00,,
09/02/2024,ADVERTISING SERVICES,FACEBK STK4JXFKW2,2.00,,
10/02/2024,ADVERTISING SERVICES,FACEBK V8HK62QKW2,2.00,,
10/02/2024,ADVERTISING SERVICES,FACEBK U6FZJY7KW2,2.00,,
10/02/2024,ADVERTISING SERVICES,FACEBK A8DRT2UKW2,3.00,,
10/02/2024,ADVERTISING SERVICES,FACEBK 7Z4DZXBKW2,3.00,,
10/02/2024,ADVERTISING SERVICES,FACEBK Y58GJY7KW2,2.00,,
11/02/2024,PHOTOGRAPHIC STUDIOS,CANVA I04058-14282438,10.99,,
11/02/2024,ADVERTISING SERVICES,FACEBK L8K9XYTJW2,3.00,,
11/02/2024,ADVERTISING SERVICES,FACEBK LTYWU2UKW2,5.00,,
12/02/2024,ADVERTISING SERVICES,FACEBK HCFRJ24KW2,5.00,,
12/02/2024,ADVERTISING SERVICES,FACEBK 9KXA8YXJW2,7.00,,
13/02/2024,ADVERTISING SERVICES,FACEBK F6284YBKW2,7.00,,
14/02/2024,ADVERTISING SERVICES,FACEBK RAN4PY7KW2,7.00,,
14/02/2024,ADVERTISING SERVICES,FACEBK SABP5YBKW2,7.00,,
16/02/2024,ADVERTISING SERVICES,FACEBK 94SQBYXJW2,12.00,,
17/02/2024,ADVERTISING SERVICES,FACEBK X87JPYKKW2,12.00,,
