,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","190,754.38","190,754.38"
06/10/2023,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",Dunelm M0715,198.95,,
06/10/2023,MISCELLANEOUS GENERAL MERCHANDISE,B&M 435 - HS SWITCH IS,188.13,,
20/10/2023,MISCELLANEOUS GENERAL MERCHANDISE,B&M 045 - BURSCOUGH,29.00,,
23/10/2023,MISCELLANEOUS GENERAL MERCHANDISE,HOME BARGAINS,5.97,,
24/10/2023,"BUILDING MATERIALS, LUMBER STORES",B&Q MARKETPLACE,33.96,,
14/11/2023,MISCELLANEOUS GENERAL MERCHANDISE,B&M 435 - HS SWITCH IS,58.99,,
16/12/2023,"GROCERY STORES, SUPERMARKETS",ASDA SUPERSTORE,43.60,,
16/12/2023,"GROCERY STORES, SUPERMARKETS",ASDA SUPERSTORE,75.50,,
17/12/2023,MEN'S AND WOMEN'S CLOTHING STORES,MATALAN,35.00,,
17/12/2023,MISCELLANEOUS GENERAL MERCHANDISE,B&M 435 - HS SWITCH IS,37.25,,
17/12/2023,"GAME, TOY, AND HOBBY SHOPS",SMYTHS TOYS LIVERPOOL,99.98,,
13/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,762.16,,
10/11/2023,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,FIND A WILL,1.50,,
03/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,16.03,,
03/10/2023,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,336.02,,
04/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,141.88,,
06/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,77.15,,
11/10/2023,PHOTOGRAPHIC STUDIOS,CANVA I03935-23142197,10.99,,
11/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,32.75,,
11/10/2023,DEPARTMENT STORES,eBay O 03-10650-57104,30.30,,
19/10/2023,"GROCERY STORES, SUPERMARKETS",CAZS KITCHEN,72.00,,
31/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,14.08,,
03/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,132.14,,
10/11/2023,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,POTTERYCRAFTS LIMITED,60.72,,
10/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,10.49,,
11/11/2023,PHOTOGRAPHIC STUDIOS,CANVA I03966-17427797,10.99,,
15/11/2023,"COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS",PARCELFORCE WL,10.20,,
22/11/2023,DEPARTMENT STORES,eBay O 13-10821-66214,23.50,,
24/11/2023,MISCELLANEOUS GENERAL MERCHANDISE,HOUSE OF HOBBIES,874.16,,
27/11/2023,"GAME, TOY, AND HOBBY SHOPS",PS HOBBIES AND MODELS,250.05,,
27/11/2023,ELECTRICAL PARTS AND EQUIPMENT,Premier Farnell,27.01,,
01/12/2023,HOUSEHOLD APPLIANCE STORES,AO RETAIL LIMITED,549.00,,
11/12/2023,PHOTOGRAPHIC STUDIOS,CANVA I03996-22760613,10.99,,
13/12/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,45.18,,
