SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period January 2023,,,,,,
Supplier,Amount,Date,Cost Centre,Account,Department,Summary of Expenditure
1 2 1 In The Community Ltd,561.60,04/01/2023,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,561.60,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,582.32,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,582.32,04/01/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,873.48,04/01/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,164.64",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,164.64",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",04/01/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,495.80",04/01/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1GC Family Law,"35,650.00",17/11/2022,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,512.46,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,521.95,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,521.95,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,531.44,06/01/2023,AP05,R4059,Adult Social Care,Physical Support - Adults 18-64 - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,550.42,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,559.91,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,588.38,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,607.36,06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,631.09,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,635.83,06/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,654.81,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,654.81,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,662.91,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,664.30,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,683.28,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,683.28,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,730.73,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,740.22,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,749.71,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,759.20,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,768.69,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,768.69,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,768.69,06/01/2023,AM10,R4051,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,778.18,06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,778.18,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,778.18,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,787.67,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,797.16,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,835.12,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,882.57,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,920.53,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,930.02,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,958.49,06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,977.47,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,986.96,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,986.96,06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,024.92",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,034.41",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,053.39",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,062.88",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,091.35",06/01/2023,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,119.82",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,138.80",06/01/2023,AN10,R4051,Adult Social Care,Mental Health Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,138.80",06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,186.25",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,214.72",06/01/2023,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,219.47",06/01/2023,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
1st Class Care Agency Ltd t/a Yes Care,"1,309.62",06/01/2023,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,328.60",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
1st Class Care Agency Ltd t/a Yes Care,"1,366.56",06/01/2023,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
