SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period April 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
 HMCTS,802.00,02/05/2023,GF23,R2453,Corporate Resources,Revenue & Benefits Council Tax - Fees - Legal
 HMCTS,"1,185.50",02/05/2023,GF23,R2453,Corporate Resources,Revenue & Benefits Council Tax - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
 HMCTS,"2,215.00",02/05/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
1 2 1 In The Community Ltd,561.60,26/04/2023,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,561.60,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,582.32,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,582.32,26/04/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,748.80,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,873.48,26/04/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,936.00,26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,164.64",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,455.80",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",26/04/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,495.80",26/04/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
11 King's Bench Walk,700.00,29/03/2023,YE01,R2451,Education Excellence,Early Years Service - Fees & Services - Other
24-7 Locks Ltd,626.00,05/04/2023,GN05,R2461,Communities,Vulnerable Victims Advocates - Security Charges
24x7 Ltd,"2,411.73",27/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"2,917.45",22/03/2023,YL22,R3305,Education Excellence,SEN Transport to Secondary Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,004.53",22/03/2023,YL12,R3310,Education Excellence,SEN Transport to Primary Schools - Out of Borough Transport costs
24x7 Ltd,"3,071.66",22/03/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"3,110.62",22/03/2023,YL65,R3310,Education Excellence,Travel Support Team - Out of Borough Transport costs
24x7 Ltd,"3,234.12",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,442.67",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.66",22/03/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"4,305.83",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"5,118.60",22/03/2023,YL60,R3310,Education Excellence,Post 16 Transport - Out of Borough Transport costs
24x7 Ltd,"6,114.90",22/03/2023,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"7,023.72",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"9,015.98",22/03/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
4PB,"87,000.00",06/03/2023,YS91,R2453,Children's Social Care,Childrens Admin - Legal Fees - Fees - Legal
7BR,935.00,19/04/2023,SL80,R2453,Corporate Resources,Coroners - Fees - Legal
8x8 UK Limited,"4,562.80",07/04/2023,GF16,R2655,Corporate Resources,Customer Services Team - Computer Costs
A A Molyneux Builders Ltd,"5,278.28",02/12/2022,CAP1,C1000,Capital,Capital - Capital Expenditure
A A Molyneux Builders Ltd,"5,830.84",28/02/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
A E Yates Ltd,"55,450.03",22/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
A Star Support Services Ltd.,910.00,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A1 STREAMLINE ROAD MARKINGS LTD,"1,162.50",31/03/2023,HS06,R2021,Communities,DSW (Dunes Splashworld) - Equipment - Purchase
Aaron Crest Care Home,"1,040.00",26/04/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
AAT (GB) LTD,"5,922.00",08/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
AAT (GB) LTD,"6,435.00",08/03/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Abbegale Lodge (2006) Li,539.12,26/04/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,609.90,26/04/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,749.12,26/04/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
