SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-�500 for period April 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
0151 Entertainments,"2,625.00",30/03/2024,GN36,R4454,Communities,A.C. - Sepac Wide - Molyneux Ward
1 2 1 In The Community Ltd,633.65,25/04/2024,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,25/04/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,739.26,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,985.55,25/04/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,985.55,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,440.00",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,605.28",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,816.00",25/04/2024,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"8,040.00",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
24x7 Ltd,"2,153.33",29/02/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
365 Support Limited,553.08,25/04/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
3C Payment UK Ltd,637.56,31/03/2024,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
3C Payment UK Ltd,945.29,31/03/2024,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
8x8 UK Limited,"-1,825.61",25/03/2024,GF30,R2655,Corporate Resources,ICT - Rechargeable Costs - Computer Costs
8x8 UK Limited,"3,300.00",28/03/2024,YS14,R2655,Children's Social Care,Mash - Computer Costs
8x8 UK Limited,"13,971.53",28/03/2024,GF63,R2655,Corporate Resources,ICT Contracts - Computer Costs
