SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period July 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Phoenix Software Limited,"-497,834.05",01/07/2024,GF63,R2655,Corporate Resources,ICT Contracts - Computer Costs
Tudor Bank N H,"-130,720.00",18/07/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
Bloomcare,"-39,470.03",18/07/2024,AM10,R4045,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Residential - Short Term
Arcare Boscobel Holdings Limited,"-38,047.10",18/07/2024,AL05,R4041,Adult Social Care,Learning Disability Support -Adults 18-64 - Private Residential Care Rest Homes
Arden College,"-30,010.33",13/05/2024,EH31,R4157,Education Excellence,Special General Expenditure (High Needs) - Post 16
Tudor Bank N H,"-26,056.35",18/07/2024,AM10,R4042,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Nursing Ho
WSP UK Ltd,"-21,502.86",15/07/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
WSP UK Ltd,"-21,502.86",15/07/2024,CAP1,C1000,Capital,Capital - Capital Expenditure
Bloomcare,"-18,782.50",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Southport Rest Home,"-17,736.68",18/07/2024,AP10,R4062,Adult Social Care,Physical Support - Older People 65+ - Transitional Beds - Residential
The Turner Home,"-16,171.54",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Alternative Futures Group,"-15,664.92",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
1 2 1 In The Community Ltd,"-11,955.47",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Blair House Care Home Limited,"-11,547.06",18/07/2024,AN10,R4049,Adult Social Care,Mental Health Support - Older People 65+ - Nursing- Short Term
Supplier Name Redacted,"-10,095.65",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
DHCH2 Dovehaven House,"-9,079.40",18/07/2024,AP10,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Keys PCE Ltd,"-7,425.39",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Alternative Approach,"-7,350.00",18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Supplier Name Redacted,"-6,819.45",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Expect Ltd,"-6,807.61",18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Abbegale Lodge (2006) Li,"-6,238.89",18/07/2024,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Cic,"-6,192.00",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Cic,"-6,192.00",18/07/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Alternative Approach,"-6,050.00",18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Dovehaven Res Care Hme,"-6,015.51",18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Nazareth House Rh,"-5,898.58",18/07/2024,AN10,R4045,Adult Social Care,Mental Health Support - Older People 65+ - Residential - Short Term
ICare GB Ltd,"-5,771.92",18/07/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
Abbeydale Nursing Home,"-5,544.00",18/07/2024,AM05,R4042,Adult Social Care,Support With Memory & Cognition - Adults 18-64 - Private Residential Care Nursing Ho
St Nicholas Care Home,"-5,444.85",18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Byron Court Care Home Limited,"-5,257.88",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Keys PCE Ltd,"-5,188.14",18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Assured Care Southport Limited.,"-4,829.44",22/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Suag,"-4,621.08",18/07/2024,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
DHCH14 Manchester House,"-4,571.43",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbegale Lodge (2006) Li,"-4,478.57",18/07/2024,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Byron Court Care Home Limited,"-4,020.73",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Assured Care Southport Limited.,"-3,880.99",22/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Blair House Care Home Limited,"-3,779.18",18/07/2024,AN10,R4045,Adult Social Care,Mental Health Support - Older People 65+ - Residential - Short Term
Mountbatton Care Limited,"-3,705.24",18/07/2024,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
DHCH6 Westcliffe Manor,"-3,195.97",18/07/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
DHCH14 Birch Abbey,"-3,093.66",18/07/2024,AM10,R4047,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Property Case - Residential Nursing Homes
Community Independent Living,"-3,011.00",15/07/2024,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Supplier Name Redacted,"-3,000.00",18/07/2024,AL05,R4057,Adult Social Care,Learning Disability Support -Adults 18-64 - Shared Lives
Hc-One Ltd,"-2,835.86",18/07/2024,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Thornton Hall,"-2,722.42",18/07/2024,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
