Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467150,"4,830.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467152,"4,830.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467153,"4,738.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467154,"4,600.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467160,"4,025.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467161,"4,158.17",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467163,"4,761.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467168,"4,830.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467176,"4,738.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467181,"5,290.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467182,"4,830.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467185,"5,290.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467194,"4,071.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467196,"5,290.00",Revenue,1000136,M H Elcock And Son Ltd Ta Elcock Reisen
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Equipment Furniture and Materials,04/05/2023,3474253,"5,566.08",Revenue,1000202,Leicestershire County Council
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,04/05/2023,3472932,"10,017.31",Revenue,1000220,Arriva Midlands Ltd
Shropshire,00GG,People - Looked After Children (LAC) Service,Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3474380,680.00,Revenue,1000220,Arriva Midlands Ltd
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11516809,520.80,Revenue,1000411,Cool Services Ltd
Shropshire,00GG,Place - Corporate Landlord - Admin Buildings,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11516811,"1,166.34",Revenue,1000411,Cool Services Ltd
Shropshire,00GG,Place - Corporate Landlord - Museums & Culture,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11516813,"1,717.88",Revenue,1000411,Cool Services Ltd
Shropshire,00GG,Place - Corporate Landlord - Admin Buildings,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11516814,"1,860.88",Revenue,1000411,Cool Services Ltd
Shropshire,00GG,Place - Care Management - Assistive Equipment & Technology,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11516597,"1,771.00",Revenue,1000542,Stannah Lift Services Ltd
Shropshire,00GG,Place - Planning Policy,Non Revenue - Non Revenue,04/05/2023,3471007,"3,859.61",Revenue,1000627,Wem Town Council
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/05/2023,11513541,494.96,Revenue,1000752,Window & Door Contract Services
Shropshire,00GG,Place - Broadband,Supplies & Services - Grants and Subscriptions,04/05/2023,3467367,"1,571.60",Revenue,1000755,Herefordshire Council
Shropshire,00GG,Capital - Broadband Capital,Non Revenue - Non Revenue,04/05/2023,3467373,"10,000.00",Capital,1000755,Herefordshire Council
Shropshire,00GG,Place - Environment and Transport (Public Transport),Transport-Related Expenditure - Contract Hire and Operating Leases,04/05/2023,3467549,607.10,Revenue,1000867,Enterprise Flex-E-Rent
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Equipment Furniture and Materials,04/05/2023,3474126,"2,066.06",Revenue,1000875,Premier Paper Group Ltd
Shropshire,00GG,Health and Wellbeing - Help to Change,Third Party Payments - Private Contractors,04/05/2023,3474415,867.50,Revenue,1000929,Wem And Prees Medical Practice
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,04/05/2023,11514765,561.60,Revenue,1000971,C & S Care Services Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/05/2023,11514764,"2,677.50",Revenue,1001105,Prestige Nursing Ltd
Shropshire,00GG,Resources - Legal Services – Child Care,Supplies & Services - Services,04/05/2023,3467734,850.00,Revenue,1001496,Personal redaction
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516825,767.40,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516829,767.82,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516837,599.63,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516838,"1,871.75",Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516841,718.88,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516842,"1,280.32",Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516844,979.73,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516845,"1,072.58",Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516846,646.57,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516847,538.32,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516848,670.07,Revenue,1001530,Bidfood
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/05/2023,11516849,837.70,Revenue,1001530,Bidfood
