Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,03/11/2023,3531414,"49,995.47",Revenue,1000220,Arriva Midlands Ltd
Shropshire,00GG,Place - Highways (Streetworks),Supplies & Services - Services,03/11/2023,3525509,"1,800.11",Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,Place - Highways (Streetworks),Supplies & Services - Services,03/11/2023,3525542,871.02,Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,Place - Libraries,Supplies & Services - Equipment Furniture and Materials,03/11/2023,3526461,"1,943.90",Revenue,1000290,Peters Ltd
Shropshire,00GG,Place - Libraries,Supplies & Services - Equipment Furniture and Materials,03/11/2023,3526498,"1,555.10",Revenue,1000290,Peters Ltd
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,03/11/2023,3528129,"39,695.54",Revenue,1000324,David Rogers Electrical Contractors Ltd
Shropshire,00GG,Capital - Economic Growth Capital,Non Revenue - Non Revenue,03/11/2023,3528778,"1,344.50",Capital,1000347,Staffordshire County Council
Shropshire,00GG,Place - Highways (Streetworks),Third Party Payments - Private Contractors,03/11/2023,3528786,"6,929.00",Revenue,1000347,Staffordshire County Council
Shropshire,00GG,Capital - Primary School Capital,Non Revenue - Non Revenue,03/11/2023,11546969,"2,834.00",Capital,1000411,Cool Services Ltd
Shropshire,00GG,People - Non-Delegated Primary DSG,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,03/11/2023,3526111,"4,385.00",Revenue,1000544,R G Stones (Buildings) Ltd
Shropshire,00GG,Place - Outdoor Partnerships,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,03/11/2023,3524972,"12,043.50",Revenue,1000594,Centrewire Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,03/11/2023,11547960,525.25,Revenue,1000701,The Strettons Mayfair Trust
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,03/11/2023,11547967,573.00,Revenue,1000701,The Strettons Mayfair Trust
Shropshire,00GG,Capital - Primary School Capital,Non Revenue - Non Revenue,03/11/2023,3524872,"6,474.98",Capital,1000726,Stoneleigh Consultancy Ltd
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Communications and Computing,03/11/2023,3524922,"1,648.00",Revenue,1000726,Stoneleigh Consultancy Ltd
