Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,806901,4way Consulting Ltd,P209,Capital,Capital Charges,"2,677.74",Jul-23
Slough Borough Council,806901,4way Consulting Ltd,P212,Capital,Capital Charges,"1,449.17",Jul-23
Slough Borough Council,1055,A J Chapman,M50A,Place Operations,Transport,"2,180.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"62,170.54",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"37,107.96",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"2,535.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"2,366.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"3,380.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,133.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,740.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,302.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,860.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"3,380.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,305.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,116.00",Jul-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"1,395.00",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,925.51",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,377.96",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,698.87",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,801.89",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,760.68",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,595.85",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,483.26",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,943.78",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,500.07",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,829.73",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,582.49",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,305.07",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,118.18",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,767.92",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,744.25",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,768.96",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,903.62",Jul-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,156.32",Jul-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,862.56",Jul-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,932.62",Jul-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,278.76",Jul-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,361.17",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"7,521.04",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"6,352.08",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,781.47",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"7,013.22",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,208.04",Jul-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,559.16",Jul-23
