Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,804709,247 Careservices Ltd,M44D,Adult Social Care Operations,Supplies and Services,"10,800.00",Nov-23
Slough Borough Council,804709,247 Careservices Ltd,M44D,Adult Social Care Operations,Supplies and Services,"11,520.00",Nov-23
Slough Borough Council,804709,247 Careservices Ltd,M44D,Adult Social Care Operations,Supplies and Services,"11,160.00",Nov-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"49,116.00",Nov-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"3,332.00",Nov-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,952.00,Nov-23
Slough Borough Council,809183,Aamay Resource Management Ltd,H205,Housing (People) Services,Supplies and Services,"10,695.00",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,861.24",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,967.08",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,261.53",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,862.28",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,835.72",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,852.71",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,682.39",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,023.04",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,512.03",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,788.84",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,895.29",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,532.71",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,010.66",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,585.50",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,911.51",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,670.66",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,350.66",Nov-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,224.21",Nov-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,354.72",Nov-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,439.88",Nov-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,997.04",Nov-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,924.65",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"7,278.43",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M26E,Adult Social Care Operations,Supplies and Services,"6,147.17",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,066.23",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,235.10",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,235.10",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,562.71",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,162.44",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,786.99",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,040.04",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,347.57",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M44D,Adult Social Care Operations,Supplies and Services,"4,684.71",Nov-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M44E,Adult Social Care Operations,Supplies and Services,"5,630.79",Nov-23
Slough Borough Council,805529,Action First Recrutiment Ltd,A02A,People,Supplies and Services,930.00,Nov-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,"1,478.75",Nov-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,"8,841.75",Nov-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,"8,550.00",Nov-23
Slough Borough Council,807832,Adaptec Mobility Ltd,P006,Capital,Capital Charges,"12,904.25",Nov-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,710.49,Nov-23
Slough Borough Council,2135,Adventure Learning Childcare Limited,F909,Children & Families,Supplies and Services,"12,339.77",Nov-23
Slough Borough Council,805178,AFM Transport Limited,D320,Place Operations,Premises,"1,000.56",Nov-23
Slough Borough Council,805178,AFM Transport Limited,P243,Capital,Supplies and Services,"1,200.00",Nov-23
Slough Borough Council,2301,Aik Saath,F382,Children & Families,Supplies and Services,760.32,Nov-23
Slough Borough Council,2301,Aik Saath,F382,Children & Families,Supplies and Services,"15,338.23",Nov-23
Slough Borough Council,806268,Allied Publicity Services (Manchester) Limited,A120,Customer,Supplies and Services,614.34,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,798.00",Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,426.00",Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,792.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,116.00",Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,828.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,930.00,Nov-23
Slough Borough Council,2197,Altwood Housing Ltd,H205,Housing (People) Services,Supplies and Services,"1,116.00",Nov-23
Slough Borough Council,86,Altwood Properties Ltd,H205,Housing (People) Services,Premises,"47,146.91",Nov-23
Slough Borough Council,86,Altwood Properties Ltd,H205,Housing (People) Services,Premises,"48,320.78",Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,557.14,Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,"9,357.37",Nov-23
Slough Borough Council,807515,Always Growing Together Community Interest Company Limited,F909,Children & Families,Supplies and Services,567.00,Nov-23
Slough Borough Council,808191,Ambrose Adrian Healthcare Ltd,M44E,Adult Social Care Operations,Supplies and Services,"3,800.00",Nov-23
Slough Borough Council,808562,Andy Clements,F253,Children & Families,Agency Staff,"2,349.67",Nov-23
Slough Borough Council,808368,Anthony Toby Homes Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,911.58",Nov-23
