Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,806901,4way Consulting Ltd,P212,Capital,Capital Charges,514.95,Oct-23
Slough Borough Council,806901,4way Consulting Ltd,P212,Capital,Capital Charges,514.95,Oct-23
Slough Borough Council,1055,A J Chapman,F123,Education & Inclusion,External Receipts,"51,180.50",Oct-23
Slough Borough Council,809078,Aaron Alexander,C322,Community,Supplies and Services,"1,122.00",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,829.73",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,698.87",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,582.49",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,305.07",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,903.62",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,156.32",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,925.51",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,377.96",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"3,118.18",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,768.96",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,483.26",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"1,943.78",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,500.07",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,801.89",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,760.68",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,595.85",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,767.92",Oct-23
Slough Borough Council,536,Ability Housing Association,M42E,Adult Social Care Operations,Supplies and Services,"2,744.25",Oct-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,361.17",Oct-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,932.62",Oct-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"2,278.76",Oct-23
Slough Borough Council,536,Ability Housing Association,M44E,Adult Social Care Operations,Supplies and Services,"1,862.56",Oct-23
Slough Borough Council,806790,AccessAble,A06C,People Strategy & Commissioning,Supplies and Services,"8,330.00",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,334.52",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"7,013.22",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,781.47",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"5,208.04",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M42E,Adult Social Care Operations,Supplies and Services,"6,559.16",Oct-23
Slough Borough Council,2898,Achieve Together t/a The Regard Partnership Ltd,M44D,Adult Social Care Operations,Supplies and Services,"4,840.87",Oct-23
