Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),12/04/2023,,9880.82,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),12/04/2023,,9653.30,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,26/04/2023,,3650.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Academy21 Ltd,20/04/2023,,3000.00,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Solihull MBC,Adult Care Support,Adult Social Care,Access UK Ltd,12/04/2023,,1630.15,ICT GENERAL,ICT - Call Systems
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1778.10,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,3200.58,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,5362.00,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1368.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,2463.93,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,4127.90,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1373.25,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,2471.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,4141.20,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1274.90,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,2294.82,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,3891.02,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1098.90,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,1978.02,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,20/04/2023,,3313.80,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accora,18/04/2023,,403.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,18/04/2023,,2418.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,24/04/2023,,1560.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,26/04/2023,,265.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,20/04/2023,,486.85,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,20/04/2023,,876.33,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,20/04/2023,,973.7,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,20/04/2023,,1752.66,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,20/04/2023,,3164.84,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,733.89,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,791.21,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,733.89,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,-943.57,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,524.21,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,943.57,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1599.92,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Economy and Infrastructure,Other Housing Services,Accord Housing Asssociation,01/04/2023,,14155.41,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Economy and Infrastructure,Other Housing Services,Accord Housing Asssociation,12/04/2023,,11742.50,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,536.35,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,965.43,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1636.88,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,486.85,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,876.33,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,492.40,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,886.32,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,1582.42,ASC RESIDENTIAL CARE PERMANENT,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,18/04/2023,,678.18,ASC RESIDENTIAL CARE RESPITE,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,18808.14,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,18201.43,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,18808.14,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,18808.14,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,06/04/2023,,18808.14,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,4537.14,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,11349.39,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,1426.83,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,21989.45,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,Acorn Care & Education Ltd,21/04/2023,,2764.49,OTHER CONTRACTED SERVICES,Not classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,06/04/2023,,259.66,PROFESSIONAL FEES,Not classified
Solihull MBC,Children and Education,Children & Education Services,ACPAS Ltd,06/04/2023,,259.66,PROFESSIONAL FEES,Not classified
Solihull MBC,Economy and Infrastructure,Planning & Development Services,Act On Energy,04/04/2023,,256.06,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,28/04/2023,,71000.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Economy and Infrastructure,Central Services to the Public,Act On Energy,28/04/2023,,12800.00,GRANTS & SUBSCRIPTIONS,Grants - Other
Solihull MBC,Adult Care Support,Adult Social Care,Action First Assessments Ltd,26/04/2023,,265.00,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
Solihull MBC,Adult Care Support,Adult Social Care,Action First Assessments Ltd,26/04/2023,,265.00,OTHER CONTRACTED SERVICES,ASC - Mental Health Services
