Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Economy and Infrastructure,Other Housing Services,24-7 Locks Ltd,06/10/2023,,4097.00,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,967.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,-967.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,1597.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,315.00,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,967.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,-967.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,627.59,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,778.66,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,30/10/2023,,1282.50,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,12/10/2023,,1333.75,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,12/10/2023,,1333.75,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,12/10/2023,,1188.25,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Adult Care Support,Adult Social Care,A Star Care Services,12/10/2023,,1188.25,ASC DOMICLIARY CARE,Not Classified
Solihull MBC,Children and Education,Children & Education Services,A1 Support Limited,12/10/2023,,422.86,LODGING SEMIINDEP RENT,Not Classified
Solihull MBC,Children and Education,Children & Education Services,A1 Support Limited,27/10/2023,,272.88,CLIENTS EXPENSES,Not Classified
