Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,24X7 Ltd (Warwickshire),15-04-2024,,7036.69,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,24X7 Ltd (Warwickshire),15-04-2024,,4836.44,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,RESOURCES,Central Services to the Public,39 Essex Chambers,25-04-2024,,1110.00,LEGAL FEES,Legal Services - Other
Solihull MBC,RESOURCES,Central Services to the Public,39 Essex Chambers,25-04-2024,,1500.00,LEGAL FEES,Legal Services - Other
Solihull MBC,RESOURCES,Central Services to the Public,39 Essex Chambers,30-04-2024,,555.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,1000.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,-5400.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,5400.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,4500.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,850,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,03-04-2024,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,03-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,03-04-2024,,1000.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,2640.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,-2640.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,2200.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,3PB Barristers,18-04-2024,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,369.81,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,369.81,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,369.81,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,369.81,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,789.34,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,789.34,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,297.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,297.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,297.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,297.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,634.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,26-04-2024,,634.06,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,A T Communications Ltd,03-04-2024,,1607.00,PROFESSIONAL FEES,CSC - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,25-04-2024,,723.63,EXTERNAL FOSTERING,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,25-04-2024,,723.63,EXTERNAL FOSTERING,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,11-04-2024,,-3069.80,EXTERNAL FOSTERING,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,11-04-2024,,3069.80,EXTERNAL FOSTERING,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,11-04-2024,,3130.00,EXTERNAL FOSTERING,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Abacus Fostering Ltd,11-04-2024,,3130.00,EXTERNAL FOSTERING,Not Classified
