Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Economy And Infrastructure,Cultural & Related Services,REDACTED PERSONAL DATA,19-06-2024,,1500.00,OTHER FEES & CHARGES,Events
Solihull MBC,Economy And Infrastructure,Highways & Transport Services,THE BIKEABILITY TRUST,28-06-2024,,691.67,OTHER FEES & CHARGES,Events
Solihull MBC,Economy And Infrastructure,Highways & Transport Services,THE BIKEABILITY TRUST,28-06-2024,,15.80,OTHER FEES & CHARGES,Events
Solihull MBC,Economy And Infrastructure,Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),07-06-2024,,246.32,MATERIALS,Street Lighting - Materials - Highways
Solihull MBC,Economy And Infrastructure,Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),07-06-2024,,9450.00,OTHER CONTRACTED SERVICES,Engineering
Solihull MBC,Economy And Infrastructure,Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),25-06-2024,,9945.20,MATERIALS,Street Lighting - Materials - Highways
Solihull MBC,Adult Care Support,Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,12.50,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,111.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,87.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,CARE & INDEPENDANCE LTD,17-06-2024,,12.50,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
