Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Economy and Infrastructure,Environmental and Regulatory Services,2 Hills Consultancy,21/11/2022,,750.00,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),07/11/2022,,6927.89,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),07/11/2022,,6241.78,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Adult Care Support,Adult Social Care,2U Getsmarter (US) LLC,10-11-2022,Card Transaction,2500.00,OTHER FEES & CHARGES,Not classified
Solihull MBC,Resources,Central Services to the Public,3PB Barristers,14/11/2022,,1200.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,12/11/2022,,900.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,10/11/2022,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,12/11/2022,,1000.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,12/11/2022,,850.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,14/11/2022,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,12/11/2022,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,08/11/2022,,1000.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,12/11/2022,,1300.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,08/11/2022,,1000.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,21/11/2022,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,A S C Birch,07/11/2022,,2475.00,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Adult Care Support,Adult Social Care,A1 Care,10/11/2022,,834.30,ASC DOMICLIARY CARE,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,A1 Care,10/11/2022,,834.30,ASC DOMICLIARY CARE,Not classified
Solihull MBC,Children and Education,Children & Education Services,A1 Support Limited,10/11/2022,,2760.00,LODGING SEMIINDEP RENT,Not classified
Solihull MBC,Children and Education,Children & Education Services,Abacus Fostering Ltd,10/11/2022,,3040.00,EXTERNAL FOSTERING,Not classified
Solihull MBC,Adult Care Support,Adult Social Care,Abbey Healthcare Homes Ltd,02/11/2022,,4820.48,ASC NURSING CARE PERMANENT,Not classified
