Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Adult Care Support,Adult Social Care,1st Choice Super Seal Limited,15/10/2022,,445,OTHER PREMISE COSTS,Security - Equipment
Solihull MBC,Adult Care Support,Adult Social Care,1st Choice Super Seal Limited,14/10/2022,,499,OTHER PREMISE COSTS,Security - Other
Solihull MBC,Economy and Infrastructure,Other Housing Services,24-7 Locks Ltd,13/10/2022,,3201,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),10/10/2022,,9244.45,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,24X7 Ltd (Warwickshire),10/10/2022,,6305.44,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,23/10/2022,,675,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,23/10/2022,,1100,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,25/10/2022,,850,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,19/10/2022,,1710,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,18/10/2022,,1000,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,A S C Birch,10/10/2022,,2310,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,Children and Education,Children & Education Services,A1 Support Limited,13/10/2022,,2760,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Abacus Fostering Ltd,13/10/2022,,3040,EXTERNAL FOSTERING,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Abacus Fostering Ltd,13/10/2022,,3040,EXTERNAL FOSTERING,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Abacus Fostering Ltd,13/10/2022,,3040,EXTERNAL FOSTERING,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Abacus Fostering Ltd,13/10/2022,,3040,EXTERNAL FOSTERING,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Abbey Healthcare Homes Ltd,06/10/2022,,4820.48,ASC NURSING CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Ability Smart,28/10/2022,,366,ICT GENERAL,ICT - Software
Solihull MBC,Adult Care Support,Adult Social Care,Ability Smart,28/10/2022,,590,ICT GENERAL,ICT - Software
Solihull MBC,Children and Education,Children & Education Services,Acacia Consultants And Associates,06/10/2022,,1313.7,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Access UK Ltd,06/10/2022,,1640.15,ICT GENERAL,ICT - Call Systems
Solihull MBC,Adult Care Support,Adult Social Care,Access UK Ltd,04/10/2022,,4905,HARDWARE,Telecoms - Fixed - CAPITAL
Solihull MBC,Resources,Central Services to the Public,Accessable,27/10/2022,,7000,PROFESSIONAL FEES,Interpretation & Translation - HR
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/10/2022,,9957.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/10/2022,,7665.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/10/2022,,7690.2,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Covid19,Central Services to the Public,Accomplish Group Lifestyles Ltd,13/10/2022,,949.76,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Covid19,Central Services to the Public,Accomplish Group Lifestyles Ltd,13/10/2022,,305.22,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Covid19,Central Services to the Public,Accomplish Group Lifestyles Ltd,13/10/2022,,980.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Covid19,Central Services to the Public,Accomplish Group Lifestyles Ltd,13/10/2022,,305.22,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/10/2022,,7139.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
