Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,Children and Education,Children & Education Services,1GC Chambers,06/09/2022,,1020.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,1GC Chambers,06/09/2022,,1500.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3 Sixty Property Services Ltd,05/09/2022,,21684.00,CONTRACTORS,Buildings - Construction - CAPITAL
Solihull MBC,Children and Education,Children & Education Services,3 Sixty Property Services Ltd,05/09/2022,,13304.50,CONTRACTORS,Buildings - Construction - CAPITAL
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,09/09/2022,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,09/09/2022,,750.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,09/09/2022,,650.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,3PB Barristers,26/09/2022,,500.00,LEGAL FEES,Legal Services - Other
Solihull MBC,Children and Education,Children & Education Services,A1 Support Limited,15/09/2022,,2760.00,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Abbey Healthcare Homes Ltd,06/09/2022,,4820.48,ASC NURSING CARE PERMANENT,Not categorised
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Abbot Beyne School,02/09/2022,,810.00,OTHER CONTRACTED SERVICES,Not categorised
Solihull MBC,Childrens Services DSG Central,Children & Education Services,Abraham Moss Community School,02/09/2022,,810.00,OTHER CONTRACTED SERVICES,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acacia Consultants And Associates,01/09/2022,,1357.49,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acacia Consultants And Associates,23/09/2022,,1138.54,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acacia Consultants And Associates,23/09/2022,,-1138.54,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Children and Education,Children & Education Services,Acacia Consultants And Associates,23/09/2022,,1094.75,LODGING SEMIINDEP RENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Access UK Ltd,05/09/2022,,1640.00,ICT GENERAL,ICT - Call Systems
Solihull MBC,Adult Care Support,Adult Social Care,Access UK Ltd,06/09/2022,,4905.00,HARDWARE,Telecoms - Fixed - CAPITAL
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/09/2022,,9957.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/09/2022,,7665.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/09/2022,,7690.20,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/09/2022,,7139.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accomplish Group Lifestyles Ltd,06/09/2022,,6153.84,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accora,05/09/2022,,1383.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,05/09/2022,,1150.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,05/09/2022,,2188.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,09/09/2022,,253.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,15/09/2022,,1230.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,27/09/2022,,1472.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,28/09/2022,,1370.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accora,29/09/2022,,1150.00,OTHER CONTRACTED SERVICES,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,2142.14,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,14/09/2022,,5647.46,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,3003.56,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,584.22,ASC RESIDENTIAL CARE RESPITE,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2757.44,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
Solihull MBC,Adult Care Support,Adult Social Care,Accord Housing Asssociation,12/09/2022,,2726.36,ASC RESIDENTIAL CARE PERMANENT,Not categorised
