Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Abacus Nursery,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000005|S0018695|5637147586,32579.82,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,ABBEY PRE-SCHOOL,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000006|S0018670|5637147587,19383.76,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,2 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000007|S0031568|5637147588,702.7,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,ACORN NURSERY SCHOOL,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000008|S0018494|5637147589,36698.5,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Acorns Pre-School,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000009|S0018650|5637147590,9602.78,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000010|S0010069|5637147591,1632.15,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,EY Additional Hours,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000011|S0024291|5637147592,1073.21,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,All Hallows School Trust Ltd,2023-04-12 00:00:00,SC01-000000121|SC-SID-100000012|S0006328|5637147593,5800.3,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000013|S0020791|5637147594,1441.74,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000121|SC-SID-100000014|S0022248|5637147595,2762.1,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000015|S0026842|5637147936,3063.42,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000016|S0030153|5637147937,639.91,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,[Redacted],2023-04-12 00:00:00,SC01-000000180|SC-SID-100000017|S0025829|5637147938,3066.56,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,APPLETREE NURSERY LTD,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000018|S0018634|5637147939,40568.4,TPP Payments To Clients - Nursery Voucher Grants
Somerset Council,2023-09-30 00:00:00,3 & 4 Year Old Funding,Ashill Primary School and Nursery,2023-04-12 00:00:00,SC01-000000180|SC-SID-100000019|S0018624|5637147940,6560.73,TPP Payments To Clients - Nursery Voucher Grants
