Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,01/08/2023,500.00,£0.00,Redacted - personal info,213800,Revenue,STC179738
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Allowances,ILAC General,01/08/2023,500.00,£0.00,Redacted - personal info,213300,Revenue,STC179739
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Factories,01/08/2023,500.00,£0.00,YCS Construction Limited,232808,Revenue,STC179740
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,504.62,£0.00,Redacted - personal info,710020,Revenue,STC179789
South Tyneside Council,00CL,Business & Resources Group,Recovery of Overpaid Benefits,Housing Benefits Payments,01/08/2023,507.21,£0.00,Stonham Housing Association,230180,Revenue,STC179793
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Schools Buyback,01/08/2023,520.00,£0.00,YCS Construction Limited,232860,Revenue,STC179814
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,529.43,£0.00,Redacted - personal info,213800,Revenue,STC179846
South Tyneside Council,00CL,"Childrens, Adults & Families Group","ILAC Education, Training & Employment",ILAC General,01/08/2023,530.00,£0.00,Redacted - personal info,213300,Revenue,STC179847
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,01/08/2023,560.00,£0.00,Nearby Group Ltd (formerly Richmond Taxis),218930,Revenue,STC179906
South Tyneside Council,00CL,Housing Revenue Account,Waste Services Recharges,Estate Management - Riverside,01/08/2023,577.00,£0.00,Lees Premier Cleaning,708430,Revenue,STC179947
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179992
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179993
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179994
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179995
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179996
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179997
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179998
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC179999
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/08/2023,600.00,£0.00,Redacted - personal info,213300,Revenue,STC180000
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/08/2023,605.04,£0.00,Northumbrian Roads Limited,227630,Revenue,STC180053
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,607.04,£0.00,Flexible Support Options Limited,221004,Revenue,STC180059
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,636.00,£0.00,Redacted - personal info,213800,Revenue,STC180108
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,636.00,£0.00,Redacted - personal info,213800,Revenue,STC180109
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/08/2023,661.73,£0.00,Northumbrian Roads Limited,227630,Revenue,STC180184
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,01/08/2023,685.72,£0.00,Redacted - personal info,213901,Revenue,STC180302
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,01/08/2023,685.72,£0.00,Redacted - personal info,213901,Revenue,STC180303
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,01/08/2023,700.00,£0.00,Redacted - personal info,213800,Revenue,STC180319
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,01/08/2023,700.00,£0.00,Redacted - personal info,213800,Revenue,STC180320
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,711.00,£0.00,Redacted - personal info,213800,Revenue,STC180347
South Tyneside Council,00CL,Childrens Adults and Health,Furniture & Equipment - General,Locality 1 - Jarrow/Primrose/Hebburn,01/08/2023,755.00,£0.00,CDS Security and Fire Ltd (formerly CDS Security Ltd),215411,Revenue,STC180433
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,755.52,£0.00,Redacted - personal info,710020,Revenue,STC180435
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,756.87,£0.00,Redacted - personal info,710020,Revenue,STC180438
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,757.24,£0.00,Redacted - personal info,710020,Revenue,STC180440
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,775.00,£0.00,Redacted - personal info,213800,Revenue,STC180468
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,775.00,£0.00,Redacted - personal info,213800,Revenue,STC180469
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,775.00,£0.00,Redacted - personal info,213800,Revenue,STC180470
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/08/2023,783.55,£0.00,Northumbrian Roads Limited,227630,Revenue,STC180493
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,800.00,£0.00,Redacted - personal info,213800,Revenue,STC180525
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,800.00,£0.00,Redacted - personal info,213800,Revenue,STC180526
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180688
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180689
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180690
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180691
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180692
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180693
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180694
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180695
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,896.00,£0.00,Redacted - personal info,213800,Revenue,STC180696
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Foster Carers Other Fees & Expenses,In House Fostering,01/08/2023,900.00,£0.00,Redacted - personal info,213800,Revenue,STC180704
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,932.00,£0.00,Redacted - personal info,213800,Revenue,STC180765
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,932.00,£0.00,Redacted - personal info,213800,Revenue,STC180766
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,932.00,£0.00,Redacted - personal info,213800,Revenue,STC180767
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Special Guardianship Allowances (former foster carers),Special Guardianship Allowances,01/08/2023,938.90,£0.00,Redacted - personal info,213901,Revenue,STC180776
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,939.30,£0.00,Redacted - personal info,710020,Revenue,STC180779
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,945.60,£0.00,Flexible Support Options Limited,221004,Revenue,STC180784
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,01/08/2023,959.99,£0.00,Redacted - personal info,710020,Revenue,STC180798
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,966.00,£0.00,Redacted - personal info,213800,Revenue,STC180802
South Tyneside Council,00CL,Business & Resources Group,Entertainers Services,Summer Festival,01/08/2023,1000.00,£0.00,Redacted - personal info,222840,Revenue,STC180835
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,01/08/2023,1001.34,£0.00,Arnold Clark Finance Ltd,227000,Revenue,STC180858
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,01/08/2023,1011.00,£0.00,Enterprise Rent-A-Car UK Limited t/a Enterprise Flex-E-Rent,227000,Revenue,STC180866
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,01/08/2023,1028.52,£0.00,Northumbrian Roads Limited,227630,Revenue,STC180894
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,1050.00,£0.00,Redacted - personal info,213800,Revenue,STC180909
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Contributions - Fairer Charging,Hagan Hall,01/08/2023,1058.97,£0.00,Redacted - personal info,220390,Revenue,STC180928
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,01/08/2023,1085.70,£0.00,Nottingham Rehab Supplies (NRS Healthcare),221420,Revenue,STC180952
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Sundry Costs,Stronger Shores,01/08/2023,1101.00,£0.00,Gilbert Johnston Photography,828111,Capital,STC180986
