Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Entertainers Services,Summer Festival,03/07/2023,500.00,£0.00,Westoe Brass Band,222840,Revenue,STC176839
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,506.70,£0.00,Redacted - personal info,217765,Revenue,STC176888
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,506.70,£0.00,Redacted - personal info,217765,Revenue,STC176889
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Fleet Management - Transport Operations,03/07/2023,510.40,£0.00,Teletrac Navman (UK) Ltd (previously Trafficmaster Ltd),227000,Revenue,STC176911
South Tyneside Council,00CL,Business & Resources Group,Furniture & Equipment - General,Engineering Works General Overhead,03/07/2023,532.00,£0.00,Greenham Trading Limited,227610,Revenue,STC176962
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,548.92,£0.00,Redacted - personal info,217765,Revenue,STC176987
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,548.92,£0.00,Redacted - personal info,217765,Revenue,STC176988
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,548.92,£0.00,Redacted - personal info,217765,Revenue,STC176989
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,548.92,£0.00,Redacted - personal info,217765,Revenue,STC176990
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,548.92,£0.00,Redacted - personal info,217765,Revenue,STC176991
South Tyneside Council,00CL,Housing Revenue Account,Fixtures & Fittings,Sheltered Accomodation General,03/07/2023,601.05,£0.00,NLS Security Limited (Newcastle Locksmiths),705000,Revenue,STC177123
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,616.54,£0.00,Redacted - personal info,214410,Revenue,STC177150
South Tyneside Council,00CL,Housing Revenue Account,Fixtures & Fittings,Sheltered Accomodation General,03/07/2023,657.40,£0.00,NLS Security Limited (Newcastle Locksmiths),705000,Revenue,STC177319
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,03/07/2023,661.52,£0.00,Nottingham Rehab Supplies (NRS Healthcare),221420,Revenue,STC177325
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Bents Exhibition Park,03/07/2023,676.88,£0.00,Shaun Matthias Limited,223570,Revenue,STC177354
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Childminders Services,2 Year Old Funding,03/07/2023,823.39,£0.00,Redacted - personal info,217765,Revenue,STC177622
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,823.39,£0.00,Westoe Village Kindergarten,217765,Revenue,STC177623
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Non Factory Units,03/07/2023,825.00,£0.00,YCS Construction Limited,232805,Revenue,STC177626
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,Asbestos Surveys,03/07/2023,840.00,£0.00,Lucion Environmental LLP,820003,Capital,STC177645
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,1000.00,£0.00,Redacted - personal info,214410,Revenue,STC177834
South Tyneside Council,00CL,Business & Resources Group,Alarms Monitoring & Maintenance,General Car Parking Administration,03/07/2023,1020.00,£0.00,The Steadfast Group,227350,Revenue,STC177875
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,1097.85,£0.00,Bright Kids,217765,Revenue,STC177949
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,1097.85,£0.00,Harton Village Kindergarten,217765,Revenue,STC177950
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,1097.85,£0.00,Whizz Kids Childcare Ltd,217765,Revenue,STC177951
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,03/07/2023,1117.00,£0.00,Peart Access Ramps Ltd,819000,Capital,STC177988
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Subcontractors,Engineer Works D.L.O. - Cont. Highways,03/07/2023,1137.50,£0.00,Total Resources (UK) Limited t/a TM Lincs,227630,Revenue,STC178037
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Henderson Road Residential Care Home,03/07/2023,1194.48,£0.00,Castleview Group Training Limited,214010,Revenue,STC178084
South Tyneside Council,00CL,Business and Resources Capital,Capital Construction Costs,Road Resurfacing,03/07/2023,1245.00,£0.00,Total Resources (UK) Limited t/a TM Lincs,850000,Capital,STC178134
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Non Factory Units,03/07/2023,1248.33,£0.00,Forge & Foundry Limited,232805,Revenue,STC178140
South Tyneside Council,00CL,Housing Revenue Account,Valuation Services,Rents Rates and Taxes,03/07/2023,1410.00,£0.00,Moody & Co,701000,Revenue,STC178242
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,1471.16,£0.00,Redacted - personal info,214410,Revenue,STC178272
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,1660.85,£0.00,Little Jems Nursery,217765,Revenue,STC178369
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,1677.00,£0.00,Redacted - personal info,214410,Revenue,STC178374
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,03/07/2023,1800.00,£0.00,Standby Healthcare,213700,Revenue,STC178455
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,1910.25,£0.00,Redacted - personal info,214410,Revenue,STC178498
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,1921.24,£0.00,Clegwell & Hartleyburn Community Hub,217765,Revenue,STC178502
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,Asbestos Surveys,03/07/2023,2000.00,£0.00,Lucion Environmental LLP,820003,Capital,STC178520
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,2207.40,£0.00,Redacted - personal info,214410,Revenue,STC178595
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,2670.03,£0.00,Tyneside Early Education & Care Ltd - Cleadon Tower Nursery School,217765,Revenue,STC178736
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,03/07/2023,2771.00,£0.00,Stannah Lift Services Ltd,819000,Capital,STC178749
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,2789.45,£0.00,Noahs Ark Nursery Hebburn,217765,Revenue,STC178755
South Tyneside Council,00CL,Business & Resources Group,Rents Paid - General,Coroners Service,03/07/2023,3000.00,£0.00,Terence Carney Solicitors,237020,Revenue,STC178800
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Direct Payments for Social Care,Childrens Direct Payments,03/07/2023,3000.00,£0.00,Redacted - personal info,214410,Revenue,STC178801
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,3166.87,£0.00,The Bungalow Pre-School (Early Learning Partnership),217765,Revenue,STC178834
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,3230.21,£0.00,Bede Burn Kindergarten,217765,Revenue,STC178858
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,3300.59,£0.00,Just Learning Limited (Busy Bees),217765,Revenue,STC178880
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,03/07/2023,3430.00,£0.00,Stannah Lift Services Ltd,819000,Capital,STC178909
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Private & Voluntary Sector - External Placements,2 Year Old Funding,03/07/2023,3465.26,£0.00,Nursery Time Ltd,217765,Revenue,STC178921
