Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business & Resources Group,Corporate Finance,Household Support Fund,01/06/23,"£50,000.00",£0.00,The Post Office,237107,Revenue,JUNE23-002
South Tyneside Council,00CL,Business & Resources Group,Promotional Activities,Civic Duties,01/06/23,500.00,£0.00,Redacted - personal info,232200,Revenue,STC173590
South Tyneside Council,00CL,Childrens Adults and Health,Default Procurement Subjective,ACCOMMODATION STRATEGY,01/06/23,529.00,£0.00,Crystal Blinds (NE) Ltd,220441,Revenue,STC173722
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Voluntary Sector - Boarded Out Children,Out of Area Placements,01/06/23,530.88,£0.00,Castleview Group Training Limited,213700,Revenue,STC173724
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Purchase of Stock Items,Community Equipment Service,01/06/23,538.32,£0.00,Nottingham Rehab Supplies (NRS Healthcare),221420,Revenue,STC173735
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,DFG Minor Adaptations,01/06/23,540.00,£0.00,Peart Access Ramps Ltd,819002,Capital,STC173741
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01/06/23,573.10,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC173832
South Tyneside Council,00CL,Childrens Adults and Health,Fixtures & Fittings,Domestic Abuse Grant,01/06/23,575.00,£0.00,NLS Security Limited (Newcastle Locksmiths),225225,Revenue,STC173835
South Tyneside Council,00CL,Business & Resources Group,Highways & ST Homes Trading Equipment & Materials,Engineer Works D.L.O. - Cont. Highways,01/06/23,576.95,£0.00,Tarmac Trading Limited (was Lafarge Tarmac Trading),227630,Revenue,STC173845
South Tyneside Council,00CL,Business & Resources Group,Default Procurement Subjective,Human Resources,01/06/23,600.00,£0.00,DDH Psychological Solutions Limited,230600,Revenue,STC173894
South Tyneside Council,00CL,Business & Resources Group,Hire of Non Council Vehicles,Fleet Management - Transport Operations,01/06/23,600.68,£0.00,Dawsonrentals Vans Limited (now Dawsongroup vans),227000,Revenue,STC173933
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,Jarrow Focus,01/06/23,602.29,£0.00,Pulse Fitness Ltd,222876,Revenue,STC173936
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Fleet Management - Transport Operations,01/06/23,635.87,£0.00,Farid Hillend Engineering Limited (formerly Heil),227000,Revenue,STC174002
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Monies Received,Housing Rents Suspense Account,01/06/23,643.58,£0.00,Debt Management (FCM),710010,Revenue,STC174032
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Other Service Contracts & Supplies,The Place,01/06/23,650.00,£0.00,AK Teaching Ltd (Keen Thinking Ltd),214200,Revenue,STC174047
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Hebburn Central,01/06/23,694.17,£0.00,Pulse Fitness Ltd,222875,Revenue,STC174218
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Haven Point,01/06/23,727.20,£0.00,Pulse Fitness Ltd,222950,Revenue,STC174309
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Default Procurement Subjective,Thurston Activity Centre,01/06/23,742.50,£0.00,Reliaclean,219100,Revenue,STC174353
South Tyneside Council,00CL,Business & Resources Group,Coroners Services,Coroners Service,01/06/23,750.00,£0.00,Suganthi and Velavan Ltd,237020,Revenue,STC174360
South Tyneside Council,00CL,Economic Regeneration Group,Property Reactive / General Repairs,R&M Leisure Facilities,01/06/23,755.20,£0.00,Rentokil - Hygiene Division,232822,Revenue,STC174368
South Tyneside Council,00CL,Business & Resources Group,Property Reactive / General Repairs,Temple Park Centre,01/06/23,766.02,£0.00,Pulse Fitness Ltd,222920,Revenue,STC174392
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,800.00,£0.00,YMCA Sunderland,213300,Revenue,STC174436
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Rents Paid - General,ILAC General,01/06/23,815.00,£0.00,YMCA Sunderland,213300,Revenue,STC174481
