Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,508.30,£0.00,Redacted - personal info,710020,Revenue,STC185745
South Tyneside Council,00CL,Economic Regeneration Capital,Capital Enhancement Costs,South Shields Town Centre Regen,02-Oct-2023,589.00,£0.00,Birch Tree Northern Limited,828512,Capital,STC185909
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Miscellaneous Expenses & Legal Fees,Financial Assessments,02-Oct-2023,595.97,£0.00,Cygnet Law Solicitors,221820,Revenue,STC185931
South Tyneside Council,00CL,"Childrens, Adults & Families Group",External Trainers Services,Thurston Activity Centre,02-Oct-2023,650.00,£0.00,Redacted - personal info,219100,Revenue,STC186132
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,660.31,£0.00,Redacted - personal info,710020,Revenue,STC186145
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,718.72,£0.00,Redacted - personal info,710020,Revenue,STC186261
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,732.32,£0.00,Redacted - personal info,710020,Revenue,STC186289
South Tyneside Council,00CL,Childrens Adults and Health,Furniture & Equipment - General,Childrens Services Family Hubs,02-Oct-2023,755.96,£0.00,TTS Group Ltd (RM Educational Resourced Ltd t/a),212095,Revenue,STC186326
South Tyneside Council,00CL,Business & Resources Group,Other Service Contracts & Supplies,Handy Estates,02-Oct-2023,772.50,£0.00,Wolseley UK Limited,226885,Revenue,STC186356
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,781.88,£0.00,Redacted - personal info,710020,Revenue,STC186372
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,800.00,£0.00,CD Passenger Services,218930,Revenue,STC186409
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Payments to Academies,ISB Contingencies – Early Years Block,02-Oct-2023,858.92,£0.00,St Marys Academy (formerly St Marys RC Primary School),217735,Revenue,STC186503
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,900.00,£0.00,CD Passenger Services,218930,Revenue,STC186600
South Tyneside Council,00CL,Balance Sheet,Employee Additional Voluntary Contributions,Balance Sheet Corporate Finance,02-Oct-2023,956.53,£0.00,Prudential Public Limited Company,999999,Balance Sheet,STC186678
South Tyneside Council,00CL,Business & Resources Group,Staff Training,Training,02-Oct-2023,1076.00,£0.00,Team-Teach Ltd,230641,Revenue,STC186827
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Home to College Transport,02-Oct-2023,1122.00,£0.00,CD Passenger Services,218950,Revenue,STC186886
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,1275.00,£0.00,CD Passenger Services,218930,Revenue,STC187112
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Client Travel & Expenses,Adults with Disabilities Team,02-Oct-2023,1275.00,£0.00,CD Passenger Services,220550,Revenue,STC187113
South Tyneside Council,00CL,Housing Revenue Account,Housing Rent Suspense - Refunds,Tenants Refunds,02-Oct-2023,1308.00,£0.00,Redacted - personal info,710020,Revenue,STC187139
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,1340.00,£0.00,CD Passenger Services,218930,Revenue,STC187162
South Tyneside Council,00CL,"Childrens, Adults & Families Group",School Travel Contracts,Special Educational Needs Transport,02-Oct-2023,1360.00,£0.00,CD Passenger Services,218930,Revenue,STC187173
South Tyneside Council,00CL,Regeneration & Environment Capital,Capital Construction Costs,Control Room and CCTV Relocation,02-Oct-2023,1400.85,£0.00,The Steadfast Group,854528,Capital,STC187222
South Tyneside Council,00CL,Adults and Children's Capital,Capital Grants to Third Parties,Disabled Facilities Grant 96 Act,02-Oct-2023,1446.00,£0.00,Peart Access Ramps Ltd,819000,Capital,STC187251
