Service_Label,Service_Code,Service_Division_Label,Service_Division_Code,Organisational_Unit_Label,Organisational_Unit_Code,Merchant_Category,Summary_of_the_purpose_of_the_expenditure,Date,Transaction_Number,Capital_and_Revenue,Supplier_Name,Supplier_ID,Net_Amount
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,15/10/2024,17318778,Revenue - General Fund,SUPPLIER NAME REDACTED,50485,717.63
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,15/10/2024,17318781,Revenue - General Fund,SUPPLIER NAME REDACTED,52679,716
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,15/10/2024,17318791,Revenue - General Fund,SUPPLIER NAME REDACTED,53903,568.57
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,15/10/2024,17318794,Revenue - General Fund,SUPPLIER NAME REDACTED,50211,1038.42
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336164,Revenue - General Fund,SUPPLIER NAME REDACTED,50489,798.42
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336168,Revenue - General Fund,SUPPLIER NAME REDACTED,50674,656
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336187,Revenue - General Fund,SUPPLIER NAME REDACTED,50865,519.21
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336188,Revenue - General Fund,SUPPLIER NAME REDACTED,50217,519.21
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336194,Revenue - General Fund,SUPPLIER NAME REDACTED,50391,997.21
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336200,Revenue - General Fund,SUPPLIER NAME REDACTED,50694,1593.21
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336207,Revenue - General Fund,SUPPLIER NAME REDACTED,50862,2173.21
Children & Learning,CHIL,Children Looked After,CHF32,SCC Foster Carers,AC0240,Social Services,Foster Carer Standard Allowance,17/12/2024,17336241,Revenue - General Fund,SUPPLIER NAME REDACTED,50978,1034.35
