Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
0000316612,SMI GROUP,12/07/2024,"1,007.42",167.90,Depot,Refuse Collection,Uniforms,,,,
0000317149,SDK ENVIRONMENTAL LTD,12/07/2024,"2,724.00",454.00,Environmental Health,Control of Stray Dogs,Kennel Costs,,,,
0000317209,VIVID RESOURCING,05/07/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000317323,ACCESS PAYSUITE,29/07/2024,745.86,124.31,Accounts,Customer Services,Computer Software,,,,
0000317351,REDACTED PERSONAL INFORMATION,26/07/2024,"3,915.00",652.50,Human Resources,Community Care Administration,Consultants fees,,,,
0000317354,MHR,29/07/2024,"7,642.56","1,273.76",Human Resources,Human Resources,Other Miscellaneous Expenses,,,,
0000317360,ACCESS PAYSUITE,29/07/2024,"10,292.70",0.00,Accounts,Customer Services,Computer Software,,,,
0000317481,REDACTED PERSONAL INFORMATION,09/07/2024,"4,584.00",764.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000317578,REDACTED PERSONAL INFORMATION,09/07/2024,"2,232.00",372.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317581,REDACTED PERSONAL INFORMATION,09/07/2024,"6,510.00","1,085.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317582,REDACTED PERSONAL INFORMATION,09/07/2024,"5,022.00",837.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317596,FLOWBIRD SMART CITY UK LTD,02/07/2024,810.12,135.02,Car Parks,Car Park Administration,Operational Equipment Maint.,,,,
0000317597,CAS ENGINEERING LTD,02/07/2024,"4,542.00",757.00,Car Parks,Car Park Administration,Operational Equipment Maint.,,,,
0000317617,VIVID RESOURCING,26/07/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000317639,REDACTED PERSONAL INFORMATION,09/07/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317640,REDACTED PERSONAL INFORMATION,02/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317641,REDACTED PERSONAL INFORMATION,09/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317642,REDACTED PERSONAL INFORMATION,09/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317722,MAYDENCROFT LTD,05/07/2024,"85,375.80","14,229.30",Depot,River Ash Broadwalk,Other Works,,,,
0000317768,REDACTED PERSONAL INFORMATION,12/07/2024,"3,594.36",599.06,Housing Needs,White House,Contract cleaning,,,,
0000317769,REDACTED PERSONAL INFORMATION,02/07/2024,"2,632.92",438.82,Housing Needs,Harper House,Contract cleaning,,,,
0000317794,REDACTED PERSONAL INFORMATION,02/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317795,REDACTED PERSONAL INFORMATION,02/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317796,REDACTED PERSONAL INFORMATION,02/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317804,REDACTED PERSONAL INFORMATION,09/07/2024,"1,680.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000317806,REACH PUBLISHING SERVICES LIMITED,02/07/2024,"1,202.54",200.42,Car Parks,Car Park Administration,Other Miscellaneous Expenses,,,,
0000319791,REDACTED PERSONAL INFORMATION,09/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320012,KELTIC,02/07/2024,688.38,114.73,Car Parks,Car Park Administration,Uniforms,       ,,,
0000320022,ROYAL MAIL,02/07/2024,"80,564.05","13,427.34",Office Services,Postage Holding Account,Holding Account Expenditure,,,,
0000320051,VIVID RESOURCING,02/07/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000320052,REDACTED PERSONAL INFORMATION,09/07/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320053,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320054,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320055,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320056,REDACTED PERSONAL INFORMATION,09/07/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320057,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320058,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320060,REDACTED PERSONAL INFORMATION,09/07/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320061,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320062,REDACTED PERSONAL INFORMATION,12/07/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320064,REDACTED PERSONAL INFORMATION,09/07/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320065,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320066,REDACTED PERSONAL INFORMATION,09/07/2024,"1,700.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320068,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320069,FIRST CALL CONTRACT SERVICES,05/07/2024,"2,249.28",374.88,Depot,"Refuse Collection, Street Cleaning",Agency Staff,,,,
0000320071,REDACTED PERSONAL INFORMATION,09/07/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320073,REDACTED PERSONAL INFORMATION,09/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000320124,EGBERT TAYLOR LTD,05/07/2024,"2,454.00",409.00,Depot,Wheelie Bins,Equipment,,,,
0000320125,LAW MORGAN LTD T/AS MORGAN LAW LTD,02/07/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff,,,,
0000320130,SURREY RECRUITMENT SERVICES LIMITED,02/07/2024,"8,764.30","1,460.70",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000320134,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,02/07/2024,"2,016.00",336.00,Asset Management,Elmsleigh,General repairs,,,,
0000320137,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,02/07/2024,"6,807.70","1,134.62",Asset Management,Elmsleigh,General repairs,,,,
0000320139,SURREY RECRUITMENT SERVICES LIMITED,02/07/2024,"10,345.71","1,724.29",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000320140,A J PROCTER CLEANING CONTRACTORS CO LTD,02/07/2024,"1,128.40",188.07,Depot,White House Garage Site,Contract cleaning,,,,
0000320148,REDACTED PERSONAL INFORMATION,02/07/2024,"2,551.49",425.25,Independent Living,Meals on Wheels,Commercial Vehicle Lease,,,,
0000320151,SAFEPLAY PLAYGROUND SERVICES LTD,16/07/2024,"2,570.40",428.40,Environmental Health,Grounds Maintenance,Playground Improvements,,,,
0000320164,LONDON WALL INSTALLATIONS LIMITED,02/07/2024,"1,053.60",175.60,Asset Management,Planned Maintenance Programme,Responsive maintenance,,,,
0000320165,TRACE SOLUTIONS LTD,02/07/2024,"4,512.24",752.04,Asset Management,Asset Management Admin,Computer Software,,,,
0000320166,TRACE SOLUTIONS LTD,02/07/2024,"4,512.24",752.04,Asset Management,Asset Management Admin,Computer Software,,,,
0000320169,REDACTED PERSONAL INFORMATION,02/07/2024,"2,551.49",425.25,Independent Living,Meals on Wheels,Commercial Vehicle Lease,,,,
0000320172,REDACTED PERSONAL INFORMATION,19/07/2024,"4,789.66",798.28,Accounts,Accountancy,Consultants fees,,,,
0000320173,REDACTED PERSONAL INFORMATION,02/07/2024,"2,436.00",406.00,Housing Needs,Longford Village,General repairs,,,,
0000320174,REDACTED PERSONAL INFORMATION,09/07/2024,"1,440.00",240.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000320175,REDACTED PERSONAL INFORMATION,02/07/2024,723.14,120.52,Housing Needs,Longford Village,Health & Safety,,,,
0000320176,REDACTED PERSONAL INFORMATION,02/07/2024,916.10,152.68,Housing Needs,Longford Village,General repairs,,,,
0000320177,REDACTED PERSONAL INFORMATION,02/07/2024,"2,784.00",464.00,Housing Needs,Longford Village,General repairs,,,,
0000320181,REDACTED PERSONAL INFORMATION,02/07/2024,"5,802.00",967.00,Housing Needs,Longford Village,Health & Safety,,,,
0000320186,THE OYSTER PARTNERSHIP,02/07/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff,,,,
0000320187,THE OYSTER PARTNERSHIP,02/07/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff,,,,
0000320188,PREMIER SERVICES,02/07/2024,"13,132.80","2,188.80",Asset Management,Thameside House,Security services,,,,
0000320191,THE SPELTHORNE MARKETING COMPANY,02/07/2024,840.00,140.00,Planning,Spelthorne Youth Hub,Marketing,,,,
