Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
0000315583,CASTLE WATER,16/08/2024,"4,100.12",444.80,Asset Management,Various,Water Charges
0000316219,ASSURA MEDICAL CENTRES LTD,30/08/2024,"1,378.88",229.81,Asset Management,Stanwell Health Centre,Management fees
0000316679,SP GRAPHICS,30/08/2024,"4,071.60",678.60,Depot,Street Cleaning,Street Nameplates
0000317206,INSIDE HOUSING SOLUTIONS LTD,13/08/2024,"4,800.00",800.00,Environmental Health,Noise Control,OutOfHoursCallService
0000317464,GM CONSTRUCTION MAINTENANCE,02/08/2024,"1,140.00",190.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000320050,VIVID RESOURCING,02/08/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff
0000320150,NCC GROUP ACCUMULI SECURITY LTD,02/08/2024,"8,581.43","1,430.24",Office Services,IT Overheads & Infrastructure,Computer Software
0000320347,THE OYSTER PARTNERSHIP,23/08/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff
0000321390,ACCESS PAYSUITE,28/08/2024,"7,794.43",0.00,Accounts,Customer Services,Computer Software
0000321391,ACCESS PAYSUITE,28/08/2024,689.10,114.85,Accounts,Customer Services,Computer Software
0000321397,GRANICUS-FIRMSTEP LTD,09/08/2024,"58,080.00","9,680.00",Office Services,Sharepoint redesign & Relaunch,Software Packages
0000321617,CULLIGAN (UK) LTD,13/08/2024,"1,362.10",227.02,Office Services,Facilities Management,Operational Equipment Maint.
0000321655,VIVID RESOURCING,23/08/2024,740.00,123.33,Environmental Health,Environmental Health Admin,Agency Staff
0000321657,VIVID RESOURCING,30/08/2024,"3,158.40",526.40,Environmental Health,Environmental Health Admin,Agency Staff
0000321659,KENT COUNTY COUNCIL (KCS),02/08/2024,"79,559.33","12,725.22",Asset Management,Various,Electricity
0000321660,KENT COUNTY COUNCIL (KCS),02/08/2024,"9,353.02","1,446.58",Asset Management,Various,Gas
0000321662,KENT COUNTY COUNCIL (KCS),02/08/2024,"3,375.28",426.52,Asset Management,"Car Park Administration, Community Safety CCTV",Electricity
0000321669,BT GLOBAL SERVICES,02/08/2024,"1,526.13",254.35,Information Technology,IT Overheads & Infrastructure,Networking
0000321679,INCA CREATIVE PRINT LTD,06/08/2024,954.00,159.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000321687,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321688,SECURE SITE UK LIMITED,20/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321689,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321716,TOTAL ENVIRONMENTAL COMPLIANCE LIMITED,02/08/2024,654.00,109.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321808,ROYAL MAIL,06/08/2024,"4,522.45",734.21,Office Services,Postage Holding Account,Holding Account Expenditure
0000321846,RED KITE CONSERVATION SERVICES,02/08/2024,"1,248.00",208.00,Depot,Environmental Enhancements,Grounds maintained noncontract
0000321847,VIVID RESOURCING,23/08/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff
0000321848,INCA CREATIVE PRINT LTD,06/08/2024,750.00,125.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000321852,VIVID RESOURCING,02/08/2024,"2,070.00",345.00,Office Services,Environmental Health Admin,Agency Staff
0000321853,VIVID RESOURCING,02/08/2024,"1,692.00",282.00,Environmental Health,Environmental Health Admin,Agency Staff
0000321858,ELECTION PAYMENTS,02/08/2024,560.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321859,ELECTION PAYMENTS,02/08/2024,608.70,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs
0000321863,CENTERPRISE INTERNATIONAL LTD,02/08/2024,633.60,105.60,Information Technology,IT Overheads & Infrastructure,Hardware Support
0000321864,NOBLE POLYTHENE LTD,02/08/2024,"4,514.40",752.40,Depot,Grounds Maintenance,Operational Equipment purchase
0000321865,POWERPOINT FIRE AND SECURITY LTD,02/08/2024,988.36,164.73,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000321868,REDACTED PERSONAL INFORMATION,02/08/2024,810.00,135.00,Planning,Planning Policy and Implement,Consultants fees
0000321870,MORGAN HUNT,02/08/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000321872,CFH DOCMAIL LTD,02/08/2024,"4,547.72",757.95,Financial Support,Elections,External printing
0000321873,SPELTHORNE DIRECT SERVICES LTD,09/08/2024,607.20,101.20,Office Services,Facilities Management,Trade waste collection
0000321875,CFH DOCMAIL LTD,02/08/2024,"23,789.38","3,935.93",Financial Support,Parliamentary Elections 2024,Postal Voting Costs
0000321877,POWERPOINT FIRE AND SECURITY LTD,02/08/2024,"3,021.00",503.50,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000321878,GM CONSTRUCTION MAINTENANCE,02/08/2024,840.00,140.00,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321879,SEE SERVICES,02/08/2024,"3,614.64",602.44,Asset Management,Planned Maintenance Programme,Responsive maintenance
0000321881,REDACTED PERSONAL INFORMATION,02/08/2024,"6,180.00","1,030.00",Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000321882,CFH DOCMAIL LTD,02/08/2024,"49,843.25","8,307.21",Financial Support,Parliamentary Elections 2024,Count Costs
0000321885,SECURE SITE UK LIMITED,02/08/2024,892.80,148.80,Asset Management,Oast House,Site Security
0000321888,MOLE VALLEY DISTRICT COUNCIL,23/08/2024,"4,789.66",798.28,Community Safety and Corporate Services,Accountancy,Other LA Authority MVDC
0000321889,SURREY RECRUITMENT SERVICES LIMITED,02/08/2024,"10,215.73","1,702.63",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff
0000321890,PERTEMPS RECRUITMENT PARTNERSHIP LTD,02/08/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000321891,G2RECRUITMENT,02/08/2024,976.50,162.75,Environmental Health,Environmental Health Admin,Agency Staff
0000321895,ROYAL MAIL,02/08/2024,"2,532.89",0.00,Office Services,Postage Holding Account,Holding Account Expenditure
0000321896,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,02/08/2024,717.60,119.60,Chief Exec. Dpt,Spelthorne Youth Hub,Electrical Works
0000321899,KOMPAN UK,02/08/2024,"1,596.62",266.10,Environmental Health,Grounds Maintenance,Playground Improvements
0000321900,KINGSPAN WATER AND ENERGY LTD,02/08/2024,"1,582.29",263.72,Depot,Grounds Maintenance,Operational equip mats & suppl
0000321901,FIRST CALL CONTRACT SERVICES,09/08/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff
0000321903,CENTERPRISE INTERNATIONAL LTD,02/08/2024,"1,159.20",193.20,Information Technology,IT Overheads & Infrastructure,Hardware Support
