Body,Directorate,Division,Service Area,Expenditure Category,Supplier Name,Pay Date,Amount,Transaction reference,Narrative,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,"Grants, Contributions & Donations",Redacted - Personal data,45873,2515,22002875,,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,"Grants, Contributions & Donations",Redacted - Personal data,45873,2000,21064781,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,Various,7403.27,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,Various,3993.75,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,IT Software Maintenance,Tunstall Healthcare (Uk) Limited,Various,8237.4,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Prism Medical Uk Limited,Various,28862.49,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Challenge Forge Limited,Various,2964,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Sfh & Maintenance Ltd,Various,510,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Payments to Private Contractors,Prism Medical Uk Limited,Various,3792.25,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Newlyn Healthcare Specialist Equipment Ltd,Various,9451,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Tunstall Healthcare (Uk) Limited,Various,9376.46,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Prism Medical Uk Limited,Various,7333.81,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Direct Healthcare Group Ltd,Various,5749.9,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Lisclare Ltd,Various,1536,Various,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Northern Sign Company,45870,647.5,21063034,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Northern Sign Company,45882,680,21063584,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Stop Security Products Ltd,45891,460,21063802,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,Mx Plumbing & Heating Ltd,45889,1140,21064472,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Promotions and Events,Impact Marketing & Publicity Ltd,45891,995,21066494,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,A E Holland Memorials Limited,45891,240,21066877,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,A E Holland Memorials Limited,45891,180,21066877,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Gunn Jcb Ltd,45896,3946.29,21064359,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Teleshore Uk Ltd,45877,396,21062881,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Teleshore Uk Ltd,45877,67.5,21062881,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Consultancy Services,Enzygo Ltd,45898,5500,21064732,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Fixtures & Fittings,Davies & Co (Environmental) Limited,45889,3000,21064942,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Fixtures & Fittings,Davies & Co (Environmental) Limited,45889,3933,21064946,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,IT Software Maintenance,Gower Consultants Limited,45898,2268.37,21065206,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Minor Repairs and Maintenance,Facultatieve Technologies Ltd,45870,17296.34,21063452,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Minor Repairs and Maintenance,Facultatieve Technologies Ltd,45891,5634.72,21064302,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Other Hired & Contracting Services,Security Plus Limited,45898,90.75,21065933,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Impact Marketing & Publicity Ltd,45877,995,21064681,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Impact Marketing & Publicity Ltd,45881,995,21065513,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Medical Communication Services,45897,1560,21065126,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Purchase of Equipment,Pinseeker (UK) Limited,45897,2080,21065044,,
