Body Name,Directorate,Division,Service Area,Expenditure Category,Supplier Name,Pay Date,Amount,Transaction reference,Narrative
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Hire of Rooms,The World Of Glass Enterprises Ltd,45973,16.66,21076969,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Hire of Rooms,The World Of Glass Enterprises Ltd,45973,240,21076969,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Hire of Rooms,The World Of Glass Enterprises Ltd,45973,225,21076969,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Alef Trust Cic,45975,7800,21076211,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Heart Of Glass St Helens Limited,45982,2000,21074755,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45968,1265.55,11137473,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45968,2.58,11137473,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45968,3.44,11137473,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45975,4.73,11137480,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45975,1479.73,11137480,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45975,3.01,11137480,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45975,2.15,11137480,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45982,1479.72,11138671,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45982,4.3,11138671,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45982,2.58,11138671,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45989,1187.67,11138672,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45989,3.44,11138672,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45989,4.73,11138672,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,45989,3.87,11138672,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,45968,712.5,21073435,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,45980,556.25,21075226,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,45987,693.75,21075258,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,45989,918.75,21076875,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Challenge Forge Limited,45987,3492,21078475,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Independent Adaptations Limited,45982,645,21074971,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Prism Medical Uk Limited,45967,868.05,21072951,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Prism Medical Uk Limited,45982,12338.58,21074846,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Mobile Phones,Telefonica Uk Limited,45966,1.55,11136600,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Mobile Phones,Telefonica Uk Limited,45966,0.86,11136600,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Mobile Phones,Telefonica Uk Limited,45966,28.8,11136600,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Payments to Private Contractors,Bridgewater Community Healthcare Nhs,45975,28707.33,21075522,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Payments to Private Contractors,Bridgewater Community Healthcare Nhs,45975,22000,21075524,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Printing,S F Taylor Positive Print Solutions,45980,1052,21074555,
