Body Name,Directorate,Division,Service Area,Expenditure Category,Supplier Name,Pay Date,Amount,Transaction reference,Narrative
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,REDACT - Personal data,45933,2000,22003059,REDACT - Personal data
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,REDACT - Personal data,45933,15,22003059,REDACT - Personal data
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,REDACT - Personal data,45957,2000,21074393,REDACT - Personal data
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Claire Weetman,45932,10000,21071160,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Tourism & Events,Other Recoverable Charges - Non Payroll,Vibe Uk,45932,882.04,21071597,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Heritage,Payments to Private Contractors,World Of Glass(St.Helens)Ltd,45940,50000,21071853,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Open Eye Ltd,45940,2000,21069471,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Claire Weetman,45958,2000,21074385,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,Other Hired & Contracting Services,Claire Weetman,45958,5100,21074388,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,Various,6256.76,Various,REDACT - Personal data
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,Various,1875,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,IT Software Maintenance,Tunstall Healthcare (Uk) Limited,Various,8237.4,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Challenge Forge Limited,Various,5196,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Independent Adaptations Limited,Various,450,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Prism Medical Uk Limited,Various,23020.9,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Payments to Private Contractors,Bridgewater Community Healthcare Nhs,Various,108121.99,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Postages,Royal Mail Group Ltd,Various,447.33,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Accora Uk,Various,5327,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Direct Healthcare Group Ltd,Various,10738.8,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Healthcare Matters,Various,5890,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Newlyn Healthcare Specialist Equipment Ltd,Various,14329,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Osprey Healthcare Ltd,Various,5633,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Prism Medical Uk Limited,Various,5361.780000000001,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Tunstall Healthcare (Uk) Limited,Various,16948,Various,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Telephones,British Telecom,Various,1384.47,Various,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Other Premises Costs,R Draper Ltd,45931,441.44,21070506,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Harrowden Turf Limited,45933,52.5,21068950,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Harrowden Turf Limited,45933,456,21068950,
