OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI
Staffordshire County Council,Improving Practice,18 St John Street Chambers,07/12/2023,972.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,18 St John Street Chambers,22/12/2023,900.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24 Taxis Lichfield Ltd,15/12/2023,61701.51,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,24 Taxis Lichfield Ltd,22/12/2023,1732.80,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Child in Care/Care Leavers,247 Cars Willenhall Ltd,05/12/2023,1215.94,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Bridge Short Stay School,247 Cars Willenhall Ltd,22/12/2023,31313.89,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,CAN Assess & Staying Together,247 Cars Willenhall Ltd,22/12/2023,864.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,SS Children with Disabilities,24x7 (Staffordshire) Ltd,13/12/2023,744.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,24x7 (Staffordshire) Ltd,22/12/2023,265403.76,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,04/12/2023,1500.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Assess & Staying Together,3 Angels Complex Care Services Ltd,15/12/2023,9360.00,S17-SUPP TO RELATIVE,S17-SUPP TO RELATIVE,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tam Children with Disability,3 Angels Complex Care Services Ltd,22/12/2023,2250.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Improving Practice,3PB Barristers (Chambers Account),22/12/2023,900.00,Legal Costs and Stamp Duty,Legal Costs and Stamp Duty,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Bridge Short Stay School,5 TEN CONTRACTS LTD,04/12/2023,68322.36,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,TAM Child in Care/Care Leavers,5 TEN CONTRACTS LTD,18/12/2023,960.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,ES Child in Care/Care Leavers,5 TEN CONTRACTS LTD,18/12/2023,2616.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,57 Cars Ltd,22/12/2023,73621.25,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A & K TRAVEL,04/12/2023,21924.07,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A D RUTTER,22/12/2023,2834.80,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A DAVIES-HILL,11/12/2023,2551.50,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Loxley Hall School,A Matthews Travel,22/12/2023,2182.34,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Local Svc & Community Transprt,A Moore T/A Staffs Border Travel,01/12/2023,2887.94,Payments to Bus Operators,Payments to Bus Operators,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Local Svc & Community Transprt,A Moore T/A Staffs Border Travel,22/12/2023,2887.94,Payments to Bus Operators,Payments to Bus Operators,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A Ratcliffe,11/12/2023,893.03,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Saxon Hill School,,01/12/2023,733.75,Personal Travel Budgets,Personal Travel Budgets,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Saxon Hill School,,22/12/2023,733.75,Personal Travel Budgets,Personal Travel Budgets,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A SHAW-MATTHEWS,11/12/2023,612.36,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A Star Taxis,22/12/2023,1900.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Nursery Education Grant,A WHEELER T/A LITTLE WHEELERS,11/12/2023,541.80,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tamworth LD Team,,08/12/2023,1376.12,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Tamworth LD Team,,22/12/2023,1376.12,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Home to school transport-main,A1 Embassy Taxis Stoke Ltd,22/12/2023,17292.07,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Wightwick Hall School,A1 Taxis,01/12/2023,1700.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Wightwick Hall School,A1 Taxis,22/12/2023,1615.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Sherbrook Primary School,A1 Wolves Taxis,22/12/2023,42443.60,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Cicely Haughton School,A2B Airport Travel,22/12/2023,2719.25,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Newcastle LD Team,A2B Airport Travel,19/12/2023,1045.00,Rental of Vehicles,Rental of Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,19/12/2023,3519.30,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,19/12/2023,6215.15,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,19/12/2023,9487.51,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Abacus Fostering LTD,19/12/2023,10101.05,Social Services Oth Local Auth,Social Services Oth Local Auth,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,TAM Assess & Staying Together,Abacus Psychology Ltd,21/12/2023,730.70,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Adoption Support Fund,Abacus Psychology Ltd,19/12/2023,525.00,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Adoption Support Fund,Abacus Psychology Ltd,19/12/2023,932.50,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Adoption Support Fund,Abacus Psychology Ltd,19/12/2023,1276.00,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Adoption Support Fund,Abacus Psychology Ltd,19/12/2023,585.50,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Adoption Support Fund,Abacus Psychology Ltd,22/12/2023,3225.00,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Independent School Fee Special,Abbey School,22/12/2023,76204.67,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,NEW Child in Care/Care Leavers,ABC Coaches (2002) Ltd,22/12/2023,1296.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,MOOR Child in Care/Care Leaver,ABC Coaches (2002) Ltd,22/12/2023,1200.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Stat-OOC transport,ABC Coaches (2002) Ltd,22/12/2023,2991.59,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,VS Cont Migration,Above N Beyond Limited,19/12/2023,9000.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,UASC Grant,Above N Beyond Limited,08/12/2023,748.95,Prev Supp Sundry,Prev Supp Sundry,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Network Management Unit,ABS Commercial Solutions Limited,11/12/2023,4440.00,Training Expenses,Training Expenses,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Stafford Invoice Led Older Peo,Acadia Support Services LTD,06/12/2023,5237.45,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Stafford Invoice Led Phys Disa,Acadia Support Services LTD,06/12/2023,844.75,Practical Care,Practical Care,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Accalia Care Services Ltd,19/12/2023,23471.43,Specialist Childs Res Services,Specialist Childs Res Services,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Headquarters - I.S.P,Accalia Care Services Ltd,19/12/2023,30490.72,Specialist Childs Res Services,Specialist Childs Res Services,http://opendatacommunities.org/id/county-council/staffordshire  
Staffordshire County Council,Newcastle MH Team U65,Access Hope Ltd,04/12/2023,4299.62,Supported Group Care,Supported Group Care,http://opendatacommunities.org/id/county-council/staffordshire  
