Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,291.98
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,291.98
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,3.75
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,3150.58
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,122.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,81.81
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,81.81
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,45.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,28.14
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,22.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,11.26
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,11.23
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,8.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,4.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,2.81
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/09/2023,11.23
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,8.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,4.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/09/2023,2.81
