Organisation Name,Organisation Code,Directorate / Service where expenditure Incurred,Supplier Name,Supplier ID,Payment Date,Transaction Number,Net Amount,Expenditure Proclass Code,Expenditure Proclass Category Level 1,Expenditure Proclass Category Level 2,Expenditure Proclass Category Level 3,Card Transaction Yes / No,Capital / Revenue,Service Division Label,Account Code,Account Code Description,Cost Centre Code,Cost Centre Description,Invoice Date,MCC Code,MCC Category,Ledger Year,Ledger Period,LA Short Name,BVACOP Group
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DAVIES SPORT,34048,13/12/2024,8207438,523.55,330000,Sports & Playground Equipment & Maintenance,Not Classified,Not Classified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,15/11/2024,0,0,2024,202407,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,ROBBIE GRATTON,79518,04/12/2024,8208763,863.20,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,27/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,LISA YATES,60050,06/12/2024,8208764,1900.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,02/12/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES CAPITAL,PLAYDALE PLAYGROUNDS LTD,35317,06/12/2024,8208877,5930.02,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,OTHER EDUCATION CAPITAL,C201,CONTRACTOR PAYMENTS,C2708,DURHAM LANE PRIMARY - OC,30/08/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,06/12/2024,8208898,1600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,01/12/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES CAPITAL,AMAZON PAYMENTS UK LTD,72070,24/12/2024,8208910,513.76,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,OTHER EDUCATION CAPITAL,C300,EQUIPMENT,C2732,FAIRFIELD PRIMARY - OC,30/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,PETER SHEAHAN,65082,12/12/2024,8209104,3494.45,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,06/12/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DURHAM UNIVERSITY,33280,12/12/2024,8209108,770.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,05/12/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES CAPITAL,ONE IT SERVICES & SOLUTIONS,62823,20/12/2024,8209527,1088.90,999999,Unclassified,Unallocated,Unclassified,no,CAPITAL,OTHER EDUCATION CAPITAL,C500,CAPITALISED ICT SOFTWARE,C2732,FAIRFIELD PRIMARY - OC,25/11/2024,0,0,2024,202409,SBC,
Stockton-on-Tees Borough Council,http://statistics.data.gov.uk/doc/local-authority/00EF,CHILDRENS SERVICES,DARAN CROFTS,76144,19/12/2024,8209567,1600.00,999999,Unclassified,Unallocated,Unclassified,no,REVENUE,HOLDING ACCOUNTS,4009,"Equipment, Furniture & Materials",20712,SPORTS ENGLAND TRADING ACCOUNT,18/12/2024,0,0,2024,202409,SBC,
