Transparency Report October 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Sum of Amount
Stoke City Council,4CAF,Children and Family Services,de113,Services,45210,SOT0984923, MACCLESFIELD TUTORIAL COLLEGE,1774
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999908,18 ST JOHN STREET CHAMBERS,650
Stoke City Council,4CAF,Children and Family Services,GI160,Inter departmental ,45229,SOT0999962,18 ST JOHN STREET CHAMBERS,2700
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWRC,Works,45210,SOT0991420,1st Choice Building & Installations Limited,3550
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45205,SOT0990365,2 Hills Consultancy,1897.5
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45212,SOT0990365,2 Hills Consultancy,1897.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45211,SOT0992486,20 Talbot Street,13557.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45225,SOT0999224,20 Talbot Street,13557.78
Stoke City Council,4CAF,Children and Family Services,EG218,Other establishments,45212,000011094385757,REDACTED - Personal Data,1012
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45203,SOT0988436,3D Recruit Ltd,6280.55
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45203,SOT0989283,3D Recruit Ltd,7225.25
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45210,SOT0991625,3D Recruit Ltd,3893.79
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45210,SOT0991626,3D Recruit Ltd,6673.85
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45217,SOT0993372,3D Recruit Ltd,3603.62
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45217,SOT0993385,3D Recruit Ltd,6339.32
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45224,SOT0997626,3D Recruit Ltd,6201.63
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45226,SOT0999568,3D Recruit Ltd,3706.76
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45226,SOT0999689,3D Recruit Ltd,7856.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45226,SOT0999690,3D Recruit Ltd,7860.29
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45211,SOT0992510,3L Care Limited,5625.94
