Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXPPP,Plant Machinery and Equipment,45183.999444444446,SOT0980467,Facultatieve Technologies Limited,105176.2
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXWLC,Works,45176.999444444446,SOT0978397,The CDS Group,9190
Stoke City Council,4CAPS,Capital Suspended Codes,QXPPP,Plant Machinery and Equipment,45188.999444444446,SOT0984015,City of Stoke Gymnastics Club,15000
Stoke City Council,4CAPS,Capital Suspended Codes,QXWRE,External Fees,45179.999444444446,SOT0975309,CRS Gas Solutions Limited,3442
Stoke City Council,4CAPS,Capital Suspended Codes,QXWRE,External Fees,45188.999444444446,SOT0983870,Kingscroft Professional Resources,4285.53
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45197.999444444446,SOT0987368,Affinity Design and Management Ltd,22050
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45176.999444444446,SOT0978455,Affinity Design and Management Ltd,5880
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBC,Works,45179.999444444446,SOT0978199,Groundtech Consulting Limited,1875
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45169.999444444446,SOT0976465,Keelagher Okey Associates Ltd,2144.6
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45181.999444444446,SOT0979250,Poole Dick Associates Ltd,25000
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45190.999444444446,SOT0984193,Poole Dick Associates Ltd,7098
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45174.999444444446,SOT0976879,Portakabin Ltd,24138
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45197.999444444446,SOT0988585,Portakabin Ltd,1451.45
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45197.999444444446,SOT0988533,Portakabin Ltd,6654.89
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45195.999444444446,SOT0978408,Portakabin Ltd,25787.64
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45186.999444444446,SOT0980793,Portakabin Ltd,7650
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45169.999444444446,SOT0976382,Seddon Construction Ltd,26385.83
Stoke City Council,4CAFSC,Children & Family services CAP,QXWBE,External Fees,45169.999444444446,SOT0976383,Seddon Construction Ltd,128610.76
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45188.999444444446,SOT0979326,Unitas Stoke-on-Trent Ltd,-21088.12
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45188.999444444446,SOT0979346,Unitas Stoke-on-Trent Ltd,21088.12
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45188.999444444446,SOT0979322,Unitas Stoke-on-Trent Ltd,114633.31
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978767,WF Education Group Limited,2000
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978769,WF Education Group Limited,6885
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978771,WF Education Group Limited,11495
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978770,WF Education Group Limited,13104
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978742,WF Education Group Limited,14334.11
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRC,Works,45176.999444444446,SOT0978768,WF Education Group Limited,84033.2
Stoke City Council,4CAFSC,Children & Family services CAP,QXWRE,External Fees,45190.999444444446,SOT0984418,WSG Fire Safety Consultancy Ltd ,3000
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45193.999444444446,SOT0984897, MACCLESFIELD TUTORIAL COLLEGE,1922
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45193.999444444446,SOT0984922, MACCLESFIELD TUTORIAL COLLEGE,2334.5
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45181.999444444446,SOT0976845,3D Recruit Ltd,6332.13
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45181.999444444446,SOT0979795,3D Recruit Ltd,6589.97
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45169.999444444446,SOT0976372,3D Recruit Ltd,7901.87
Stoke City Council,4CAF,Children and Family Services,AA700,Agency staff,45190.999444444446,SOT0984170,3D Recruit Ltd,6665.76
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45197.999444444446,SOT0988548,5ab Care,33615.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978852,ABACUS FOSTERING LTD,6650.4
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45190.999444444446,SOT0984508,Above n Beyond Ltd.,2029.92
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45176.999444444446,SOT0978836,Above n Beyond Ltd.,2029.92
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978881,Acheron Care Ltd,24565.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978879,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978880,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978882,Acheron Care Ltd,27877.86
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978834,Acorn Fostering Services Ltd,5888
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45190.999444444446,SOT0984514,Acorn Residential Care Limited,33493.73
Stoke City Council,4CAF,Children and Family Services,GI100,Inter departmental ,45197.999444444446,SOT0988380,Acorn Training Limited,1302.35
Stoke City Council,4CAF,Children and Family Services,ab300,Training,45174.999444444446,SOT0976881,Act Now Training Ltd,2100
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978894,Affinity Fostering Services,22592
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45195.999444444446,SOT0987079,AJS Passenger Travel,3150
Stoke City Council,4CAF,Children and Family Services,EG232,Other establishments,45169.999444444446,SOT0975847,Aladdin`s Education Limited,600
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45197.999444444446,SOT0988771,Alpha Learning Staffordshire Ltd,960
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45197.999444444446,SOT0988772,Alpha Learning Staffordshire Ltd,1280
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45193.999444444446,SOT0984869,Alpha Learning Staffordshire Ltd,1700
Stoke City Council,4CAF,Children and Family Services,EC105,Other local authorities,45181.999444444446,SOT0979843,Alpha Learning Staffordshire Ltd,800
