Body Name,Body,Directorate,Service Area,Sub-Service Area,Sub-description,Payment Date,Sub Amount,Invoice Amount,Supplier Name
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,21/06/2023,648.00,648.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,21/06/2023,648.00,648.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,522.68,522.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,250.32,250.32,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,274.16,274.16,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,325.22,325.22,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,470.41,470.41,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,487.83,487.83,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,813.05,813.05,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,870.16,870.16,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,"2,036.16","2,036.16",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,929.20,929.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,"1,660.95","1,660.95",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46137-Reablement,21/06/2023,327.24,327.24,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,371.68,371.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,775.68,775.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,21/06/2023,727.20,727.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,21/06/2023,378.00,378.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAC-Ips & East Care Purchasing,46117-External Home Care,21/06/2023,549.15,549.15,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,21/06/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,21/06/2023,589.05,589.05,1 OAK HOME CARE
