SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
A W & D HAMMOND,26/06/2024," £1,107.56 ",Vehicle Repairs,,,,,,
ABBOTT TOXICOLOGY LIMITED,04/06/2024," £7,560.00 ",Specialist Operational Equipment,,,,,,
ABBOTT TOXICOLOGY LIMITED,02/07/2024," £7,560.00 ",Specialist Operational Equipment,,,,,,
ADAQUA LIMITED,19/05/2024, £960.00 ,Maintenance  ,,,,,,
ADAQUA LIMITED,26/06/2024, £960.00 ,Maintenance  ,,,,,,
AETOPIA LIMITED,03/06/2024," £5,897.38 ",Storage,,,,,,
AETOPIA LIMITED,01/07/2024," £9,904.27 ",Storage,,,,,,
AGIITO LIMITED,25/06/2024," £1,316.31 ",Public Transport ,,,,,,
AGIITO LIMITED,27/06/2024," £8,207.11 ",Hotel Accommodation,,,,,,
AGIITO LIMITED,28/06/2024," £2,181.56 ",Public Transport ,,,,,,
AIRMAX REMOTE LIMITED,15/06/2024," £19,424.90 ",Software - Maintenance,,,,,,
AIRMAX REMOTE LIMITED,30/06/2024," £19,340.30 ",Software - Maintenance,,,,,,
AIRWAVE SOLUTIONS LIMITED,02/07/2024," £59,034.63 ",Airwave,,,,,,
ALLSTAR BUSINESS SOLUTIONS,19/06/2024," £15,928.45 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,26/06/2024," £17,385.56 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,03/07/2024," £16,342.03 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,10/07/2024," £17,165.84 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,17/07/2024," £18,287.29 ",Vehicle Fuel,,,,,,
AMR MECHANICAL SERVICES LIMITED,04/06/2024," £5,301.99 ",Maintenance  ,,,,,,
AMR MECHANICAL SERVICES LIMITED,14/06/2024," £2,698.15 ",Maintenance  ,,,,,,
AMR MECHANICAL SERVICES LIMITED,25/06/2024," £8,936.74 ",Maintenance  ,,,,,,
ANGLIA RUSKIN UNIVERSITY,20/06/2024," £23,975.00 ",DHEP Training Costs,,,,,,
ANGLIAN WATER BUSINESS,11/06/2024," £5,862.15 ",Water & Sewerage,,,,,,
ANTALIS LIMITED,24/06/2024, £538.28 ,Printing,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/05/2024," £1,415.50 ",Alarms Installation and Monitoring,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/06/2024, £893.50 ,Alarms Installation and Monitoring,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/07/2024, £800.00 ,Alarm Monitoring,,,,,,
AXON PUBLIC SAFETY UK LIMITED,17/06/2024," £5,481.60 ",Training - Other,,,,,,
BLUE LIGHTS DIGITAL LIMITED,01/07/2024," £13,600.00 ",External Training Course ,,,,,,
BOING RAPID SECURE LIMITED,05/07/2024, £575.80 ,Boarding Up,,,,,,
BRITISH TELECOMMUNICATIONS PLC,09/07/2024," £6,504.41 ",Fixed Telephone Line Rental,,,,,,
BSL4YOU,11/06/2024, £599.00 ,External Training Course,,,,,,
BUNTINGS DEVELOPMENT LIMITED,25/06/2024," £3,750.00 ",Service Charge,,,,,,
CALTEC ATC LIMITED,27/06/2024, £804.23 ,Vehicle Workshop Equipment,,,,,,
CBRE MANAGED SERVICES LIMITED,30/06/2024," £29,475.81 ",Grounds & Caretaking Contract,,,,,,
CEETECH LIMITED,30/06/2024," £2,168.59 ",Maintenance,,,,,,
CELLMARK LIMITED,11/05/2024," £2,355.85 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,17/06/2024," £5,038.60 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,26/06/2024," £11,607.05 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,11/07/2024," £59,286.19 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,22/07/2024," £6,628.65 ",Forensic Analysis,,,,,,
CHAMBERS OF SIMON MCKAY,02/06/2024," £1,050.00 ",External Training Course ,,,,,,
CHARACTERS (DRAMA BASED LEARNING) LIMITED,23/05/2024," £1,058.80 ",Internal Training Courses,,,,,,
CHARACTERS (DRAMA BASED LEARNING) LIMITED,14/06/2024," £1,082.94 ",Internal Training Courses,,,,,,
CHARACTERS (DRAMA BASED LEARNING) LIMITED,16/07/2024, £866.87 ,Internal Training Courses,,,,,,
CHORUS INTELLIGENCE LIMITED,12/06/2024," £201,776.48 ",Software - Maintenance,,,,,,
CHORUS INTELLIGENCE LIMITED,17/06/2024," £13,750.00 ",Software Licences,,,,,,
CLEARTONE TELECOMS LIMITED,17/06/2024," £3,998.00 ",Roads Policing Equipment,,,,,,
COLLEGE OF POLICING,03/07/2024," £2,615.00 ",External Training Course ,,,,,,
CONNELL ASSOCIATES LLP,24/07/2024," £13,351.93 ",Public Liability,,,,,,
COOKS BLINDS AND SHUTTERS LIMITED,30/06/2024," £5,680.00 ",Maintenance,,,,,,
CRIMESTOPPERS TRUST,14/06/2024," £10,000.00 ",Other Partnerships,,,,,,
DEEPSTORE LIMITED,31/05/2024," £6,404.51 ",Storage,,,,,,
DELL COMPUTER CORPORATION LIMITED,13/06/2024," £2,656.00 ",Hardware,,,,,,
DIGITAL DEVICES LIMITED,25/06/2024," £1,075.81 ",Hardware - purchase,,,,,,
DONOGHUE SOLICITORS,12/07/2024," £4,800.00 ",Public Liability,,,,,,
DRAEGER SAFETY UK LIMITED,04/06/2024, £969.06 ,Breath Testing Equipment,,,,,,
DWP DEBT MANAGEMENT,24/07/2024," £11,648.07 ",Public Liability,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,12/06/2024," £6,885.03 ",Maintenance,,,,,,
EAST SUFFOLK COUNCIL,01/06/2024, £562.50 ,Service Charge,,,,,,
EDDISONS COMMERCIAL LIMITED,28/05/2024," £1,575.00 ",Consultant Estates Fees,,,,,,
EE LIMITED,03/07/2024," £28,901.53 ",Mobile Phone Contract Cost,,,,,,
