SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 SEP 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
ACCIDENT EXCHANGE LIMITED,17/09/2024,"£7,296.24",Vehicle Insurance
AETOPIA LIMITED,01/09/2024,"£3,450.00",Storage
AGIITO LIMITED,27/08/2024,"£2,382.96",Hotel Accommodation
AIRMAX REMOTE LIMITED,31/08/2024,"£19,509.50",Software - Maintenance
AIRWAVE SOLUTIONS LIMITED,22/08/2024,"£44,119.78",Airwave
AIRWAVE SOLUTIONS LIMITED,11/09/2024,"£59,034.65",Airwave
ALAN WADKINS LIMITED TOOLSTORE,20/09/2024,"£1,710.00",Other Operational Expenses
ALLSTAR BUSINESS SOLUTIONS,21/08/2024,"£18,768.07",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,28/08/2024,"£15,885.06",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,04/09/2024,"£15,909.04",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,11/09/2024,"£15,990.10",Vehicle Fuel
AMR ELECTRICAL SERVICES LIMITED,30/08/2024,£842.12,Maintenance
AMR MECHANICAL SERVICES LIMITED,28/05/2024,"£5,995.00",Maintenance
AMR MECHANICAL SERVICES LIMITED,27/08/2024,"£1,486.93",Maintenance
ANGLIAN WATER BUSINESS,11/09/2024,"£6,284.35",Water & Sewerage
AV NICHE RECORDING SYSTEMS LIMITED,04/09/2024,£562.50,Software - Maintenance
AVR GROUP LIMITED t/a ALERTCOM,01/09/2024,"£2,015.50",Alarm Monitoring
BABERGH DISTRICT COUNCIL,12/09/2024,"£39,885.25",Business Rates
BEN HOARE BELL LLP,02/09/2024,"£1,000.00",Public Liability
BEST EVIDENCE TECHNOLOGY LIMITED,20/08/2024,"£3,080.00",External Training Course
BRITISH TELECOMMUNICATIONS PLC,09/07/2024,£678.55,Network Connectivity
BUNTINGS DEVELOPMENT LIMITED,18/09/2024,"£7,334.53",Service Charge
CBRE MANAGED SERVICES LIMITED,31/07/2024,"£2,002.00",Maintenance
