SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 OCT 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
A P T FARMING LIMITED,15/10/2024,"£2,757.30",Electricity
ABBOTT TOXICOLOGY LIMITED,02/10/2024,"£7,560.00",Specialist Operational Equipment
AETOPIA LIMITED,06/09/2024,"£7,594.59",Storage
AETOPIA LIMITED,01/10/2024,"£86,583.29",Storage
AGIITO LIMITED,19/09/2024,£675.10,Public Transport
AGIITO LIMITED,27/09/2024,"£4,976.01",Hotel Accommodation
AGIITO LIMITED,01/10/2024,"£1,100.80",Public Transport 
AI TRAINING SERVICES LIMITED,12/09/2024,"£6,030.00",External Training Course
AIRBOX SYSTEMS LIMITED,19/09/2024,"£15,600.00",Subscriptions
AIRMAX REMOTE LIMITED,30/09/2024,"£19,622.30",Software - Maintenance
AIRWAVE SOLUTIONS LIMITED,11/10/2024,"£59,034.65",Airwave
AIT TRAINING DEVELOPMENTS LP,04/10/2024,£600.00,External Training Course
ALLSTAR BUSINESS SOLUTIONS,18/09/2024,"£15,686.59",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,25/09/2024,"£16,162.32",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,02/10/2024,"£15,330.60",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,09/10/2024,"£14,362.78",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,16/10/2024,"£15,648.17",Vehicle Fuel
AMR MECHANICAL SERVICES LIMITED,20/09/2024,"£1,919.57",Maintenance
ANGLIA GARAGE EQUIPMENT LIMITED,26/06/2024,£515.61,Vehicle Workshop Equipment
AUTOQUIP (GB) GARAGE EQUIPMENT LIMITED,18/09/2024,"£1,016.85",Vehicle Workshop Equipment
AVATU LIMITED,06/09/2024,£655.00,"ICT Tools, Equipment and Consumables"
AVR GROUP LIMITED t/a ALERTCOM,01/10/2024,"£1,863.50",Alarm Monitoring
AXESS INTERNATIONAL LIMITED,03/10/2024,"£1,010.35",Radio / Airwave - Equipment
BENNEMAN LIMITED,29/07/2024,"£3,500.00",Maintenance Specialist Operation Equipment
BNP PARIBAS REAL EST ADVISORY/PROP MGMT,22/10/2024,"£39,000.00",Fees - Other
BOC LIMITED,30/09/2024,"£1,078.75",Specialist Operational Equipment
BUDDI LIMITED,19/09/2024,"£2,660.00",Hire of Operational Equipment
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19/09/2024,£518.65,Pathologists Fees
CARPENTERS LIMITED,09/10/2024,"£2,649.50",Vehicle Insurance
CBRE MANAGED SERVICES LIMITED,30/09/2024,"£30,927.70",Grounds & Caretaking Contract
CDW LIMITED,23/09/2024,"£1,198.72",Hardware - purchase
CELLMARK LIMITED,20/09/2024,"£47,724.64",Forensic Analysis
CELLMARK LIMITED,29/09/2024,"£13,334.55",Forensic Analysis
CELLMARK LIMITED,15/10/2024,"£2,520.00",Forensic Analysis
CERTAS ENERGY,23/09/2024,"£10,908.00",Vehicle Fuel
CERTAS ENERGY,23/10/2024,"£11,072.00",Vehicle Fuel
COBUILD NORFOLK LIMITED,18/09/2024,£624.98,Maintenance
COLLEGE OF POLICING,12/09/2024,£872.50,External Training Course
COLLEGE OF POLICING,25/09/2024,"£4,671.50",External Training Course
CONSTANT COOLING LIMITED,30/08/2024,"£7,938.46",Maintenance
CY4OR LEGAL LIMITED,26/09/2024,"£1,800.00",Professional Fees
D.TEC INTERNATIONAL LIMITED,09/09/2024,£815.00,Specialist Operational Equipment
DEEPSTORE LIMITED,30/09/2024,"£6,207.50",Storage
DELL COMPUTER CORPORATION LIMITED,09/09/2024,"£6,192.00",Hardware
DELL COMPUTER CORPORATION LIMITED,19/09/2024,"£2,588.10",Hardware
DONOGHUE SOLICITORS,16/10/2024,"£36,000.00",Public Liability
DRAEGER SAFETY UK LIMITED,17/09/2024,"£1,292.08",Specialist Operational Equipment
E RAND & SONS LIMITED,30/09/2024,"£2,200.00",Maintenance
EJC PEOPLE SOLUTIONS LIMITED,12/09/2024,£770.00,Professional Fees
