SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 FEB 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
A C LEIGH LIMITED,27/01/2025,"£1,325.00",Access Control
A P T FARMING LIMITED,01/03/2025,"£2,687.50",Service Charge
ACS TECHNOLOGY GROUP LIMITED,10/01/2025,£558.00,Stationery and Office Consumables
AETOPIA LIMITED,01/02/2025,"£3,450.00",Storage
AGIITO LIMITED,16/01/2025,£657.30,Public Transport 
AGIITO LIMITED,27/01/2025,"£3,194.72",Hotel Accommodation
AGIITO LIMITED,29/01/2025,£600.60,Public Transport 
AIRWAVE SOLUTIONS LIMITED,20/01/2025,"£84,614.83",Airwave
AIRWAVE SOLUTIONS LIMITED,13/02/2025,"£56,701.23",Airwave
ALLSTAR BUSINESS SOLUTIONS,22/01/2025,"£16,847.22",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,29/01/2025,"£17,851.74",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,05/02/2025,"£16,570.03",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,12/02/2025,"£15,990.50",Vehicle Fuel
AMR MECHANICAL SERVICES LIMITED,22/01/2025,"£1,419.00",Maintenance
AMR MECHANICAL SERVICES LIMITED,31/01/2025,"£1,628.00",Maintenance
ANGLIA RUSKIN UNIVERSITY,24/01/2025,"£13,700.00",DHEP Training Costs
ANGLIAN WATER BUSINESS,11/01/2025,"£4,969.22",Water & Sewerage
AVR GROUP LIMITED t/a ALERTCOM,01/02/2025,"£2,717.50",Alarm Monitoring
AXON PUBLIC SAFETY UK LIMITED,16/11/2024,£753.60,Training Materials and Study Costs
AZZOTECH LIMITED,08/01/2025,"£1,613.90",Building Works
BLUE LIGHTS DIGITAL LIMITED,27/01/2025,"£1,700.00",External Training Course 
BOC LIMITED,31/01/2025,"£1,185.18",Breath Testing Equipment
C SIGNS AND GRAPHICS LIMITED,14/01/2025,"£1,712.50",Vehicles - Spares
CBRE MANAGED SERVICES LIMITED,31/01/2025,"£2,002.00",Maintenance
CELLMARK LIMITED,29/01/2025,"£106,385.28",Forensic Analysis
CELLMARK LIMITED,01/02/2025,£767.90,Forensic Analysis
CELLMARK LIMITED,11/02/2025,"£47,027.15",Forensic Analysis
CERTAS ENERGY,11/02/2025,"£11,601.52",Vehicle Fuel
CIVICA UK LIMITED,30/01/2025,£975.00,Hardware - purchase
COBUILD NORFOLK LIMITED,16/01/2025,"£5,273.68",Building Works
COBUILD NORFOLK LIMITED,21/01/2025,£750.00,Maintenance
COLLEGE OF POLICING,08/01/2025,"£12,135.50",External Training Course
COLLEGE OF POLICING,15/01/2025,"£2,248.00",External Training Course
COLLEGE OF POLICING,22/01/2025,"£4,075.00",External Training Course
COLLEGE OF POLICING,29/01/2025,£689.00,External Training Course
CONSTANT COOLING LIMITED,07/01/2025,"£3,186.33",Building Minor Works
CONSTANT COOLING LIMITED,31/01/2025,£683.18,Maintenance
COOKS BLINDS AND SHUTTERS LIMITED,30/01/2025,"£1,154.30",Maintenance
CSI EQUIPMENT LIMITED,21/01/2025,£519.00,SOC Consumables
DAVIES GROUP LIMITED,29/10/2024,"£1,250.00",Vehicle Insurance
DEEPSTORE LIMITED,31/01/2025,"£6,135.97",Storage
DEFENCE INFRASTRUCTURE (FORMERLY ESTATES),28/01/2025,"£54,000.00",Service Charge
DELL COMPUTER CORPORATION LIMITED,20/01/2025,"£1,581.00",Hardware - purchase
DELL COMPUTER CORPORATION LIMITED,25/01/2025,"£49,707.00",Hardware
DELL COMPUTER CORPORATION LIMITED,29/01/2025,"£1,470.00",Hardware - purchase
ECCO SAFETY GROUP UK LIMITED,23/01/2025,£701.22,Vehicles - Spares
EE LIMITED,19/01/2025,£924.42,Mobile Phone Charges Contract Cost
EUREST SERVICE,15/01/2025,"£1,885.14",Canteen Catering Equipment
FIRST FORENSIC SOLUTIONS LIMITED,29/01/2025,"£1,000.00",Licence Fees
FMG REPAIR SERVICES LIMITED,06/01/2025,"£2,842.15",Vehicle Insurance
FONEFUNSHOP LIMITED,21/02/2025,£792.27,Hardware - purchase
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,06/01/2025,£542.66,Vehicles - Spares
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,17/01/2025,£534.76,Vehicles - Spares
FORENSIC PATHOLOGY SERVICES,19/12/2024,"£3,295.00",Pathologists Fees
FORENSIC PATHOLOGY SERVICES,10/01/2025,"£3,295.00",Pathologists Fees
GAMMA TELECOM LIMITED,09/01/2025,"£7,098.01",Fixed Telephone Rental
GOODYEAR TYRES UK LIMITED,24/12/2024,"£1,055.60",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,07/01/2025,"£3,548.49",Vehicles - Tyres and Tubes
