Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003670673,03.04.2023,REVENUE," 23,425.67 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003670781,03.04.2023,REVENUE," 23,637.60 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHBOURNE LODGE CARE HOME,7003670584,03.04.2023,REVENUE," 21,909.74 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHBOURNE LODGE CARE HOME,7003670748,03.04.2023,REVENUE," 21,909.74 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003670617,03.04.2023,REVENUE," 24,134.93 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003670731,03.04.2023,REVENUE," 24,134.93 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BARNES COURT,7003670652,03.04.2023,REVENUE," 45,408.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003670625,03.04.2023,REVENUE, 707.01 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003670862,03.04.2023,REVENUE, 707.01 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CARE UK SERVICES LIMITED,7003670736,03.04.2023,REVENUE," 2,742.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003670620,03.04.2023,REVENUE," 17,508.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003670759,03.04.2023,REVENUE," 17,508.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE COURT CARE HOME,7003670704,03.04.2023,REVENUE," 20,026.71 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE MANOR CARE HOME,7003670544,03.04.2023,REVENUE," 21,369.10 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,FALSTONE MANOR CARE HOME,7003670807,03.04.2023,REVENUE," 21,369.10 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003670608,03.04.2023,REVENUE, 673.00 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HC-ONE BEAMISH LTD,7003670852,03.04.2023,REVENUE, 673.00 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HERRINGTON GRANGE LTD,7003670712,03.04.2023,REVENUE," 13,008.98 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003670649,03.04.2023,REVENUE, 602.87 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HILL CARE SERVICES LIMITED,7003670724,03.04.2023,REVENUE, 602.87 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003670561,03.04.2023,REVENUE," 27,721.38 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MARQUIS COURT,7003670810,03.04.2023,REVENUE," 27,721.38 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,PADDOCK STILE MANOR,7003670794,03.04.2023,REVENUE," 24,477.09 ",,,,,,
