Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £
115297233,Streetsmart,Streetsmart,Waste - Disposal,Supplies and Services,Materials,1ST IMPRESSIONS SIGNS & GRAPHICS LTD,SN1 ,24/11/2023,794.00
114562235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,17/11/2023,"17,310.72"
114562235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,17/11/2023,"-12,910.80"
114562235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,17/11/2023,-776.16
114562235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,17/11/2023,"2,163.84"
114062233,Routes to Employment,"Education, Inclusion and Skills",Adult Learning,Supplies and Services,Materials,4IMPRINT.CO.UK,M32 ,13/11/2023,"1,482.97"
113642233,School Transport,"Education, Inclusion and Skills",Mainstream School Transport,Transport Costs,Home to School Transport,4K TRAVEL LTD,SN1 ,08/11/2023,"4,257.00"
115201331,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,24/11/2023,800.00
113857233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,10/11/2023,429.76
114239233,Early Years Block,Dedicated Schools Grant (DSG),Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY FARM EDUCATE TOGETHER PRIMARY,SN25,15/11/2023,"6,625.32"
112737234,Streetsmart,Streetsmart,Waterside Fleet Workshops,Supplies and Services,Equipment,ABBEY FIRE PROTECTION LTD,SN15,03/11/2023,448.75
