Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/06/2023,09/06/2023,Purchase,100,Tesco Gift Card
JB,26/06/2023,01/06/2023,Purchase,100,Voucher Express
JB,26/06/2023,21/06/2023,Purchase,100,Tesco Gift Card
JB,26/06/2023,19/06/2023,Purchase,100,Proark UK Hotels Ltd Oper
JB,26/06/2023,13/06/2023,Purchase,100,Www.Downing.Com
DS,26/06/2023,16/06/2023,Purchase,100,Halfords
AA,26/06/2023,12/06/2023,Purchase,101.95,Church Stretton Low Fuel
AA,26/06/2023,16/06/2023,Purchase,102.35,Asda Groceries Online
JR,26/06/2023,17/06/2023,Purchase,102.92,Booker Ltd
JB,26/06/2023,08/06/2023,Purchase,103.57,Trainline
JB,26/06/2023,12/06/2023,Purchase,105.25,Trainline
JB,26/06/2023,12/06/2023,Purchase,105.25,Trainline
JR,26/06/2023,23/06/2023,Purchase,105.98,Amznmktplace
AA,26/06/2023,08/06/2023,Purchase,107,Wickes Building
AA,26/06/2023,13/06/2023,Purchase,107.59,Amznmktplace
JB,26/06/2023,12/06/2023,Purchase,108.95,Www.Argos.Co.Uk
AA,26/06/2023,09/06/2023,Purchase,109.15,Red Lion Service Station
AA,26/06/2023,05/06/2023,Purchase,109.9,Paypal *cartridgepe
AA,26/06/2023,09/06/2023,Purchase,110,Paypal *royal Mail
AA,26/06/2023,13/06/2023,Purchase,110,Eviivo* :tontine Hotel
DS,26/06/2023,31/05/2023,Purchase,110.3,Johnstones Dec Centre
JR,26/06/2023,15/06/2023,Purchase,110.67,Baker Ross Ltd
AA,26/06/2023,28/05/2023,Purchase,110.95,Uk Pool Store Ltd
JB,26/06/2023,08/06/2023,Purchase,111.1,Trainline
JR,26/06/2023,06/06/2023,Purchase,111.99,Farmfoods
JR,26/06/2023,16/06/2023,Purchase,113.62,Booker Ltd
JB,26/06/2023,12/06/2023,Purchase,115,Jd Sports Fashion Plc
AA,26/06/2023,21/06/2023,Purchase,117.28,Travelodge
AA,26/06/2023,23/06/2023,Purchase,118.95,Amznmktplace
DS,26/06/2023,19/06/2023,Purchase,119.18,Howdens - Telford Da64
AA,26/06/2023,30/05/2023,Purchase,119.69,Amazon.Co.Uk*tw09z80g5
JB,26/06/2023,31/05/2023,Purchase,119.96,Amznmktplace
JB,26/06/2023,02/06/2023,Purchase,120,Green Skip Hire
JB,26/06/2023,22/06/2023,Purchase,120,Green Skip Hire
JB,26/06/2023,01/06/2023,Purchase,120,Facebk *l63llr7rn2
JR,26/06/2023,22/06/2023,Purchase,120,Green Skip Hire
JB,26/06/2023,08/06/2023,Purchase,122.94,Word360
JR,26/06/2023,22/06/2023,Purchase,123.77,Asda Groceries Online
AA,26/06/2023,06/06/2023,Purchase,124,Asda Stores 5011
JB,26/06/2023,04/06/2023,Purchase,125,Facebk *bqywpqb4q2
JB,26/06/2023,11/06/2023,Purchase,125,Facebk *n2k7mqp3q2
JB,26/06/2023,01/06/2023,Purchase,125.72,A2bgocarzabc
AA,26/06/2023,02/06/2023,Purchase,126,Www.Starlessriver.Com
DS,26/06/2023,01/06/2023,Purchase,126.36,Facebk 79wngppx82
DS,26/06/2023,03/06/2023,Purchase,126.64,Amznmktplace
JB,26/06/2023,05/06/2023,Purchase,126.99,Expedia Hotelscom
JB,26/06/2023,20/06/2023,Purchase,127.99,Travelodge
JR,26/06/2023,20/06/2023,Purchase,129.52,Travelodge
AA,26/06/2023,19/06/2023,Purchase,129.72,Telford International Cen
JB,26/06/2023,22/06/2023,Purchase,129.9,Canva* I03824-22418871
JB,26/06/2023,27/05/2023,Purchase,130,Www.Argos.Co.Uk
AA,26/06/2023,22/06/2023,Purchase,130.78,Wm Morrisons Store
JB,26/06/2023,12/06/2023,Purchase,131.78,Trainline
JR,26/06/2023,06/06/2023,Purchase,134.3,Agecoinc.Co.Uk
AA,26/06/2023,08/06/2023,Purchase,135,Zettle_*gwyn
JR,26/06/2023,15/06/2023,Purchase,136.08,Cartwright Waste Dispo
AA,26/06/2023,21/06/2023,Purchase,137.61,Amazon.Co.Uk*g51bq69n5
AA,26/06/2023,21/06/2023,Purchase,137.61,Amazon.Co.Uk*g63gs9mb5
AA,26/06/2023,13/06/2023,Purchase,139.9,Sp The Metal Foundry
AA,26/06/2023,03/06/2023,Purchase,141,Amazon.Co.Uk*wi2ad00t5
DS,26/06/2023,31/05/2023,Purchase,141.2,West Midlands Rail
JB,26/06/2023,16/06/2023,Purchase,144,A1 Recyclers
JR,26/06/2023,14/06/2023,Purchase,144,Green Skip Hire
AA,26/06/2023,19/06/2023,Purchase,144.7,Paypal *online
JB,26/06/2023,30/05/2023,Purchase,149,Amznmktplace
DS,26/06/2023,07/06/2023,NDR & Ctax Court payment,153,Hmcts Staffordshire
JB,26/06/2023,26/05/2023,Purchase,153.7,Post Office Counter
JB,26/06/2023,05/06/2023,Purchase,157.14,Expedia Hotelscom
JR,26/06/2023,06/06/2023,Purchase,158.12,Booker Ltd
JB,26/06/2023,06/06/2023,Purchase,159,Tvlicensing.Co.Uk
JB,26/06/2023,09/06/2023,Purchase,159,Tvlicensing.Co.Uk
AA,26/06/2023,16/06/2023,Purchase,159,Tvlicensing.Co.Uk
JB,26/06/2023,19/06/2023,Purchase,159.95,Www.Argos.Co.Uk
JB,26/06/2023,21/06/2023,Purchase,160,Facebk *jak4xqp3q2
JR,26/06/2023,20/06/2023,Purchase,162.69,Booker Ltd
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
DS,26/06/2023,09/06/2023,Purchase,164,Corus Hotel Hyde Park
JB,26/06/2023,15/06/2023,Purchase,164.98,Amznbusiness*9v0as7f65 Am
DS,26/06/2023,07/06/2023,Purchase,166.21,Trainline.Com
AA,26/06/2023,06/06/2023,Purchase,167.5,Dvla Vehicle Tax
AA,26/06/2023,06/06/2023,Purchase,167.5,Dvla Vehicle Tax
JB,26/06/2023,21/06/2023,Purchase,169.22,Sportsdirect.Com
AA,26/06/2023,30/05/2023,Purchase,171.63,Tesco Stores
JB,26/06/2023,23/06/2023,Purchase,174,Bikewise Motorcycle Train
AA,26/06/2023,08/06/2023,Purchase,175.2,Yorksurvey.Co.Uk
DS,26/06/2023,08/06/2023,Purchase,176,Cipd Membership Fee
DS,26/06/2023,13/06/2023,Purchase,176,Cipd Membership Fee
DS,26/06/2023,15/06/2023,Purchase,176,Cipd Membership Fee
DS,26/06/2023,15/06/2023,Purchase,176,Cipd Membership Fee
DS,26/06/2023,22/06/2023,Purchase,176,Cipd Membership Fee
JR,26/06/2023,31/05/2023,Purchase,176.39,Lavazza Pro
AA,26/06/2023,12/06/2023,Purchase,181.93,Help.Usemotion.Com
AA,26/06/2023,31/05/2023,Purchase,184.17,Facebk *lyt99qk4w2
AA,26/06/2023,26/05/2023,Purchase,185.85,Amznmktplace
JB,26/06/2023,02/06/2023,Purchase,192.99,Health And Care
JB,26/06/2023,17/06/2023,Purchase,194.79,Travelodge Gb0000
AA,26/06/2023,31/05/2023,Purchase,194.99,Mol*world Of Power.Co....
JB,26/06/2023,09/06/2023,Purchase,196.98,Currys Online
JB,26/06/2023,09/06/2023,Credit Voucher,196.98,Currys Online
JR,26/06/2023,01/06/2023,Purchase,198.3,Facebk U3bzcufwp2
JB,26/06/2023,14/06/2023,Purchase,199.08,Cartwright Waste Dispo
JB,26/06/2023,15/06/2023,Purchase,199.08,Cartwright Waste Dispo
JB,26/06/2023,11/06/2023,Credit Voucher,199.99,Amz*paldin
JR,26/06/2023,22/06/2023,Purchase,199.99,Amznmktplace
JB,26/06/2023,28/05/2023,Purchase,200,Facebk *96labsprn2
JB,26/06/2023,31/05/2023,Purchase,202.95,Www.Argos.Co.Uk
JB,26/06/2023,26/05/2023,Purchase,205,Amznmktplace
DS,26/06/2023,22/06/2023,Purchase,205,Cipd Membership Fee
DS,26/06/2023,22/06/2023,Purchase,205,Cipd Membership Fee
DS,26/06/2023,23/06/2023,Purchase,205,Cipd Membership Fee
DS,26/06/2023,30/05/2023,Purchase,206.34,Digital Id
JR,26/06/2023,31/05/2023,Purchase,207.25,Booker Ltd - 38529434
JB,26/06/2023,09/06/2023,Purchase,210,Www.Argos.Co.Uk
AA,26/06/2023,12/06/2023,Purchase,210,Www.Argos.Co.Uk
DS,26/06/2023,30/05/2023,Purchase,211.8,Westmidlandscom
DS,26/06/2023,14/06/2023,Purchase,211.84,Trainline
JB,26/06/2023,22/06/2023,Purchase,215.88,Amznmktplace
AA,26/06/2023,21/06/2023,Purchase,216.99,Lomo Watersport
DS,26/06/2023,01/06/2023,Purchase,219.92,Flags Tfw Midland
AA,26/06/2023,10/06/2023,Purchase,223.16,Adobe Creative Cloud
AA,26/06/2023,24/06/2023,Purchase,223.16,Adobe Systems Software
JB,26/06/2023,30/05/2023,Purchase,225.98,Premier Inn
JB,26/06/2023,20/06/2023,Purchase,227.43,Travelodge Gb0000
DS,26/06/2023,13/06/2023,Purchase,229.3,Brewers Telford
JB,26/06/2023,09/06/2023,Purchase,230,Www.Argos.Co.Uk
JB,26/06/2023,07/06/2023,Purchase,230,Paypal *argosdirect
JR,26/06/2023,21/06/2023,Purchase,232.71,Tfm Stableford
DS,26/06/2023,12/06/2023,Purchase,234.5,Www.Avantiwestcoast.Co
AA,26/06/2023,09/06/2023,Purchase,237.6,Sp Innconfidence
JB,26/06/2023,05/06/2023,Purchase,239.2,Www.Argos.Co.Uk
JB,26/06/2023,10/06/2023,Purchase,239.88,Amznmktplace
JB,26/06/2023,11/06/2023,Purchase,239.88,Amznmktplace
JB,26/06/2023,10/06/2023,Purchase,239.88,Amznmktplace
JB,26/06/2023,31/05/2023,Purchase,244.81,Premier Inn
AA,26/06/2023,23/06/2023,Purchase,247.82,Travelodge Gb0000
DS,26/06/2023,31/05/2023,Purchase,257.67,Trainline
JB,26/06/2023,15/06/2023,Purchase,258.3,Cartwright Waste Dispo
AA,26/06/2023,16/06/2023,Purchase,259.8,Smyths Toys Telford
JB,26/06/2023,01/06/2023,Purchase,260,Safe Haven Training
AA,26/06/2023,19/06/2023,Purchase,260.4,Zettle_*shropshire Pri
AA,26/06/2023,23/06/2023,Purchase,268.82,Premier Inn
AA,26/06/2023,12/06/2023,Purchase,273.1,Hadley Park
JB,26/06/2023,13/06/2023,Purchase,275,Amznmktplace
AA,26/06/2023,26/05/2023,Purchase,276.25,Premier Inn
AA,26/06/2023,26/05/2023,Purchase,276.25,Premier Inn
JB,26/06/2023,20/06/2023,Purchase,277.08,Online Ergonomics Ltd
JB,26/06/2023,22/06/2023,Purchase,284.98,Sp Laura James Home
AA,26/06/2023,22/06/2023,Purchase,293.25,Premier Inn
AA,26/06/2023,26/05/2023,Purchase,295.75,Travelodge Gb0000
JB,26/06/2023,31/05/2023,Purchase,305,Ikea Ltd Shop Online
JB,26/06/2023,09/06/2023,Purchase,309,Currys Online
JB,26/06/2023,07/06/2023,Purchase,325,Magsubcriptions Com
JB,26/06/2023,05/06/2023,Purchase,329.95,Bromford Housing Associat
JB,26/06/2023,12/06/2023,Purchase,330,Bayfield Vehicle Hire
JR,26/06/2023,12/06/2023,Purchase,330,Rm Po Box Online
AA,26/06/2023,02/06/2023,Purchase,339.98,Amznmktplace
JR,26/06/2023,08/06/2023,Purchase,343.22,Www.Safetyliftingear.C
JB,26/06/2023,07/06/2023,Purchase,345,Www.Argos.Co.Uk
AA,26/06/2023,09/06/2023,Purchase,346.76,Travelodge Gb0000
JR,26/06/2023,08/06/2023,Purchase,350.91,Amznmktplace
DS,26/06/2023,01/06/2023,Purchase,354.22,Trainline.Com
DS,26/06/2023,19/06/2023,Purchase,354.22,Trainline
JB,26/06/2023,08/06/2023,Purchase,358.95,Www.Argos.Co.Uk
JR,26/06/2023,26/05/2023,Purchase,361.28,Booker Ltd - 38598984
DS,26/06/2023,05/06/2023,Purchase,366,Paypal *publichealt
DS,26/06/2023,14/06/2023,Purchase,366,Paypal *publichealt
AA,26/06/2023,13/06/2023,Purchase,369,The Coal Authority
AA,26/06/2023,01/06/2023,Purchase,369.66,Aliexpress.Com
AA,26/06/2023,06/06/2023,Purchase,391.49,Amznbusiness*gz06q8tp5
JR,26/06/2023,01/06/2023,Purchase,506.25,High Street Vouchers
JR,26/06/2023,20/06/2023,Purchase,506.4,Fridgesmart.Co.Uk
JB,26/06/2023,25/05/2023,Purchase,510,Lyons Presentations Gr
JB,26/06/2023,26/05/2023,Purchase,520,Rent Me Now
JB,26/06/2023,14/06/2023,Purchase,527.95,Www.Argos.Co.Uk
JR,26/06/2023,07/06/2023,Purchase,567.36,A.K. Williams And Sons
AA,26/06/2023,20/06/2023,Purchase,569.09,Travelodge Gb0000
AA,26/06/2023,31/05/2023,Purchase,580,Toolstation Uk
JR,26/06/2023,07/06/2023,Purchase,586.95,Www.Argos.Co.Uk
JR,26/06/2023,19/06/2023,Purchase,617.62,Booker Ltd - 38598984
AA,26/06/2023,02/06/2023,Purchase,655,Ao Retail Limited
DS,26/06/2023,08/06/2023,Purchase,667.08,Www.Local.Gov.Uk
DS,26/06/2023,08/06/2023,Purchase,667.08,Www.Local.Gov.Uk
DS,26/06/2023,08/06/2023,Purchase,682.38,Keyclampstore.Com
JB,26/06/2023,12/06/2023,Purchase,782.71,Trainline.Com
AA,26/06/2023,30/05/2023,Purchase,783.38,Police Supplies
DS,26/06/2023,13/06/2023,Purchase,810,Aghoco 1607 Ltd
DS,26/06/2023,31/05/2023,Purchase,881.82,Suncliff Hotel
JB,26/06/2023,30/05/2023,Purchase,960,Innseagan House Hotel Lim
JR,26/06/2023,21/06/2023,Purchase,994,Bkg*hotel At Booking.C
JB,26/06/2023,02/06/2023,Purchase,1000,Rent Me Now
JR,26/06/2023,12/06/2023,Purchase,1016,Ikea Ltd Shop Online
JB,26/06/2023,02/06/2023,Purchase,1080,Rent Me Now
JR,26/06/2023,08/06/2023,Purchase,1131.33,Trade Uk
JB,26/06/2023,02/06/2023,Purchase,1400,Planet Doors
JB,26/06/2023,13/06/2023,Purchase,1400,Planet Doors
JB,26/06/2023,20/06/2023,Purchase,1400,Planet Doors
DS,26/06/2023,07/06/2023,NDR & Ctax Court payment,2054,Hmcts Staffordshire
JR,26/06/2023,05/06/2023,Purchase,15335.76,Lyreco UK Ltd
