Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/04/2023,06/04/2023,Purchase,100,Voucher Express
JB,26/04/2023,01/04/2023,Purchase,100,The Swan Taphouse
JR,26/04/2023,21/04/2023,Purchase,100,Zettle_*rt Locksmiths
JR,26/04/2023,28/03/2023,Purchase,101.11,Booker Ltd - 38598984
DS,26/04/2023,17/04/2023,Purchase,102.45,Trainline
JB,26/04/2023,05/04/2023,Purchase,104.85,Asda Store 4351
DS,26/04/2023,05/04/2023,Purchase,104.99,Sm3-Custompromo
JB,26/04/2023,05/04/2023,Purchase,105,B&m 320 - An Telford
DS,26/04/2023,27/03/2023,Purchase,109.58,Trainline.Com
AA,26/04/2023,05/04/2023,Purchase,110,Ikea Ltd Shop Online
JR,26/04/2023,25/04/2023,Purchase,110,Farmfoods 604
JB,26/04/2023,06/04/2023,Purchase,111.1,Trainline
JB,26/04/2023,18/04/2023,Purchase,111.16,Travelodge Gb0000
JB,26/04/2023,25/04/2023,Purchase,111.16,Travelodge Gb0000
JB,26/04/2023,31/03/2023,Credit Voucher,111.5,Staples
JB,26/04/2023,24/04/2023,Purchase,112.95,Www.Argos.Co.Uk
AA,26/04/2023,27/03/2023,Purchase,112.95,Amznmktplace
JB,26/04/2023,30/03/2023,Purchase,116,Orchy Bank Guest House
JB,26/04/2023,19/04/2023,Purchase,116,Orchy Bank Guest House
JR,26/04/2023,20/04/2023,Purchase,116.21,Aghoco 1607 Ltd
DS,26/04/2023,18/04/2023,Purchase,116.45,Premier Inn
DS,26/04/2023,24/04/2023,Purchase,116.47,The Clean Machine Direct
JR,26/04/2023,03/04/2023,Purchase,116.73,Bkg*hotel At Booking.C
AA,26/04/2023,17/04/2023,Purchase,119.96,The Bikeability Trust
JB,26/04/2023,24/04/2023,Purchase,119.98,Amznmktplace
JB,26/04/2023,25/04/2023,Purchase,120,Green Skip Hire
AA,26/04/2023,03/04/2023,Purchase,120,Telford & Wrekin Counc
DS,26/04/2023,31/03/2023,Purchase,120.24,Sp Eco-Eco Stationer
DS,26/04/2023,20/04/2023,Purchase,121.2,Amznmktplace
JB,26/04/2023,04/04/2023,Purchase,121.38,Cars On Booking
AA,26/04/2023,29/03/2023,Purchase,121.5,Timpson Ltd
DS,26/04/2023,14/04/2023,Purchase,121.84,Amznmktplace
JR,26/04/2023,29/03/2023,Purchase,124.99,Eb *biadols Update Tr
AA,26/04/2023,22/04/2023,Purchase,125,Amazon.Co.Uk*pj6d90675
JR,26/04/2023,30/03/2023,Purchase,125,Eb *biadols Update Tr
AA,26/04/2023,12/04/2023,Purchase,125.62,Seton
JB,26/04/2023,27/03/2023,Credit Voucher,125.98,Premier Inn
JR,26/04/2023,30/03/2023,Purchase,127.12,Eb *suicide Bereavemen
DS,26/04/2023,11/04/2023,Purchase,127.5,Locsafe Security Syste
JB,26/04/2023,01/04/2023,Purchase,127.74,Facebk *9utj6vfrn2
JB,26/04/2023,28/03/2023,Purchase,127.95,Argos Ltd
JB,26/04/2023,31/03/2023,Purchase,128.14,Amznmktplace
AA,26/04/2023,27/03/2023,Purchase,128.6,Paypal *online
DS,26/04/2023,14/04/2023,Purchase,130.69,Ast Floorcoverings Ltd
JB,26/04/2023,04/04/2023,Purchase,131,Hm Passport Office
AA,26/04/2023,12/04/2023,Purchase,131.27,M And M Framing Ltd
AA,26/04/2023,12/04/2023,Purchase,134.13,Trainline.Com
JB,26/04/2023,20/04/2023,Purchase,134.9,Amznmktplace
AA,26/04/2023,19/04/2023,Purchase,136.08,Cartwright Waste Dispo
JR,26/04/2023,07/04/2023,Purchase,136.49,Booker Ltd - 38598984
DS,26/04/2023,13/04/2023,Purchase,140,Timpson Ltd
JB,26/04/2023,30/03/2023,Purchase,141.51,Et Car Hire
DS,26/04/2023,20/04/2023,Purchase,143,Ckb Ltd
JR,26/04/2023,30/03/2023,Purchase,144,Green Skip Hire
JB,26/04/2023,01/04/2023,Purchase,144.81,Travelodge Gb0000
DS,26/04/2023,06/04/2023,Purchase,148.12,Colop UK Ltd
DS,26/04/2023,04/04/2023,Purchase,148.59,Chartered Insurance Insti
JR,26/04/2023,06/04/2023,Credit Voucher,148.7,Trainline.Com
JB,26/04/2023,29/03/2023,Purchase,149.3,Trainline.Com
JB,26/04/2023,29/03/2023,Purchase,150,Primark
JB,26/04/2023,05/04/2023,Purchase,150,Paypal *voucher Exp
AA,26/04/2023,30/03/2023,Purchase,152.99,Amznmktplace
DS,26/04/2023,25/04/2023,Purchase,155.63,Aghoco 1607 Ltd
AA,26/04/2023,12/04/2023,Purchase,158,The White House Hotel
