Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/10/2023,19/10/2023,Purchase,100,Voucher Express
JB,26/10/2023,06/10/2023,Purchase,100,Tenpin Ltd - 186
JB,26/10/2023,13/10/2023,Purchase,100,Proark UK Hotels Ltd Oper
AA,26/10/2023,13/10/2023,Purchase,100.76,Dolphin Leisure
AA,26/10/2023,05/10/2023,Purchase,101.66,Arco Limited
JR,26/10/2023,01/10/2023,Purchase,107.78,Facebk Yhe3qu3xp2
AA,26/10/2023,09/10/2023,Purchase,108.54,Digital Id
AA,26/10/2023,06/10/2023,Purchase,108.61,Severn Trent Water
AA,26/10/2023,10/10/2023,Purchase,109.12,Travelodge Gb0000
JR,26/10/2023,10/10/2023,Purchase,109.12,Travelodge Gb0000
DS,26/10/2023,01/10/2023,Purchase,109.3,Facebk L4bzrrby82
JB,26/10/2023,19/10/2023,Purchase,109.6,Trainline
AA,26/10/2023,18/10/2023,Purchase,112,Halfords E.Comm
JB,26/10/2023,07/10/2023,Purchase,112.7,Amznmktplace
DS,26/10/2023,10/10/2023,Purchase,112.79,Brewers
JB,26/10/2023,19/10/2023,Purchase,114,Blackbeltadvocacy.Com
AA,26/10/2023,02/10/2023,Purchase,114.98,Wheelbarrows Co Uk
JR,26/10/2023,17/10/2023,Purchase,114.99,Hasbro Pulse*presale
JR,26/10/2023,02/10/2023,Purchase,115,Royal Mail Online Shop
JB,26/10/2023,22/10/2023,Purchase,115.62,Amazon* Chris Barnard
JR,26/10/2023,10/10/2023,Purchase,116.42,Booker Limited Ecom
AA,26/10/2023,16/10/2023,Purchase,117.28,Travelodge Gb0000
JR,26/10/2023,11/10/2023,Purchase,118.29,Travelodge Gb0000
JB,26/10/2023,23/10/2023,Purchase,118.98,Amznmktplace
JB,26/10/2023,23/10/2023,Purchase,119.7,Cartwright Waste Dispo
JB,26/10/2023,26/09/2023,Purchase,119.88,Bkg*hotel At Booking.C
AA,26/10/2023,18/10/2023,Purchase,119.89,Amznbusiness*h86m65ur4
JR,26/10/2023,12/10/2023,Purchase,119.99,Amznmktplace
JB,26/10/2023,23/10/2023,Purchase,120,Welcome Break Days Inn Te
DS,26/10/2023,11/10/2023,Purchase,120,Allied Autocare Parts
JR,26/10/2023,25/09/2023,Credit Voucher,120.5,Trainline
JR,26/10/2023,03/10/2023,Purchase,120.95,Www.Argos.Co.Uk
AA,26/10/2023,26/09/2023,Purchase,122.38,Travelodge Gb0000
AA,26/10/2023,27/09/2023,Purchase,122.38,Travelodge Gb0000
AA,26/10/2023,02/10/2023,Purchase,122.38,Travelodge Gb0000
AA,26/10/2023,25/10/2023,Purchase,122.38,Travelodge Gb0000
JB,26/10/2023,13/10/2023,Purchase,124.98,Sp Ocushield
AA,26/10/2023,04/10/2023,Purchase,125.68,Amznmktplace
AA,26/10/2023,11/10/2023,Purchase,125.86,Welcome Break Days Inn Te
AA,26/10/2023,11/10/2023,Purchase,127.47,Travelodge Gb0000
JR,26/10/2023,10/10/2023,Purchase,128.99,Farmfoods 604
JR,26/10/2023,16/10/2023,Purchase,130.9,Premier Inn
AA,26/10/2023,24/10/2023,Purchase,131.46,Dalebrook.Com
AA,26/10/2023,25/10/2023,Purchase,132,Locsafe Security Syste
JR,26/10/2023,17/10/2023,Purchase,132.5,Trainline
JR,26/10/2023,26/09/2023,Purchase,133.99,Gas Direct Ltd
JR,26/10/2023,17/10/2023,Purchase,134.55,Booker Limited Ecom
JB,26/10/2023,12/10/2023,Purchase,134.9,Amznmktplace
JR,26/10/2023,24/10/2023,Purchase,136.32,Booker Limited Ecom
AA,26/10/2023,04/10/2023,Purchase,138.22,Amznmktplace
AA,26/10/2023,24/10/2023,Purchase,138.51,Trainline
JB,26/10/2023,13/10/2023,Purchase,139.95,Bookseller* Pc-Tf3 4ja
JB,26/10/2023,09/10/2023,Purchase,141,Courtyard Glasgow Airp
AA,26/10/2023,04/10/2023,Purchase,141.46,Tesco Stores 3290
JR,26/10/2023,24/10/2023,Purchase,143.36,Booker Limited Ecom
JB,26/10/2023,17/10/2023,Purchase,143.55,Bkg*hotel At Booking.C
AA,26/10/2023,03/10/2023,Purchase,144.95,Amznmktplace
JR,26/10/2023,10/10/2023,Purchase,145.31,Booker Limited Ecom
AA,26/10/2023,02/10/2023,Purchase,147.34,Ebay O*09-10610-50539
JB,26/10/2023,30/09/2023,Purchase,147.99,Facebk *yraz6wprn2
AA,26/10/2023,28/09/2023,Purchase,148.74,Trainline
AA,26/10/2023,01/10/2023,Purchase,150.07,Google*cloud Z9dc5t
JR,26/10/2023,20/10/2023,Credit Voucher,150.2,Trainline
DS,26/10/2023,25/10/2023,Purchase,151.23,Trainline
JR,26/10/2023,17/10/2023,Purchase,152.5,Royal Mail Online Shop
AA,26/10/2023,27/09/2023,Purchase,152.97,Travelodge Gb0000
JR,26/10/2023,03/10/2023,Purchase,154.06,Booker Limited Ecom
DS,26/10/2023,28/09/2023,Purchase,154.5,Amznmktplace
JB,26/10/2023,13/10/2023,Purchase,154.95,Amazon* 204-4907140-28
AA,26/10/2023,11/10/2023,Purchase,158,The White House Hotel
JB,26/10/2023,27/09/2023,Purchase,159,Amazon.Co.Uk*1k9oi5q54
JB,26/10/2023,29/09/2023,Purchase,159,Amazon* 204-1308130-60
JB,26/10/2023,10/10/2023,Purchase,159,Tvlicensing.Co.Uk
AA,26/10/2023,26/09/2023,Purchase,159,Tvlicensing.Co.Uk
AA,26/10/2023,23/10/2023,Purchase,159,Tvlicensing.Co.Uk
JR,26/10/2023,18/10/2023,Purchase,159,Tvlicensing.Co.Uk
AA,26/10/2023,27/09/2023,Purchase,160.44,Dawn Direct Ltd
JB,26/10/2023,18/10/2023,Purchase,161,Amazon.Co.Uk*h80u36ux4
AA,26/10/2023,16/10/2023,Purchase,161,Rics Subs UK Cybs
JB,26/10/2023,25/09/2023,Purchase,161.5,Primark
JR,26/10/2023,04/10/2023,Purchase,161.7,Trainline
JB,26/10/2023,17/10/2023,Purchase,161.99,Amznmktplace
JR,26/10/2023,10/10/2023,Purchase,162,Visionaid Technologies Li
AA,26/10/2023,09/10/2023,Purchase,163.98,Premier Inn
JB,26/10/2023,09/10/2023,Purchase,164.99,Cookology
JR,26/10/2023,28/09/2023,Purchase,165,Www.Argos.Co.Uk
AA,26/10/2023,10/10/2023,Purchase,166.23,Travelodge Gb0000
DS,26/10/2023,20/10/2023,Purchase,166.24,Screwfix Dir Ltd
JR,26/10/2023,29/09/2023,Purchase,166.97,Radmore And Tucker Ltd
AA,26/10/2023,19/10/2023,Purchase,167.5,Dvla Vehicle Tax
DS,26/10/2023,28/09/2023,Purchase,167.5,Dvla Vehicle Tax
DS,26/10/2023,28/09/2023,Purchase,167.5,Dvla Vehicle Tax
