Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,06/08/2024,19662.00 
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,06/08/2024,39324.00 
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,13/08/2024,19662.00 
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,13/08/2024,19662.00 
Adult Social Care,ASC Prevention & Enablement,Premises-Related Expenditure,Contract Cleaning,Vortex Cleaning Ltd,06/08/2024,2875.00 
Adult Social Care,ASC Prevention & Enablement,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,13/08/2024,2500.00 
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,14/08/2024,636.00 
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Equipment - Hire,ARJO UK LTD,09/08/2024,493.90 
Adult Social Care,ASC Prevention & Enablement,Supplies & Services,Translation Services,VISS Sign Language Interpreting Service,15/08/2024,120.00 
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,02/08/2024,199.50 
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,02/08/2024,199.50 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Computer Hardware (Maint),LIQUIDLOGIC LIMITED,14/08/2024,5850.00 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Other Expenses,Wrekin Clearances,06/08/2024,500.00 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,13/08/2024,391.30 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,13/08/2024,624.60 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Translation Services,EXPRESS INTERPRETING & TRANSLATION,20/08/2024,537.75 
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Translation Services,EXPRESS INTERPRETING & TRANSLATION,20/08/2024,504.00 
Adult Social Care,Community Social Work & Adult Safeguarding,Employees,Staff Training,SHROPSHIRE COUNCIL ,20/08/2024,104.00 
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,13/08/2024,12764.88 
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,13/08/2024,12764.88 
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,30/08/2024,336.64 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Sakum Ltd,13/08/2024,720.28 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,St Teresa Ltd ,15/08/2024,854.82 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Onside Independent Advocacy,21/08/2024,145.80 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Medical Consultants Fees,Onside Independent Advocacy,21/08/2024,164.70 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),VoiceAbility,01/08/2024,6691.25 
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,23/08/2024,15000.00 
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,07/08/2024,165.00 
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ASLES (TOOL HIRE & SALES) LTD,21/08/2024,848.00 
Adult Social Care,My Options,Capital Expenditure,Payments to Contractor,ASLES (TOOL HIRE & SALES) LTD,21/08/2024,848.00 
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,29/08/2024,574.80 
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,27/08/2024,160.65 
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,27/08/2024,252.77 
Adult Social Care,My Options,Employees,Agency Supply Costs,Nurse Plus and Carer Plus (UK) Limited,27/08/2024,287.40 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP,07/08/2024,125.22 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,07/08/2024,212.80 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,27/08/2024,259.49 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,07/08/2024,124.53 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,29/08/2024,142.45 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,29/08/2024,109.99 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,07/08/2024,191.10 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BROSCH DIRECT LTD,13/08/2024,142.90 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,08/08/2024,205.98 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,27/08/2024,227.50 
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,27/08/2024,328.79 
Adult Social Care,My Options,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,08/08/2024,180.00 
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Access UK Ltd,08/08/2024,150.00 
Adult Social Care,My Options,Supplies & Services,Computer Software (Maint),Access UK Ltd,08/08/2024,494.40 
Adult Social Care,My Options,Supplies & Services,Equipment - Purchase,CHRISBEON OFFICE SUPPLIES,07/08/2024,349.00 
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information,19/08/2024,1061.39 
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information,20/08/2024,664.00 
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information,20/08/2024,1580.00 
Adult Social Care,My Options,Supplies & Services,Respite Care,Redacted Personal Information,20/08/2024,760.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Employees,Staff Training,SHROPSHIRE COUNCIL ,20/08/2024,104.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Easylink,12/08/2024,622.13 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Easylink,14/08/2024,584.19 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Old Park Services Ltd ,15/08/2024,177.47 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Access UK Ltd,15/08/2024,470.75 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,28/08/2024,266.01 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Consultancy,ARJO UK LTD,09/08/2024,657.20 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Repair,Closomat Limited,01/08/2024,205.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Equipment - Repair,ARJO UK LTD,01/08/2024,176.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Legal Expenses,WEIGHTMANS ,15/08/2024,217.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Other Grants (Expenses),Medequip,15/08/2024,10497.79 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Other Grants (Expenses),TELFORD MIND,28/08/2024,240.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Other Grants (Expenses),TELFORD MIND,28/08/2024,200.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,01/08/2024,18500.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,14/08/2024,90000.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Translation Services,VISS Sign Language Interpreting Service,05/08/2024,120.00 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Cartello Ambulance,13/08/2024,199.50 
Adult Social Care,Prevention & Independence - Older Adults & Disability,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,13/08/2024,144.00 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Childcare Provision,Childcare Support On Site Ltd,07/08/2024,273.75 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Professional Subs,Impower Consulting Limited,01/08/2024,230580.35 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Professional Subs,Impower Consulting Limited,08/08/2024,66964.00 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Professional Subs,Impower Consulting Limited,08/08/2024,4042.47 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Professional Subs,H D Consultancy Limited,08/08/2024,125.00 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Staff Training,COVENTRY CITY COUNCIL,20/08/2024,8560.00 
Children's Safeguarding & Family Support,Child Protection & Family Support,Employees,Training Expenses,PARK LANE CENTRE,08/08/2024,176.00 
Children's Safeguarding & Family Support,Child Protection & Family Support,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,13/08/2024,555.99 
