Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Children´s Safeguarding & Family Support,Child Protection & Family Support,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,15/12/2023,888.64
Children´s Safeguarding & Family Support,Family Connect & Childrens Centres,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,07/12/2023,132.44
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,11/12/2023,"1,353.00"
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,19/12/2023,118.82
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,19/12/2023,"1,821.48"
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/12/2023,"2,680.80"
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/12/2023,"2,546.76"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/12/2023,"3,272.94"
Policy & Governance,Governance & Legal Services,Supplies & Services,Legal Expenses,39 Essex Chambers,05/12/2023,750.00
Adult Social Care,My Options,Premises-Related Expenditure,R&M -Buildings DLO Charge,A E C & Co Ltd,21/12/2023,135.00
Prosperity & Investment,Regeneration & Investment,Capital Expenditure,External Professional Fees,A.R.M. Surveys Ltd,21/12/2023,"1,750.00"
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,06/12/2023,"1,440.00"
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,08/12/2023,120.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,08/12/2023,"2,180.00"
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,08/12/2023,220.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,08/12/2023,220.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,13/12/2023,285.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,14/12/2023,320.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,18/12/2023,210.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,18/12/2023,145.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,18/12/2023,200.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,18/12/2023,125.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,18/12/2023,125.00
