Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,ASC Directorate,Employees,Cont Prof Development,Healthcare Conferences UK,08/01/2024,295.00
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/01/2024,"19,662.00"
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/01/2024,"19,662.00"
Adult Social Care,ASC Prevention & Enablement,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/01/2024,"19,662.00"
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Computer Software (Maint),LIQUIDLOGIC LIMITED,05/01/2024,"3,110.00"
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,05/01/2024,-477.15
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,05/01/2024,376.50
Adult Social Care,"Assurance, Transformation & Financial Management",Supplies & Services,Systems Procurement,Prepaid Financial Services Limited,05/01/2024,582.05
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),Care Plus (Staffordshire) Limited,25/01/2024,"5,250.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),Nemphi Homes,25/01/2024,"1,392.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),Swanton Care & Community Ltd (Darwin Community Support),25/01/2024,"7,650.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Interpreters Fees,WORD 360 T/AEXPRESS INTERPRETING & TRANSLATION,08/01/2024,"5,389.76"
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Interpreters Fees,WORD 360 T/AEXPRESS INTERPRETING & TRANSLATION,08/01/2024,"5,260.53"
Adult Social Care,"Commissioning, Procurement & Brokerage",Third Party Payments,Interpreters Fees,WORD 360 T/AEXPRESS INTERPRETING & TRANSLATION,24/01/2024,"2,684.10"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),THE STROKE ASSOCIATION,18/01/2024,"11,499.44"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/01/2024,"12,453.91"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,08/01/2024,"90,000.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,08/01/2024,"18,500.00"
Adult Social Care,"Commissioning, Procurement & Brokerage",Employees,Staff Training,Gidea Solutions Limited,30/01/2024,"3,500.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),Engaging Communities Solutions CIC,18/01/2024,"25,000.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),POHWER,18/01/2024,"2,500.00"
Adult Social Care,Community Social Work & Adult Safeguarding,Supplies & Services,Other Grants (Expenses),VoiceAbility,18/01/2024,"7,434.75"
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,08/01/2024,444.50
Adult Social Care,Community Social Work (Principal Social Worker),Transport-Related Expenditure,Taxi Costs,Ezy Car Ltd,08/01/2024,355.60
Adult Social Care,Community Social Work (Principal Social Worker),Third Party Payments,Other Care Purchasing,Severn Trent Water Ltd,08/01/2024,200.04
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Services,Bristol City Council,25/01/2024,400.00
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,25/01/2024,"12,764.88"
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,25/01/2024,"12,764.88"
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,08/01/2024,470.85
Adult Social Care,Community Social Work (Principal Social Worker),Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,08/01/2024,493.04
Adult Social Care,Community Social Work (Principal Social Worker),Supplies & Services,Other Grants (Expenses),Shropshire Parent and Carer Council (PACC),09/01/2024,"50,000.00"
