Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
"Communities, Customer & Commercial Services",Community Services,Supplies & Services,Grants To Voluntary Organis,1ST PRIORSLEE & ST GEORGES SCOUT GROUP,27/10/2023,500.00
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,24/10/2023,193.70
Adult Social Care,ASC Prevention & Enablement,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,24/10/2023,193.70
Children큦 Safeguarding & Family Support,Child Protection & Family Support,Transport-Related Expenditure,Taxi Costs,24X7 Ltd,26/10/2023,826.56
Children큦 Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/10/2023,656.18
Children큦 Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/10/2023,"1,807.04"
Children큦 Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/10/2023,"2,187.90"
Children큦 Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Transport-Related Expenditure,Taxi Costs,24X7 Ltd,12/10/2023,468.70
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,24X7 Ltd,19/10/2023,"1,340.40"
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Legal Expenses,39 Essex Chambers,20/10/2023,500.00
Education & Skills,Consultancy & Advisory Services,Supplies & Services,Adult Flexi / Day Care,4 All Foundation,04/10/2023,"1,500.00"
Health & Wellbeing,Consultant in Public Health,Supplies & Services,Service Contracts,A Better Tomorrow C.I.C.,14/10/2023,"17,250.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Capital Expenditure,Payments to Contractor,A.R.M. Surveys Ltd,11/10/2023,"4,750.00"
Neighbourhood & Enforcement Services,Waste & Neighbourhood Services,Supplies & Services,Other Services,A.R.M. Surveys Ltd,09/10/2023,293.25
Neighbourhood & Enforcement Services,Waste & Neighbourhood Services,Supplies & Services,Other Services,A.R.M. Surveys Ltd,19/10/2023,"1,350.00"
Prosperity & Investment,Regeneration & Investment,Capital Expenditure,Payments to Contractor,A.R.M. Surveys Ltd,31/10/2023,204.00
"Communities, Customer & Commercial Services",Culture & Events,Supplies & Services,Crockery/Hardware/Light Equip,A1 BARSTUFF LTD,31/10/2023,159.96
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,09/10/2023,220.00
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,A1 Glass & Glazing Limited,24/10/2023,170.00
