Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   3,,,,,,
Start Date:  28 May 2023,,,,,,
End Date:   24 June 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901694842,09 Jun 2023,"97,178,219.19",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON LTD,Franchise/Concession Fixed Fee,1020\5110289610,23 Jun 2023,"19,692,977.42",
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110289002,21 Jun 2023,"16,666,344.51",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048992,09 Jun 2023,"15,484,454.35",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048980,09 Jun 2023,"14,246,977.94",
SURFACE TRANSPORT CORP,PINSENT MASONS,Purchase of Land & Buildings,1002\1900075628,16 Jun 2023,"13,721,188.35",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048987,09 Jun 2023,"12,659,730.79",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048984,09 Jun 2023,"11,318,956.05",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006\1900048986,09 Jun 2023,"11,186,785.35",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900048990,09 Jun 2023,"10,811,394.49",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110286555,19 Jun 2023,"8,791,600.26",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110277643,14 Jun 2023,"8,449,224.14",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900048981,09 Jun 2023,"7,289,267.20",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048978,09 Jun 2023,"6,683,600.67",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900048994,09 Jun 2023,"6,614,665.33",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110287013,13 Jun 2023,"6,009,891.21",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110279157,21 Jun 2023,"5,927,602.00",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001\5110274892,14 Jun 2023,"5,654,342.95",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901694843,09 Jun 2023,"5,398,627.58",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110287014,13 Jun 2023,"5,251,279.97",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900049076,23 Jun 2023,"4,955,199.20",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048979,09 Jun 2023,"4,649,009.39",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900049064,23 Jun 2023,"4,559,137.89",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900048991,09 Jun 2023,"4,310,611.65",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900049071,23 Jun 2023,"4,104,273.80",
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Property Letting Costs,1005\5110271945,16 Jun 2023,"4,096,000.00",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900048993,09 Jun 2023,"4,087,761.99",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900048982,09 Jun 2023,"3,971,661.63",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110281174,21 Jun 2023,"3,727,933.28",
