Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  5,,,,,,
Start Date:  23 July 2023,,,,,,
End Date: 19 August 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901696277,04 Aug 2023,"103,412,363.85",
RAIL FOR LONDON LIMITED,345 Rail Leasing Limited,Vehicle Operating Leases,1020/5110305009,31 Jul 2023,"27,922,390.48",
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110314588,18 Aug 2023,"22,676,984.62",
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110315416,18 Aug 2023,"18,657,585.61",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110301706,28 Jul 2023,"17,825,414.68",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049249,04 Aug 2023,"15,517,520.54",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049237,04 Aug 2023,"14,287,709.41",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049244,04 Aug 2023,"13,067,438.91",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049241,04 Aug 2023,"11,465,927.71",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049243,04 Aug 2023,"11,363,299.62",
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049247,04 Aug 2023,"10,723,447.49",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901696276,02 Aug 2023,"10,571,786.52",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110314544,15 Aug 2023,"8,816,952.32",
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110306738,16 Aug 2023,"8,172,219.96",
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110306685,16 Aug 2023,"8,095,817.07",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049238,04 Aug 2023,"7,319,839.29",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049235,04 Aug 2023,"6,885,124.25",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049251,04 Aug 2023,"6,588,590.42",
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004/1901696278,04 Aug 2023,"5,681,925.29",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110308564,03 Aug 2023,"5,659,834.95",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110301078,09 Aug 2023,"5,654,342.95",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049317,18 Aug 2023,"4,955,496.81",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049305,18 Aug 2023,"4,524,448.86",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049248,04 Aug 2023,"4,335,600.08",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049312,18 Aug 2023,"4,173,555.99",
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Maintenance Materials,1033/5110309420,17 Aug 2023,"4,143,094.33",
LONDON UNDERGROUND LTD,Dept for LevellingUp Housing&Commun,Property Letting Costs,1005/5110271945,17 Aug 2023,"4,096,000.00",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049239,04 Aug 2023,"4,084,468.25",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049250,04 Aug 2023,"4,083,563.10",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049236,04 Aug 2023,"3,999,991.09",
